attribute_code	data_type	role	required_policy	allowed_values_source	description_ru
ean_gtin	text	T2_OPTIONAL_ENRICHMENT	optional	regex_gtin	GTIN/EAN/UPC if provided
release_year	integer	T2_OPTIONAL_ENRICHMENT	optional	inherits TECH.ELECTRONICS_COMMON.release_year	Release year
warranty_status	enum	T2_OPTIONAL_ENRICHMENT	optional	values.head.json#warranty_status	Warranty status
region_variant	enum_or_text	T2_OPTIONAL_ENRICHMENT	optional	inherits TECH.DEVICE_IDENTITY_COMMON.region_variant	Regional version
included_cables	multi_enum	T2_OPTIONAL_ENRICHMENT	optional	values.head.json#connector_input_primary	Included cable types
included_stand	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	Original stand included
power_adapter_included	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	External power adapter included
dead_pixel_status	enum	T2_OPTIONAL_ENRICHMENT	recommended_for_used	values.head.json#dead_pixel_status	Dead pixel disclosure
backlight_uniformity_status	enum	T2_OPTIONAL_ENRICHMENT	recommended_for_used	values.head.json#backlight_uniformity_status	Backlight/uniformity disclosure
screen_surface	enum	T2_OPTIONAL_ENRICHMENT	optional	values.head.json#screen_surface	Matte/glossy/anti-glare
color_body	enum_or_text	T2_OPTIONAL_ENRICHMENT	optional	inherits TECH.ELECTRONICS_COMMON.color	Body color
energy_class	enum_or_text	T2_OPTIONAL_ENRICHMENT	optional	text	Energy efficiency label where available
width_mm	integer	T2_OPTIONAL_ENRICHMENT	optional	numeric	Physical width
height_mm	integer	T2_OPTIONAL_ENRICHMENT	optional	numeric	Physical height
depth_mm	integer	T2_OPTIONAL_ENRICHMENT	optional	numeric	Physical depth
weight_g	integer	T2_OPTIONAL_ENRICHMENT	optional	numeric	Weight in grams
listing_completeness_confidence	decimal	T3_SYSTEM_HIDDEN	system	0..1	Completeness score
spec_confidence	decimal	T3_SYSTEM_HIDDEN	system	0..1	Specs extraction confidence
route_confidence	decimal	T3_SYSTEM_HIDDEN	system	0..1	Route confidence
vision_evidence_level	enum	T3_SYSTEM_HIDDEN	system	values.head.json#vision_evidence_level	Evidence level for AI/photo extraction
dedup_fingerprint	text	T3_SYSTEM_HIDDEN	system	hash	Internal dedup fingerprint
seller_claims_raw	json	T3_SYSTEM_HIDDEN	system	json	Raw seller claims payload
resolution_width_px	integer	T2_OPTIONAL_ENRICHMENT	optional	numeric	Native resolution width
resolution_height_px	integer	T2_OPTIONAL_ENRICHMENT	optional	numeric	Native resolution height
hdmi_ports_count	integer	T2_OPTIONAL_ENRICHMENT	optional	0..8	HDMI ports count
displayport_ports_count	integer	T2_OPTIONAL_ENRICHMENT	optional	0..8	DisplayPort ports count
usb_c_ports_count	integer	T2_OPTIONAL_ENRICHMENT	optional	0..8	USB-C ports count
thunderbolt_ports_count	integer	T2_OPTIONAL_ENRICHMENT	optional	0..8	Thunderbolt ports count
usb_hub_ports_count	integer	T2_OPTIONAL_ENRICHMENT	optional	0..12	USB hub ports count
local_dimming_zones	integer	T2_OPTIONAL_ENRICHMENT	optional	0..10000	Local dimming zones
contrast_ratio_text	text	T2_OPTIONAL_ENRICHMENT	optional	text	Advertised contrast ratio
anti_glare	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	Anti-glare coating
blue_light_filter	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	Blue-light reduction
flicker_free	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	Flicker-free technology
daisy_chain	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	DisplayPort/Thunderbolt daisy chaining
picture_by_picture	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	PBP support
picture_in_picture	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	PIP support
remote_control_included	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	Remote control included
osd_language_region	text	T2_OPTIONAL_ENRICHMENT	optional	text	OSD language/region info
touch_interface	enum	T2_OPTIONAL_ENRICHMENT	optional	values.head.json#touch_interface	USB/serial touch interface
stylus_support	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	Stylus support for touch displays
privacy_filter_compatible	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	Privacy filter compatible
