brand	family	line	model	model_aliases	display_type	screen_size_in	resolution_class	refresh_rate_hz	panel_technology	notes
MSI	MODERN	MD Series	MD271P	msi md271p	COMPUTER_MONITOR	27	FHD	75	IPS	head seed
VIEWSONIC	VX	VX Series	VX2758-2KP-MHD	viewsonic vx2758 2kp	GAMING_MONITOR	27	QHD	144	IPS	head seed
VIEWSONIC	VP	VP Series	VP2768a	viewsonic vp2768a	PROFESSIONAL_MONITOR	27	QHD	60	IPS	head seed
PHILIPS	E LINE	E Series	276E8VJSB	philips 276e8vjsb	COMPUTER_MONITOR	27	4K_UHD	60	IPS	head seed
HP	Z DISPLAY	Z Series	Z27k G3	hp z27k g3	PROFESSIONAL_MONITOR	27	4K_UHD	60	IPS	head seed
LENOVO	THINKVISION	P Series	P27h-30	thinkvision p27h-30	PROFESSIONAL_MONITOR	27	QHD	60	IPS	head seed
APPLE	STUDIO DISPLAY	Studio Display	Studio Display	apple studio display;студийный дисплей	PROFESSIONAL_MONITOR	27	5K	60	IPS	head seed
APPLE	PRO DISPLAY	XDR	Pro Display XDR	apple pro display xdr	PROFESSIONAL_MONITOR	32	6K	60	IPS	head seed
EIZO	COLOREDGE	CG Series	CG2700X	eizo cg2700x	PROFESSIONAL_MONITOR	27	4K_UHD	60	IPS	head seed
IIYAMA	G-MASTER	GB Series	GB2770QSU	iiyama gb2770qsu	GAMING_MONITOR	27	QHD	165	IPS	head seed
XIAOMI	MI MONITOR	Curved	Mi Curved Gaming Monitor 34	xiaomi 34 curved	GAMING_MONITOR	34	WQHD	144	VA	head seed
HUAWEI	MATEVIEW	MateView	MateView	huawei mateview	PROFESSIONAL_MONITOR	28.2	4K_UHD	60	IPS	head seed
KOORUI	GN Series	GN10	GN10	koorui gn10	GAMING_MONITOR	27	QHD	240	VA	head seed
INNOCN	PORTABLE	15 Series	15A1F	innocn portable oled	PORTABLE_MONITOR	15.6	FHD	60	OLED	head seed
ASUS	Zenscreen	MB Series	MB16AC	asus mb16ac;zenscreen	PORTABLE_MONITOR	15.6	FHD	60	IPS	head seed
LENOVO	ThinkVision	M Series	M14	lenovo m14;thinkvision m14	PORTABLE_MONITOR	14	FHD	60	IPS	head seed
DELL	P Series	P2419H	P2419H	dell p2419h	COMPUTER_MONITOR	24	FHD	60	IPS	head seed
DELL	P Series	P2422H	P2422H	dell p2422h	COMPUTER_MONITOR	24	FHD	60	IPS	head seed
LG	ULTRAGEAR	45 Series	45GR95QE	lg 45gr95qe;oled ultragear	GAMING_MONITOR	45	WQHD	240	OLED	head seed
SAMSUNG	ODYSSEY	ARK	Odyssey Ark	odyssey ark	GAMING_MONITOR	55	4K_UHD	165	VA	head seed
