alias	locale	target_type	target_code	confidence	guard	notes
бенкью	ru	brand	BENQ	0.96		
benq	ru	brand	BENQ	0.96		
аос	ru	brand	AOC	0.96		
aoc	ru	brand	AOC	0.96		
viewsonic	ru	brand	VIEWSONIC	0.96		
вьюсоник	ru	brand	VIEWSONIC	0.96		
gigabyte	ru	brand	GIGABYTE	0.96		
гигабайт	ru	brand	GIGABYTE	0.96		
msi	ru	brand	MSI	0.96		
мси	ru	brand	MSI	0.96		
apple	ru	brand	APPLE	0.96		
эпл	ru	brand	APPLE	0.96		
studio display	ru	brand	APPLE	0.96		
eizo	ru	brand	EIZO	0.96		
эйзо	ru	brand	EIZO	0.96		
philips	ru	brand	PHILIPS	0.96		
филипс	ru	brand	PHILIPS	0.96		
hp	ru	brand	HP	0.96		
хп	ru	brand	HP	0.96		
lenovo	ru	brand	LENOVO	0.96		
леново	ru	brand	LENOVO	0.96		
телевизор	ru	route_guard_target	TECH.TV_HOME_THEATER	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
smart tv	ru	route_guard_target	TECH.TV_HOME_THEATER	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
проектор	ru	route_guard_target	TECH.TV_HOME_THEATER	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
ноутбук	ru	route_guard_target	TECH.COMPUTERS	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
экран ноутбука	ru	route_guard_target	TECH.COMPUTER_ACCESSORIES	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
матрица ноутбука	ru	route_guard_target	TECH.COMPUTER_ACCESSORIES	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
планшет	ru	route_guard_target	TECH.TABLETS_E_READERS	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
графический планшет	ru	route_guard_target	TECH.TABLETS_E_READERS	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
wacom cintiq	ru	route_guard_target	TECH.TABLETS_E_READERS	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
huion kamvas	ru	route_guard_target	TECH.TABLETS_E_READERS	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
кронштейн для монитора	ru	route_guard_target	TECH.COMPUTER_ACCESSORIES	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
monitor arm	ru	route_guard_target	TECH.COMPUTER_ACCESSORIES	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
видеокарта	ru	route_guard_target	TECH.PC_COMPONENTS	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
кабель hdmi	ru	route_guard_target	TECH.POWER_CHARGING_CABLES	0.95	exclude_if_no_monitor_unit	negative/cross-route alias
