query	expected_categoryCode	expected_display_type	expected_attrs_json	route_note
asus монитор 27	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""ASUS"", ""screen_size_in"": ""27""}"	
acer монитор 27	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""ACER"", ""screen_size_in"": ""27""}"	
benq монитор 27	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""BENQ"", ""screen_size_in"": ""27""}"	
aoc монитор 27	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""AOC"", ""screen_size_in"": ""27""}"	
msi монитор 27	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""MSI"", ""screen_size_in"": ""27""}"	
gigabyte монитор 27	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""GIGABYTE"", ""screen_size_in"": ""27""}"	
viewsonic монитор 27	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""VIEWSONIC"", ""screen_size_in"": ""27""}"	
монитор 75 герц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""refresh_rate_hz"": ""75""}"	
монитор 100 герц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""refresh_rate_hz"": ""100""}"	
монитор 144 герц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""refresh_rate_hz"": ""144""}"	
монитор 165 герц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""refresh_rate_hz"": ""165""}"	
монитор 240 герц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""refresh_rate_hz"": ""240""}"	
монитор 360 герц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""refresh_rate_hz"": ""360""}"	
монитор full hd	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""resolution_text"": ""full hd""}"	
монитор qhd	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""resolution_text"": ""qhd""}"	
монитор 4k	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""resolution_text"": ""4k""}"	
монитор 5k	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""resolution_text"": ""5k""}"	
телевизор samsung 55 4k	TECH.TV_HOME_THEATER		{}	TV route
проектор full hd	TECH.TV_HOME_THEATER		{}	projector route
ноутбук lenovo 15 дюймов	TECH.COMPUTERS		{}	laptop route
матрица ноутбука hp	TECH.COMPUTER_ACCESSORIES		{}	laptop screen part
кронштейн для монитора dual arm	TECH.COMPUTER_ACCESSORIES		{}	monitor arm route
wacom cintiq 16	TECH.TABLETS_E_READERS		{}	graphics tablet route
huion kamvas 13	TECH.TABLETS_E_READERS		{}	graphics tablet route
кабель hdmi 2 метра	TECH.POWER_CHARGING_CABLES		{}	generic cable route
видеокарта rtx 4070	TECH.PC_COMPONENTS		{}	GPU route
airpods pro	TECH.AUDIO		{}	audio route
apple watch ultra	TECH.WEARABLES		{}	wearables route
чехол iphone 13	TECH.PHONE_ACCESSORIES		{}	phone accessory route
viewsonic монитор 49 wqhd 500гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""VIEWSONIC"", ""screen_size_in"": ""49"", ""resolution_class"": ""WQHD"", ""refresh_rate_hz"": ""500""}"	
viewsonic монитор 14 fhd 360гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""VIEWSONIC"", ""screen_size_in"": ""14"", ""resolution_class"": ""FHD"", ""refresh_rate_hz"": ""360""}"	
dell монитор 45 other 280гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""DELL"", ""screen_size_in"": ""45"", ""resolution_class"": ""OTHER"", ""refresh_rate_hz"": ""280""}"	
koorui монитор 31.5 uwqhd 120гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""KOORUI"", ""screen_size_in"": ""31.5"", ""resolution_class"": ""UWQHD"", ""refresh_rate_hz"": ""120""}"	
apple монитор 30 qhd 280гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""APPLE"", ""screen_size_in"": ""30"", ""resolution_class"": ""QHD"", ""refresh_rate_hz"": ""280""}"	
lenovo монитор 14 6k 360гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""LENOVO"", ""screen_size_in"": ""14"", ""resolution_class"": ""6K"", ""refresh_rate_hz"": ""360""}"	
xiaomi монитор 23.8 hd 300гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""XIAOMI"", ""screen_size_in"": ""23.8"", ""resolution_class"": ""HD"", ""refresh_rate_hz"": ""300""}"	
lg монитор 25 5k 300гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""LG"", ""screen_size_in"": ""25"", ""resolution_class"": ""5K"", ""refresh_rate_hz"": ""300""}"	
benq монитор 40 hd 300гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""BENQ"", ""screen_size_in"": ""40"", ""resolution_class"": ""HD"", ""refresh_rate_hz"": ""300""}"	
dell монитор 15.6 8k 100гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""DELL"", ""screen_size_in"": ""15.6"", ""resolution_class"": ""8K"", ""refresh_rate_hz"": ""100""}"	
koorui монитор 15.6 other 60гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""KOORUI"", ""screen_size_in"": ""15.6"", ""resolution_class"": ""OTHER"", ""refresh_rate_hz"": ""60""}"	
lenovo монитор 15.6 8k 240гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""LENOVO"", ""screen_size_in"": ""15.6"", ""resolution_class"": ""8K"", ""refresh_rate_hz"": ""240""}"	
dell монитор 15.6 uwqhd 360гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""DELL"", ""screen_size_in"": ""15.6"", ""resolution_class"": ""UWQHD"", ""refresh_rate_hz"": ""360""}"	
samsung монитор 34 8k 100гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""SAMSUNG"", ""screen_size_in"": ""34"", ""resolution_class"": ""8K"", ""refresh_rate_hz"": ""100""}"	
apple монитор 22 5k 100гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""APPLE"", ""screen_size_in"": ""22"", ""resolution_class"": ""5K"", ""refresh_rate_hz"": ""100""}"	
lenovo монитор 43 4k_uhd 360гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""LENOVO"", ""screen_size_in"": ""43"", ""resolution_class"": ""4K_UHD"", ""refresh_rate_hz"": ""360""}"	
iiyama монитор 21.5 other 144гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""IIYAMA"", ""screen_size_in"": ""21.5"", ""resolution_class"": ""OTHER"", ""refresh_rate_hz"": ""144""}"	
hp монитор 14 5k 360гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""HP"", ""screen_size_in"": ""14"", ""resolution_class"": ""5K"", ""refresh_rate_hz"": ""360""}"	
gigabyte монитор 18.5 6k 240гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""GIGABYTE"", ""screen_size_in"": ""18.5"", ""resolution_class"": ""6K"", ""refresh_rate_hz"": ""240""}"	
eizo монитор 55 uwqhd 170гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""EIZO"", ""screen_size_in"": ""55"", ""resolution_class"": ""UWQHD"", ""refresh_rate_hz"": ""170""}"	
benq монитор 23.8 hd 60гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""BENQ"", ""screen_size_in"": ""23.8"", ""resolution_class"": ""HD"", ""refresh_rate_hz"": ""60""}"	
alienware монитор 23.8 5k 240гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""ALIENWARE"", ""screen_size_in"": ""23.8"", ""resolution_class"": ""5K"", ""refresh_rate_hz"": ""240""}"	
samsung монитор 43 wqhd 60гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""SAMSUNG"", ""screen_size_in"": ""43"", ""resolution_class"": ""WQHD"", ""refresh_rate_hz"": ""60""}"	
hp монитор 29 other 75гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""HP"", ""screen_size_in"": ""29"", ""resolution_class"": ""OTHER"", ""refresh_rate_hz"": ""75""}"	
samsung монитор 25 hd 75гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""SAMSUNG"", ""screen_size_in"": ""25"", ""resolution_class"": ""HD"", ""refresh_rate_hz"": ""75""}"	
philips монитор 43 wqhd 180гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""PHILIPS"", ""screen_size_in"": ""43"", ""resolution_class"": ""WQHD"", ""refresh_rate_hz"": ""180""}"	
gigabyte монитор 17.3 wqhd 100гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""GIGABYTE"", ""screen_size_in"": ""17.3"", ""resolution_class"": ""WQHD"", ""refresh_rate_hz"": ""100""}"	
iiyama монитор 25 other 165гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""IIYAMA"", ""screen_size_in"": ""25"", ""resolution_class"": ""OTHER"", ""refresh_rate_hz"": ""165""}"	
benq монитор 23.8 8k 280гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""BENQ"", ""screen_size_in"": ""23.8"", ""resolution_class"": ""8K"", ""refresh_rate_hz"": ""280""}"	
alienware монитор 45 8k 360гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""ALIENWARE"", ""screen_size_in"": ""45"", ""resolution_class"": ""8K"", ""refresh_rate_hz"": ""360""}"	
lenovo монитор 25 qhd 60гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""LENOVO"", ""screen_size_in"": ""25"", ""resolution_class"": ""QHD"", ""refresh_rate_hz"": ""60""}"	
eizo монитор 21.5 4k_uhd 300гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""EIZO"", ""screen_size_in"": ""21.5"", ""resolution_class"": ""4K_UHD"", ""refresh_rate_hz"": ""300""}"	
benq монитор 16 4k_uhd 170гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""BENQ"", ""screen_size_in"": ""16"", ""resolution_class"": ""4K_UHD"", ""refresh_rate_hz"": ""170""}"	
gigabyte монитор 34 qhd 180гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""GIGABYTE"", ""screen_size_in"": ""34"", ""resolution_class"": ""QHD"", ""refresh_rate_hz"": ""180""}"	
msi монитор 18.5 6k 200гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""MSI"", ""screen_size_in"": ""18.5"", ""resolution_class"": ""6K"", ""refresh_rate_hz"": ""200""}"	
koorui монитор 45 uwqhd 360гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""KOORUI"", ""screen_size_in"": ""45"", ""resolution_class"": ""UWQHD"", ""refresh_rate_hz"": ""360""}"	
asus монитор 38 8k 100гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""ASUS"", ""screen_size_in"": ""38"", ""resolution_class"": ""8K"", ""refresh_rate_hz"": ""100""}"	
lg монитор 43 4k_uhd 280гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""LG"", ""screen_size_in"": ""43"", ""resolution_class"": ""4K_UHD"", ""refresh_rate_hz"": ""280""}"	
apple монитор 24 uwqhd 280гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""APPLE"", ""screen_size_in"": ""24"", ""resolution_class"": ""UWQHD"", ""refresh_rate_hz"": ""280""}"	
benq монитор 17.3 uwqhd 165гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""BENQ"", ""screen_size_in"": ""17.3"", ""resolution_class"": ""UWQHD"", ""refresh_rate_hz"": ""165""}"	
koorui монитор 43 hd 240гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""KOORUI"", ""screen_size_in"": ""43"", ""resolution_class"": ""HD"", ""refresh_rate_hz"": ""240""}"	
lg монитор 17.3 fhd 60гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""LG"", ""screen_size_in"": ""17.3"", ""resolution_class"": ""FHD"", ""refresh_rate_hz"": ""60""}"	
dell монитор 34 fhd 500гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""DELL"", ""screen_size_in"": ""34"", ""resolution_class"": ""FHD"", ""refresh_rate_hz"": ""500""}"	
aoc монитор 14 fhd 360гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""AOC"", ""screen_size_in"": ""14"", ""resolution_class"": ""FHD"", ""refresh_rate_hz"": ""360""}"	
xiaomi монитор 29 6k 360гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""XIAOMI"", ""screen_size_in"": ""29"", ""resolution_class"": ""6K"", ""refresh_rate_hz"": ""360""}"	
aoc монитор 34 5k 180гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""AOC"", ""screen_size_in"": ""34"", ""resolution_class"": ""5K"", ""refresh_rate_hz"": ""180""}"	
benq монитор 38 5k 170гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""BENQ"", ""screen_size_in"": ""38"", ""resolution_class"": ""5K"", ""refresh_rate_hz"": ""170""}"	
xiaomi монитор 15.6 6k 60гц	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	"{""brand"": ""XIAOMI"", ""screen_size_in"": ""15.6"", ""resolution_class"": ""6K"", ""refresh_rate_hz"": ""60""}"	
huawei монитор 13.3 wqhd 300гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""HUAWEI"", ""screen_size_in"": ""13.3"", ""resolution_class"": ""WQHD"", ""refresh_rate_hz"": ""300""}"	
eizo монитор 55 4k_uhd 240гц	TECH.MONITORS_DISPLAYS	GAMING_MONITOR	"{""brand"": ""EIZO"", ""screen_size_in"": ""55"", ""resolution_class"": ""4K_UHD"", ""refresh_rate_hz"": ""240""}"	
