attribute_code	value_code	label_ru	aliases_ru	notes
screen_size_in	21.5	21.5″	21_5 дюймов	head size; numeric parser accepts long-tail
screen_size_in	22	22″	22 дюймов	head size; numeric parser accepts long-tail
screen_size_in	23.8	23.8″	23_8 дюймов	head size; numeric parser accepts long-tail
screen_size_in	24	24″	24 дюймов	head size; numeric parser accepts long-tail
screen_size_in	25	25″	25 дюймов	head size; numeric parser accepts long-tail
screen_size_in	27	27″	27 дюймов	head size; numeric parser accepts long-tail
screen_size_in	28	28″	28 дюймов	head size; numeric parser accepts long-tail
screen_size_in	29	29″	29 дюймов	head size; numeric parser accepts long-tail
screen_size_in	30	30″	30 дюймов	head size; numeric parser accepts long-tail
screen_size_in	31.5	31.5″	31_5 дюймов	head size; numeric parser accepts long-tail
screen_size_in	32	32″	32 дюймов	head size; numeric parser accepts long-tail
screen_size_in	34	34″	34 дюймов	head size; numeric parser accepts long-tail
screen_size_in	38	38″	38 дюймов	head size; numeric parser accepts long-tail
screen_size_in	40	40″	40 дюймов	head size; numeric parser accepts long-tail
screen_size_in	43	43″	43 дюймов	head size; numeric parser accepts long-tail
screen_size_in	45	45″	45 дюймов	head size; numeric parser accepts long-tail
screen_size_in	49	49″	49 дюймов	head size; numeric parser accepts long-tail
screen_size_in	55	55″	55 дюймов	head size; numeric parser accepts long-tail
resolution_class	HD	HD / 720p	hd 720p	
resolution_class	FHD	Full HD / 1080p	full hd;fhd;1080p;1920x1080	
resolution_class	QHD	QHD / 1440p	2k;qhd;1440p;2560x1440	
resolution_class	WQHD	Wide QHD	wqhd;3440x1440;wide qhd	
resolution_class	UWQHD	UltraWide QHD	ultrawide qhd;uwqhd	
resolution_class	4K_UHD	4K UHD	4k;uhd;3840x2160;2160p	
resolution_class	5K	5K	5120x2880;5k	
resolution_class	6K	6K	6016x3384;6k	
resolution_class	8K	8K	7680x4320;8k	
resolution_class	OTHER	Другое	other	
refresh_rate_hz	60	60 Гц	60hz;60 гц	
refresh_rate_hz	75	75 Гц	75hz;75 гц	
refresh_rate_hz	100	100 Гц	100hz;100 гц	
refresh_rate_hz	120	120 Гц	120hz;120 гц	
refresh_rate_hz	144	144 Гц	144hz;144 гц	
refresh_rate_hz	165	165 Гц	165hz;165 гц	
refresh_rate_hz	170	170 Гц	170hz;170 гц	
refresh_rate_hz	180	180 Гц	180hz;180 гц	
refresh_rate_hz	200	200 Гц	200hz;200 гц	
refresh_rate_hz	240	240 Гц	240hz;240 гц	
refresh_rate_hz	280	280 Гц	280hz;280 гц	
refresh_rate_hz	300	300 Гц	300hz;300 гц	
refresh_rate_hz	360	360 Гц	360hz;360 гц	
refresh_rate_hz	500	500 Гц	500hz;500 гц	
panel_technology	IPS	IPS	ips	
panel_technology	VA	VA	va	
panel_technology	TN	TN	tn	
panel_technology	OLED	OLED	oled	
panel_technology	QD_OLED	QD_OLED	qd-oled	
panel_technology	MINI_LED	MINI_LED	mini-led	
panel_technology	PLS	PLS	pls	
panel_technology	ADS	ADS	ads	
panel_technology	AHVA	AHVA	ahva	
panel_technology	E_INK	E_INK	e-ink	
panel_technology	UNKNOWN	UNKNOWN	unknown	
aspect_ratio	16_9	16:9	16:9	
aspect_ratio	16_10	16:10	16:10	
aspect_ratio	21_9	21:9	21:9	
aspect_ratio	32_9	32:9	32:9	
aspect_ratio	3_2	3:2	3:2	
aspect_ratio	4_3	4:3	4:3	
aspect_ratio	5_4	5:4	5:4	
aspect_ratio	OTHER	OTHER	OTHER	
connector_input_primary	HDMI	HDMI	hdmi	
connector_input_primary	DISPLAYPORT	DISPLAYPORT	displayport	
connector_input_primary	USB_C	USB_C	usb-c	
connector_input_primary	THUNDERBOLT	THUNDERBOLT	thunderbolt	
connector_input_primary	MINI_DISPLAYPORT	MINI_DISPLAYPORT	mini-displayport	
connector_input_primary	VGA	VGA	vga	
connector_input_primary	DVI	DVI	dvi	
connector_input_primary	COMPOSITE	COMPOSITE	composite	
connector_input_primary	SDI	SDI	sdi	
connector_input_primary	WIRELESS_CAST	WIRELESS_CAST	wireless-cast	
connector_input_primary	UNKNOWN	UNKNOWN	unknown	
hdr_support	NONE	NONE	none	
hdr_support	HDR10	HDR10	hdr10	
hdr_support	HDR10_PLUS	HDR10_PLUS	hdr10-plus	
hdr_support	DOLBY_VISION	DOLBY_VISION	dolby-vision	
hdr_support	DISPLAYHDR_400	DISPLAYHDR_400	displayhdr-400	
hdr_support	DISPLAYHDR_500	DISPLAYHDR_500	displayhdr-500	
hdr_support	DISPLAYHDR_600	DISPLAYHDR_600	displayhdr-600	
hdr_support	DISPLAYHDR_1000	DISPLAYHDR_1000	displayhdr-1000	
hdr_support	HLG	HLG	hlg	
hdr_support	UNKNOWN	UNKNOWN	unknown	
adaptive_sync	NONE	Нет	без adaptive sync	
adaptive_sync	FREESYNC	AMD FreeSync	freesync;фрисинк	
adaptive_sync	G_SYNC	NVIDIA G-Sync	g sync;g-sync;джисинк	
adaptive_sync	G_SYNC_COMPATIBLE	G-Sync Compatible	g-sync compatible	
adaptive_sync	VRR	VRR	variable refresh rate;переменная частота	
adaptive_sync	UNKNOWN	Неизвестно		
vesa_mount	NONE	NONE	none	
vesa_mount	VESA_75x75	VESA_75x75	vesa 75x75	
vesa_mount	VESA_100x100	VESA_100x100	vesa 100x100	
vesa_mount	VESA_200x100	VESA_200x100	vesa 200x100	
vesa_mount	VESA_200x200	VESA_200x200	vesa 200x200	
vesa_mount	PROPRIETARY	PROPRIETARY	proprietary	
vesa_mount	UNKNOWN	UNKNOWN	unknown	
smart_os	NONE	NONE	none	
smart_os	TIZEN	TIZEN	tizen	
smart_os	WEBOS	WEBOS	webos	
smart_os	GOOGLE_TV	GOOGLE_TV	google tv	
smart_os	ANDROID_TV	ANDROID_TV	android tv	
smart_os	ROKU_TV	ROKU_TV	roku tv	
smart_os	FIRE_TV	FIRE_TV	fire tv	
smart_os	UNKNOWN	UNKNOWN	unknown	
portable_power_mode	USB_C_POWERED	Питание по USB-C	usb-c powered;питание usb c	
portable_power_mode	EXTERNAL_POWER_ADAPTER	Внешний адаптер	адаптер питания	
portable_power_mode	BUILT_IN_BATTERY	Встроенный аккумулятор	battery;аккумулятор	
portable_power_mode	UNKNOWN	Неизвестно		
monitor_accessory_type	STAND_BASE	STAND_BASE	stand base	
monitor_accessory_type	POWER_ADAPTER	POWER_ADAPTER	power adapter	
monitor_accessory_type	DISPLAY_CABLE	DISPLAY_CABLE	display cable	
monitor_accessory_type	VESA_ADAPTER	VESA_ADAPTER	vesa adapter	
monitor_accessory_type	PRIVACY_FILTER	PRIVACY_FILTER	privacy filter	
monitor_accessory_type	SCREEN_PROTECTOR	SCREEN_PROTECTOR	screen protector	
monitor_accessory_type	MONITOR_HOOD	MONITOR_HOOD	monitor hood	
monitor_accessory_type	REMOTE_CONTROL	REMOTE_CONTROL	remote control	
monitor_accessory_type	CALIBRATION_TOOL	CALIBRATION_TOOL	calibration tool	
monitor_accessory_type	REPLACEMENT_PART	REPLACEMENT_PART	replacement part	
monitor_accessory_type	CLEANING_KIT	CLEANING_KIT	cleaning kit	
color_gamut	SRGB_99	SRGB_99	srgb 99	
color_gamut	SRGB_100	SRGB_100	srgb 100	
color_gamut	DCI_P3_90	DCI_P3_90	dci p3 90	
color_gamut	DCI_P3_95	DCI_P3_95	dci p3 95	
color_gamut	DCI_P3_98	DCI_P3_98	dci p3 98	
color_gamut	ADOBE_RGB_99	ADOBE_RGB_99	adobe rgb 99	
color_gamut	REC709_100	REC709_100	rec709 100	
color_gamut	UNKNOWN	UNKNOWN	unknown	
warranty_status	NO_WARRANTY	NO_WARRANTY	no warranty	
warranty_status	SELLER_WARRANTY	SELLER_WARRANTY	seller warranty	
warranty_status	MANUFACTURER_WARRANTY	MANUFACTURER_WARRANTY	manufacturer warranty	
warranty_status	EXTENDED_WARRANTY	EXTENDED_WARRANTY	extended warranty	
warranty_status	UNKNOWN	UNKNOWN	unknown	
dead_pixel_status	NO_DEAD_PIXELS_DECLARED	NO_DEAD_PIXELS_DECLARED	no dead pixels declared	
dead_pixel_status	HAS_DEAD_PIXELS	HAS_DEAD_PIXELS	has dead pixels	
dead_pixel_status	UNKNOWN	UNKNOWN	unknown	
backlight_uniformity_status	OK_DECLARED	OK_DECLARED	ok declared	
backlight_uniformity_status	BACKLIGHT_BLEED_DECLARED	BACKLIGHT_BLEED_DECLARED	backlight bleed declared	
backlight_uniformity_status	UNIFORMITY_ISSUES_DECLARED	UNIFORMITY_ISSUES_DECLARED	uniformity issues declared	
backlight_uniformity_status	UNKNOWN	UNKNOWN	unknown	
screen_surface	MATTE	Матовый	матовый;anti glare;антиблик	
screen_surface	GLOSSY	Глянцевый	глянцевый	
screen_surface	SEMI_GLOSS	Полуглянцевый	semi gloss	
screen_surface	UNKNOWN	Неизвестно		
touch_interface	USB	USB	usb touch	
touch_interface	SERIAL	Serial	rs232;serial	
touch_interface	USB_C	USB-C	usb-c touch	
touch_interface	UNKNOWN	Неизвестно		
vision_evidence_level	PHOTO_ONLY	Фото без подтверждения	photo only	
vision_evidence_level	TEXT_CLAIM	Текст продавца	seller text	
vision_evidence_level	LABEL_OCR	OCR наклейки/коробки	ocr label	
vision_evidence_level	BARCODE_GTIN	Штрихкод/GTIN	barcode;gtin	
vision_evidence_level	SPEC_SHEET	Спецификация/страница производителя	spec sheet	
