brand	model	alias	locale	confidence	notes
PHILIPS	276E8VJSB	276e8vjsb	ru	0.92	lowercase alias
HP	Z27k G3	hp z27k g3	ru	0.94	head alias
HP	Z27k G3	z27k g3	ru	0.92	lowercase alias
LENOVO	P27h-30	thinkvision p27h-30	ru	0.94	head alias
LENOVO	P27h-30	p27h-30	ru	0.92	lowercase alias
APPLE	Studio Display	apple studio display	ru	0.94	head alias
APPLE	Studio Display	студийный дисплей	ru	0.94	head alias
APPLE	Studio Display	studio display	ru	0.92	lowercase alias
APPLE	Pro Display XDR	apple pro display xdr	ru	0.94	head alias
APPLE	Pro Display XDR	pro display xdr	ru	0.92	lowercase alias
EIZO	CG2700X	eizo cg2700x	ru	0.94	head alias
EIZO	CG2700X	cg2700x	ru	0.92	lowercase alias
IIYAMA	GB2770QSU	iiyama gb2770qsu	ru	0.94	head alias
IIYAMA	GB2770QSU	gb2770qsu	ru	0.92	lowercase alias
XIAOMI	Mi Curved Gaming Monitor 34	xiaomi 34 curved	ru	0.94	head alias
XIAOMI	Mi Curved Gaming Monitor 34	mi curved gaming monitor 34	ru	0.92	lowercase alias
HUAWEI	MateView	huawei mateview	ru	0.94	head alias
HUAWEI	MateView	mateview	ru	0.92	lowercase alias
KOORUI	GN10	koorui gn10	ru	0.94	head alias
KOORUI	GN10	gn10	ru	0.92	lowercase alias
INNOCN	15A1F	innocn portable oled	ru	0.94	head alias
INNOCN	15A1F	15a1f	ru	0.92	lowercase alias
ASUS	MB16AC	asus mb16ac	ru	0.94	head alias
ASUS	MB16AC	zenscreen	ru	0.94	head alias
ASUS	MB16AC	mb16ac	ru	0.92	lowercase alias
LENOVO	M14	lenovo m14	ru	0.94	head alias
LENOVO	M14	thinkvision m14	ru	0.94	head alias
LENOVO	M14	m14	ru	0.92	lowercase alias
DELL	P2419H	dell p2419h	ru	0.94	head alias
DELL	P2419H	p2419h	ru	0.92	lowercase alias
DELL	P2422H	dell p2422h	ru	0.94	head alias
DELL	P2422H	p2422h	ru	0.92	lowercase alias
LG	45GR95QE	lg 45gr95qe	ru	0.94	head alias
LG	45GR95QE	oled ultragear	ru	0.94	head alias
LG	45GR95QE	45gr95qe	ru	0.92	lowercase alias
SAMSUNG	Odyssey Ark	odyssey ark	ru	0.94	head alias
SAMSUNG	Odyssey Ark	odyssey ark	ru	0.92	lowercase alias
