query	expected_type	expected_id	notes
духовка	NODE	bn_appl_major_ovens	auto
купить духовка	NODE	bn_appl_major_ovens	auto
духовка купить	NODE	bn_appl_major_ovens	auto
духовка цена	NODE	bn_appl_major_ovens	auto
духовка недорого	NODE	bn_appl_major_ovens	auto
купить духовой шкаф	NODE	bn_appl_major_ovens	variant
вытяжка	NODE	bn_appl_major_hoods	auto
купить вытяжка	NODE	bn_appl_major_hoods	auto
вытяжка купить	NODE	bn_appl_major_hoods	auto
вытяжка цена	NODE	bn_appl_major_hoods	auto
вытяжка недорого	NODE	bn_appl_major_hoods	auto
купить кухонная вытяжка	NODE	bn_appl_major_hoods	variant
встройка кухня	NODE	bn_appl_major_builtin	auto
купить встройка кухня	NODE	bn_appl_major_builtin	auto
встройка кухня купить	NODE	bn_appl_major_builtin	auto
встройка кухня цена	NODE	bn_appl_major_builtin	auto
встройка кухня недорого	NODE	bn_appl_major_builtin	auto
купить встроенная техника	NODE	bn_appl_major_builtin	variant
винный шкаф	NODE	bn_appl_major_winecoolers	auto
купить винный шкаф	NODE	bn_appl_major_winecoolers	auto
винный шкаф купить	NODE	bn_appl_major_winecoolers	auto
винный шкаф цена	NODE	bn_appl_major_winecoolers	auto
винный шкаф недорого	NODE	bn_appl_major_winecoolers	auto
купить винные шкафы	NODE	bn_appl_major_winecoolers	variant
свч	NODE	bn_appl_kitchen_microwaves	auto
купить свч	NODE	bn_appl_kitchen_microwaves	auto
свч купить	NODE	bn_appl_kitchen_microwaves	auto
свч цена	NODE	bn_appl_kitchen_microwaves	auto
свч недорого	NODE	bn_appl_kitchen_microwaves	auto
купить печь свч	NODE	bn_appl_kitchen_microwaves	variant
кофемашина	NODE	bn_appl_kitchen_coffee_machines	auto
купить кофемашина	NODE	bn_appl_kitchen_coffee_machines	auto
кофемашина купить	NODE	bn_appl_kitchen_coffee_machines	auto
кофемашина цена	NODE	bn_appl_kitchen_coffee_machines	auto
кофемашина недорого	NODE	bn_appl_kitchen_coffee_machines	auto
купить кофемашина delonghi	NODE	bn_appl_kitchen_coffee_machines	variant
кофеварка	NODE	bn_appl_kitchen_coffee_makers	auto
купить кофеварка	NODE	bn_appl_kitchen_coffee_makers	auto
кофеварка купить	NODE	bn_appl_kitchen_coffee_makers	auto
кофеварка цена	NODE	bn_appl_kitchen_coffee_makers	auto
кофеварка недорого	NODE	bn_appl_kitchen_coffee_makers	auto
купить рожковая кофеварка	NODE	bn_appl_kitchen_coffee_makers	variant
умный чайник	NODE	bn_appl_kitchen_kettles	auto
купить умный чайник	NODE	bn_appl_kitchen_kettles	auto
умный чайник купить	NODE	bn_appl_kitchen_kettles	auto
умный чайник цена	NODE	bn_appl_kitchen_kettles	auto
умный чайник недорого	NODE	bn_appl_kitchen_kettles	auto
купить электрочайник	NODE	bn_appl_kitchen_kettles	variant
блендер	NODE	bn_appl_kitchen_blenders	auto
купить блендер	NODE	bn_appl_kitchen_blenders	auto
блендер купить	NODE	bn_appl_kitchen_blenders	auto
блендер цена	NODE	bn_appl_kitchen_blenders	auto
блендер недорого	NODE	bn_appl_kitchen_blenders	auto
купить блендеры	NODE	bn_appl_kitchen_blenders	variant
миксер	NODE	bn_appl_kitchen_mixers	auto
купить миксер	NODE	bn_appl_kitchen_mixers	auto
миксер купить	NODE	bn_appl_kitchen_mixers	auto
миксер цена	NODE	bn_appl_kitchen_mixers	auto
миксер недорого	NODE	bn_appl_kitchen_mixers	auto
купить миксеры	NODE	bn_appl_kitchen_mixers	variant
комбайны	NODE	bn_appl_kitchen_processors	auto
купить комбайны	NODE	bn_appl_kitchen_processors	auto
комбайны купить	NODE	bn_appl_kitchen_processors	auto
комбайны цена	NODE	bn_appl_kitchen_processors	auto
комбайны недорого	NODE	bn_appl_kitchen_processors	auto
купить food processor	NODE	bn_appl_kitchen_processors	variant
мясорубка	NODE	bn_appl_kitchen_meat_grinders	auto
купить мясорубка	NODE	bn_appl_kitchen_meat_grinders	auto
мясорубка купить	NODE	bn_appl_kitchen_meat_grinders	auto
мясорубка цена	NODE	bn_appl_kitchen_meat_grinders	auto
мясорубка недорого	NODE	bn_appl_kitchen_meat_grinders	auto
купить мясорубки	NODE	bn_appl_kitchen_meat_grinders	variant
соковыжималка	NODE	bn_appl_kitchen_juicers	auto
купить соковыжималка	NODE	bn_appl_kitchen_juicers	auto
соковыжималка купить	NODE	bn_appl_kitchen_juicers	auto
соковыжималка цена	NODE	bn_appl_kitchen_juicers	auto
соковыжималка недорого	NODE	bn_appl_kitchen_juicers	auto
купить соковыжималки	NODE	bn_appl_kitchen_juicers	variant
скороварка	NODE	bn_appl_kitchen_multicookers	auto
купить скороварка	NODE	bn_appl_kitchen_multicookers	auto
скороварка купить	NODE	bn_appl_kitchen_multicookers	auto
скороварка цена	NODE	bn_appl_kitchen_multicookers	auto
скороварка недорого	NODE	bn_appl_kitchen_multicookers	auto
купить мультиварка	NODE	bn_appl_kitchen_multicookers	variant
air fryer	NODE	bn_appl_kitchen_airfryers	auto
купить air fryer	NODE	bn_appl_kitchen_airfryers	auto
air fryer купить	NODE	bn_appl_kitchen_airfryers	auto
air fryer цена	NODE	bn_appl_kitchen_airfryers	auto
air fryer недорого	NODE	bn_appl_kitchen_airfryers	auto
купить аэрогрили	NODE	bn_appl_kitchen_airfryers	variant
тостер	NODE	bn_appl_kitchen_toasters	auto
купить тостер	NODE	bn_appl_kitchen_toasters	auto
тостер купить	NODE	bn_appl_kitchen_toasters	auto
тостер цена	NODE	bn_appl_kitchen_toasters	auto
тостер недорого	NODE	bn_appl_kitchen_toasters	auto
купить тостеры	NODE	bn_appl_kitchen_toasters	variant
гриль тефаль	NODE	bn_appl_kitchen_grills	auto
купить гриль тефаль	NODE	bn_appl_kitchen_grills	auto
гриль тефаль купить	NODE	bn_appl_kitchen_grills	auto
гриль тефаль цена	NODE	bn_appl_kitchen_grills	auto
гриль тефаль недорого	NODE	bn_appl_kitchen_grills	auto
купить электрогриль	NODE	bn_appl_kitchen_grills	variant
барьер фильтр	NODE	bn_appl_kitchen_water_filters	auto
купить барьер фильтр	NODE	bn_appl_kitchen_water_filters	auto
барьер фильтр купить	NODE	bn_appl_kitchen_water_filters	auto
барьер фильтр цена	NODE	bn_appl_kitchen_water_filters	auto
барьер фильтр недорого	NODE	bn_appl_kitchen_water_filters	auto
купить фильтр-кувшин	NODE	bn_appl_kitchen_water_filters	variant
пылесос	NODE	bn_appl_homecare_vacuums	auto
купить пылесос	NODE	bn_appl_homecare_vacuums	auto
пылесос купить	NODE	bn_appl_homecare_vacuums	auto
пылесос цена	NODE	bn_appl_homecare_vacuums	auto
пылесос недорого	NODE	bn_appl_homecare_vacuums	auto
купить пылесосы	NODE	bn_appl_homecare_vacuums	variant
робот пылесос	NODE	bn_appl_homecare_robot_vacuums	auto
купить робот пылесос	NODE	bn_appl_homecare_robot_vacuums	auto
робот пылесос купить	NODE	bn_appl_homecare_robot_vacuums	auto
робот пылесос цена	NODE	bn_appl_homecare_robot_vacuums	auto
робот пылесос недорого	NODE	bn_appl_homecare_robot_vacuums	auto
купить робот-пылесос	NODE	bn_appl_homecare_robot_vacuums	variant
паровая швабра	NODE	bn_appl_homecare_steam_cleaners	auto
купить паровая швабра	NODE	bn_appl_homecare_steam_cleaners	auto
паровая швабра купить	NODE	bn_appl_homecare_steam_cleaners	auto
паровая швабра цена	NODE	bn_appl_homecare_steam_cleaners	auto
паровая швабра недорого	NODE	bn_appl_homecare_steam_cleaners	auto
купить пароочистители	NODE	bn_appl_homecare_steam_cleaners	variant
утюг	NODE	bn_appl_homecare_irons	auto
купить утюг	NODE	bn_appl_homecare_irons	auto
утюг купить	NODE	bn_appl_homecare_irons	auto
утюг цена	NODE	bn_appl_homecare_irons	auto
утюг недорого	NODE	bn_appl_homecare_irons	auto
купить утюги	NODE	bn_appl_homecare_irons	variant
отпариватель	NODE	bn_appl_homecare_steamers	auto
купить отпариватель	NODE	bn_appl_homecare_steamers	auto
отпариватель купить	NODE	bn_appl_homecare_steamers	auto
отпариватель цена	NODE	bn_appl_homecare_steamers	auto
отпариватель недорого	NODE	bn_appl_homecare_steamers	auto
купить парогенератор	NODE	bn_appl_homecare_steamers	variant
сплит	NODE	bn_appl_climate_air_conditioners	auto
купить сплит	NODE	bn_appl_climate_air_conditioners	auto
сплит купить	NODE	bn_appl_climate_air_conditioners	auto
сплит цена	NODE	bn_appl_climate_air_conditioners	auto
сплит недорого	NODE	bn_appl_climate_air_conditioners	auto
купить кондиционер	NODE	bn_appl_climate_air_conditioners	variant
мобильный кондиционер	NODE	bn_appl_climate_portable_ac	auto
купить мобильный кондиционер	NODE	bn_appl_climate_portable_ac	auto
мобильный кондиционер купить	NODE	bn_appl_climate_portable_ac	auto
мобильный кондиционер цена	NODE	bn_appl_climate_portable_ac	auto
мобильный кондиционер недорого	NODE	bn_appl_climate_portable_ac	auto
купить напольный кондиционер	NODE	bn_appl_climate_portable_ac	variant
обогреватель	NODE	bn_appl_climate_heaters	auto
купить обогреватель	NODE	bn_appl_climate_heaters	auto
обогреватель купить	NODE	bn_appl_climate_heaters	auto
обогреватель цена	NODE	bn_appl_climate_heaters	auto
обогреватель недорого	NODE	bn_appl_climate_heaters	auto
купить тепловентилятор	NODE	bn_appl_climate_heaters	variant
конвектор	NODE	bn_appl_climate_convectors	auto
купить конвектор	NODE	bn_appl_climate_convectors	auto
конвектор купить	NODE	bn_appl_climate_convectors	auto
конвектор цена	NODE	bn_appl_climate_convectors	auto
конвектор недорого	NODE	bn_appl_climate_convectors	auto
купить электроконвектор	NODE	bn_appl_climate_convectors	variant
вентилятор	NODE	bn_appl_climate_fans	auto
купить вентилятор	NODE	bn_appl_climate_fans	auto
вентилятор купить	NODE	bn_appl_climate_fans	auto
вентилятор цена	NODE	bn_appl_climate_fans	auto
вентилятор недорого	NODE	bn_appl_climate_fans	auto
купить вентиляторы	NODE	bn_appl_climate_fans	variant
увлажнители	NODE	bn_appl_climate_humidifiers	auto
купить увлажнители	NODE	bn_appl_climate_humidifiers	auto
увлажнители купить	NODE	bn_appl_climate_humidifiers	auto
увлажнители цена	NODE	bn_appl_climate_humidifiers	auto
увлажнители недорого	NODE	bn_appl_climate_humidifiers	auto
купить увлажнитель	NODE	bn_appl_climate_humidifiers	variant
hepa очиститель	NODE	bn_appl_climate_purifiers	auto
купить hepa очиститель	NODE	bn_appl_climate_purifiers	auto
hepa очиститель купить	NODE	bn_appl_climate_purifiers	auto
hepa очиститель цена	NODE	bn_appl_climate_purifiers	auto
hepa очиститель недорого	NODE	bn_appl_climate_purifiers	auto
купить воздухоочиститель	NODE	bn_appl_climate_purifiers	variant
осушители воздуха	NODE	bn_appl_climate_dehumidifiers	auto
купить осушители воздуха	NODE	bn_appl_climate_dehumidifiers	auto
осушители воздуха купить	NODE	bn_appl_climate_dehumidifiers	auto
осушители воздуха цена	NODE	bn_appl_climate_dehumidifiers	auto
осушители воздуха недорого	NODE	bn_appl_climate_dehumidifiers	auto
купить осушитель воздуха	NODE	bn_appl_climate_dehumidifiers	variant
мойка воздуха	NODE	bn_appl_climate_complexes	auto
купить мойка воздуха	NODE	bn_appl_climate_complexes	auto
мойка воздуха купить	NODE	bn_appl_climate_complexes	auto
мойка воздуха цена	NODE	bn_appl_climate_complexes	auto
мойка воздуха недорого	NODE	bn_appl_climate_complexes	auto
купить климат-комплекс	NODE	bn_appl_climate_complexes	variant
ремкомплект пылесоса	NODE	bn_appl_acc_parts	auto
купить ремкомплект пылесоса	NODE	bn_appl_acc_parts	auto
ремкомплект пылесоса для холодильника	NODE	bn_appl_acc_parts	auto
ремкомплект пылесоса для стиральной машины	NODE	bn_appl_acc_parts	auto
ремкомплект пылесоса для пылесоса	NODE	bn_appl_acc_parts	auto
купить запчасти для холодильника	NODE	bn_appl_acc_parts	variant
шланг для пылесоса	NODE	bn_appl_acc_accessories	auto
купить шланг для пылесоса	NODE	bn_appl_acc_accessories	auto
шланг для пылесоса для холодильника	NODE	bn_appl_acc_accessories	auto
шланг для пылесоса для стиральной машины	NODE	bn_appl_acc_accessories	auto
шланг для пылесоса для пылесоса	NODE	bn_appl_acc_accessories	auto
купить насадки для пылесоса	NODE	bn_appl_acc_accessories	variant
фильтры	NODE	bn_appl_acc_consumables	auto
купить фильтры	NODE	bn_appl_acc_consumables	auto
фильтры для холодильника	NODE	bn_appl_acc_consumables	auto
фильтры для стиральной машины	NODE	bn_appl_acc_consumables	auto
фильтры для пылесоса	NODE	bn_appl_acc_consumables	auto
купить картридж	NODE	bn_appl_acc_consumables	variant
кондиционер для волос	CANONICAL	BEAUTY.HAIRCARE	disambiguation
кондиционер для белья	CANONICAL	HOME.CLEANING	disambiguation
микшерный пульт купить	CANONICAL	TECH.AUDIO	disambiguation
плита osb купить	CANONICAL	HOME.REPAIR_TOOLS	disambiguation
сушилка напольная для белья купить	CANONICAL	HOME.STORAGE	disambiguation
эпилятор купить	CANONICAL	BEAUTY.DEVICES	negative_for_appl
фен для волос купить	CANONICAL	BEAUTY.DEVICES	negative_for_appl
