value_group	value_code	label_ru	tier	notes	status
ecosystem	OURA	Oura	head		active
ecosystem	WHOOP	Whoop	head		active
ecosystem	WITHINGS	Withings	head		active
ecosystem	META_RAYBAN	Meta Rayban	head		active
ecosystem	XREAL	Xreal	head		active
ecosystem	OTHER	Other	head		active
gps_support	NO_GPS	No Gps	head		active
gps_support	PHONE_ASSISTED_GPS	Phone Assisted Gps	head		active
gps_support	BUILT_IN_GPS	Built In Gps	head		active
gps_support	MULTI_GNSS	Multi Gnss	head		active
gps_support	DUAL_FREQUENCY_GPS	Dual Frequency Gps	head		active
gps_support	UNKNOWN	Unknown	head		active
cellular_support	NO_CELLULAR	No Cellular	head		active
cellular_support	LTE_OPTIONAL	Lte Optional	head		active
cellular_support	LTE_INCLUDED	Lte Included	head		active
cellular_support	ESIM_OPTIONAL	Esim Optional	head		active
cellular_support	KIDS_CELLULAR	Kids Cellular	head		active
cellular_support	UNKNOWN	Unknown	head		active
yes_no_unknown	YES	Yes	head		active
yes_no_unknown	NO	No	head		active
yes_no_unknown	UNKNOWN	Unknown	head		active
sensor	HEART_RATE	Heart Rate	head		active
sensor	SPO2	Spo2	head		active
sensor	ECG	Ecg	head		active
sensor	SKIN_TEMPERATURE	Skin Temperature	head		active
sensor	EDA	Eda	head		active
sensor	BIA	Bia	head		active
sensor	ACCELEROMETER	Accelerometer	head		active
sensor	GYROSCOPE	Gyroscope	head		active
sensor	BAROMETER	Barometer	head		active
sensor	COMPASS	Compass	head		active
sensor	ALTIMETER	Altimeter	head		active
sensor	AMBIENT_LIGHT	Ambient Light	head		active
sensor	GNSS	Gnss	head		active
sensor	DEPTH_GAUGE	Depth Gauge	head		active
health_feature	SLEEP_TRACKING	Sleep Tracking	head		active
health_feature	HEART_RATE_MONITORING	Heart Rate Monitoring	head		active
health_feature	SPO2_MONITORING	Spo2 Monitoring	head		active
health_feature	ECG	Ecg	head		active
health_feature	IRREGULAR_RHYTHM	Irregular Rhythm	head		active
health_feature	BLOOD_PRESSURE_APP	Blood Pressure App	head		active
health_feature	TEMPERATURE_TRENDS	Temperature Trends	head		active
health_feature	CYCLE_TRACKING	Cycle Tracking	head		active
health_feature	BODY_BATTERY	Body Battery	head		active
health_feature	READINESS_SCORE	Readiness Score	head		active
health_feature	STRESS_TRACKING	Stress Tracking	head		active
health_feature	RESPIRATORY_RATE	Respiratory Rate	head		active
health_feature	FALL_DETECTION	Fall Detection	head		active
health_feature	EMERGENCY_SOS	Emergency Sos	head		active
sport_profile	RUNNING	Running	head		active
sport_profile	CYCLING	Cycling	head		active
sport_profile	SWIMMING	Swimming	head		active
sport_profile	TRIATHLON	Triathlon	head		active
sport_profile	HIKING	Hiking	head		active
sport_profile	WALKING	Walking	head		active
sport_profile	STRENGTH	Strength	head		active
sport_profile	YOGA	Yoga	head		active
sport_profile	GOLF	Golf	head		active
sport_profile	SKIING	Skiing	head		active
sport_profile	DIVING	Diving	head		active
sport_profile	ROWING	Rowing	head		active
sport_profile	INDOOR_TRAINING	Indoor Training	head		active
sport_profile	MULTISPORT	Multisport	head		active
water_resistance	IP67	Ip67	head		active
water_resistance	IP68	Ip68	head		active
water_resistance	3ATM	3Atm	head		active
water_resistance	5ATM	5Atm	head		active
water_resistance	10ATM	10Atm	head		active
water_resistance	50M	50M	head		active
water_resistance	100M	100M	head		active
water_resistance	WR50	Wr50	head		active
water_resistance	WR100	Wr100	head		active
water_resistance	SPLASH_RESISTANT	Splash Resistant	head		active
water_resistance	NONE	None	head		active
water_resistance	UNKNOWN	Unknown	head		active
durability_rating	MIL_STD_810H	Mil Std 810H	head		active
durability_rating	SAPPHIRE_GLASS	Sapphire Glass	head		active
durability_rating	GORILLA_GLASS	Gorilla Glass	head		active
durability_rating	TITANIUM_CASE	Titanium Case	head		active
durability_rating	DUST_RESISTANT	Dust Resistant	head		active
durability_rating	RUGGED	Rugged	head		active
durability_rating	DIVE_RATED	Dive Rated	head		active
durability_rating	UNKNOWN	Unknown	head		active
case_material	ALUMINUM	Aluminum	head		active
case_material	STAINLESS_STEEL	Stainless Steel	head		active
case_material	TITANIUM	Titanium	head		active
case_material	PLASTIC	Plastic	head		active
case_material	POLYMER	Polymer	head		active
case_material	CERAMIC	Ceramic	head		active
case_material	RESIN	Resin	head		active
case_material	CARBON	Carbon	head		active
case_material	UNKNOWN	Unknown	head		active
strap_material	SILICONE	Silicone	head		active
strap_material	FLUOROELASTOMER	Fluoroelastomer	head		active
strap_material	NYLON	Nylon	head		active
strap_material	LEATHER	Leather	head		active
strap_material	METAL	Metal	head		active
strap_material	TITANIUM	Titanium	head		active
strap_material	SPORT_LOOP	Sport Loop	head		active
strap_material	FABRIC	Fabric	head		active
strap_material	RUBBER	Rubber	head		active
strap_material	UNKNOWN	Unknown	head		active
strap_width_mm	16	16	head		active
strap_width_mm	18	18	head		active
strap_width_mm	20	20	head		active
strap_width_mm	22	22	head		active
strap_width_mm	24	24	head		active
strap_width_mm	26	26	head		active
strap_width_mm	APPLE_38_40_41	Apple 38 40 41	head		active
strap_width_mm	APPLE_42_44_45_46_49	Apple 42 44 45 46 49	head		active
strap_width_mm	GARMIN_QUICKFIT_20	Garmin Quickfit 20	head		active
strap_width_mm	GARMIN_QUICKFIT_22	Garmin Quickfit 22	head		active
strap_width_mm	GARMIN_QUICKFIT_26	Garmin Quickfit 26	head		active
strap_width_mm	UNKNOWN	Unknown	head		active
band_connector_type	APPLE_WATCH_CONNECTOR	Apple Watch Connector	head		active
band_connector_type	SAMSUNG_ONE_CLICK	Samsung One Click	head		active
band_connector_type	STANDARD_QUICK_RELEASE	Standard Quick Release	head		active
band_connector_type	GARMIN_QUICKFIT	Garmin Quickfit	head		active
band_connector_type	GARMIN_QUICK_RELEASE	Garmin Quick Release	head		active
band_connector_type	FITBIT_PROPRIETARY	Fitbit Proprietary	head		active
band_connector_type	PIXEL_WATCH_CONNECTOR	Pixel Watch Connector	head		active
band_connector_type	UNIVERSAL_LOOP	Universal Loop	head		active
band_connector_type	UNKNOWN	Unknown	head		active
ring_size	US_5	Us 5	head		active
ring_size	US_6	Us 6	head		active
ring_size	US_7	Us 7	head		active
ring_size	US_8	Us 8	head		active
ring_size	US_9	Us 9	head		active
ring_size	US_10	Us 10	head		active
ring_size	US_11	Us 11	head		active
ring_size	US_12	Us 12	head		active
ring_size	US_13	Us 13	head		active
ring_size	UNKNOWN	Unknown	head		active
ar_display_mode	SMART_GLASSES_CAMERA	Smart Glasses Camera	head		active
ar_display_mode	XR_DISPLAY_GLASSES	Xr Display Glasses	head		active
ar_display_mode	AR_DISPLAY	Ar Display	head		active
ar_display_mode	AUDIO_SMART_GLASSES	Audio Smart Glasses	head		active
ar_display_mode	KIDS_CAMERA_WATCH	Kids Camera Watch	head		active
ar_display_mode	UNKNOWN	Unknown	head		active
charging_type	MAGNETIC_PUCK	Magnetic Puck	head		active
charging_type	WIRELESS_PUCK	Wireless Puck	head		active
charging_type	USB_C	Usb C	head		active
charging_type	PIN_CONNECTOR	Pin Connector	head		active
charging_type	PROPRIETARY_CLIP	Proprietary Clip	head		active
charging_type	QI_WIRELESS	Qi Wireless	head		active
charging_type	SOLAR_ASSISTED	Solar Assisted	head		active
charging_type	UNKNOWN	Unknown	head		active
activation_lock_status	NOT_APPLICABLE	Not Applicable	head		active
activation_lock_status	UNLOCKED_CONFIRMED	Unlocked Confirmed	head		active
activation_lock_status	LOCKED_OR_UNKNOWN	Locked Or Unknown	head		active
activation_lock_status	ACCOUNT_LOCKED	Account Locked	head		active
activation_lock_status	NEEDS_RESET	Needs Reset	head		active
activation_lock_status	UNKNOWN	Unknown	head		active
evidence_presence	PRESENT_REDACTED	Present Redacted	head		active
evidence_presence	ABSENT	Absent	head		active
evidence_presence	UNKNOWN	Unknown	head		active
brand_head_delta	APPLE	Apple	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	SAMSUNG	Samsung	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	GOOGLE	Google	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	FITBIT	Fitbit	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	GARMIN	Garmin	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	HUAWEI	Huawei	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	XIAOMI	Xiaomi	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	AMAZFIT	Amazfit	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	POLAR	Polar	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	COROS	Coros	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	SUUNTO	Suunto	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	OURA	Oura	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	WHOOP	Whoop	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	WITHINGS	Withings	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	META	Meta	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	RAY_BAN	Ray Ban	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	XREAL	Xreal	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	HONOR	Honor	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	ONEPLUS	Oneplus	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	OPPO	Oppo	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	ZEPP	Zepp	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	CASIO	Casio	head	TECH.WEARABLES brand facet head value	active
brand_head_delta	FOSSIL	Fossil	head	TECH.WEARABLES brand facet head value	active
