alias	brand	model	model_code	wearable_type	locale	rule
apple вотч ultra 2	APPLE	Apple Watch Ultra 2	APPLE_WATCH_ULTRA_2	SMARTWATCH	ru/en	generated_soft
aw ultra 2	APPLE	Apple Watch Ultra 2	APPLE_WATCH_ULTRA_2	SMARTWATCH	ru/en	generated_soft
watch ultra 2	APPLE	Apple Watch Ultra 2	APPLE_WATCH_ULTRA_2	SMARTWATCH	ru/en	generated_soft
эпл вотч ultra 2	APPLE	Apple Watch Ultra 2	APPLE_WATCH_ULTRA_2	SMARTWATCH	ru/en	generated_soft
apple series 9	APPLE	Apple Watch Series 9	APPLE_WATCH_SERIES_9	SMARTWATCH	ru/en	generated_soft
apple вотч series 9	APPLE	Apple Watch Series 9	APPLE_WATCH_SERIES_9	SMARTWATCH	ru/en	generated_soft
aw series 9	APPLE	Apple Watch Series 9	APPLE_WATCH_SERIES_9	SMARTWATCH	ru/en	generated_soft
watch series 9	APPLE	Apple Watch Series 9	APPLE_WATCH_SERIES_9	SMARTWATCH	ru/en	generated_soft
эпл вотч series 9	APPLE	Apple Watch Series 9	APPLE_WATCH_SERIES_9	SMARTWATCH	ru/en	generated_soft
apple se 2	APPLE	Apple Watch SE 2	APPLE_WATCH_SE_2	SMARTWATCH	ru/en	generated_soft
apple вотч se 2	APPLE	Apple Watch SE 2	APPLE_WATCH_SE_2	SMARTWATCH	ru/en	generated_soft
aw se 2	APPLE	Apple Watch SE 2	APPLE_WATCH_SE_2	SMARTWATCH	ru/en	generated_soft
watch se 2	APPLE	Apple Watch SE 2	APPLE_WATCH_SE_2	SMARTWATCH	ru/en	generated_soft
эпл вотч se 2	APPLE	Apple Watch SE 2	APPLE_WATCH_SE_2	SMARTWATCH	ru/en	generated_soft
galaxy8	SAMSUNG	Galaxy Watch8	GALAXY_WATCH8	SMARTWATCH	ru/en	generated_soft
gw8	SAMSUNG	Galaxy Watch8	GALAXY_WATCH8	SMARTWATCH	ru/en	generated_soft
галакси вотч8	SAMSUNG	Galaxy Watch8	GALAXY_WATCH8	SMARTWATCH	ru/en	generated_soft
galaxy8 classic	SAMSUNG	Galaxy Watch8 Classic	GALAXY_WATCH8_CLASSIC	SMARTWATCH	ru/en	generated_soft
gw8 classic	SAMSUNG	Galaxy Watch8 Classic	GALAXY_WATCH8_CLASSIC	SMARTWATCH	ru/en	generated_soft
галакси вотч8 classic	SAMSUNG	Galaxy Watch8 Classic	GALAXY_WATCH8_CLASSIC	SMARTWATCH	ru/en	generated_soft
galaxy ultra	SAMSUNG	Galaxy Watch Ultra	GALAXY_WATCH_ULTRA	SMARTWATCH	ru/en	generated_soft
gw ultra	SAMSUNG	Galaxy Watch Ultra	GALAXY_WATCH_ULTRA	SMARTWATCH	ru/en	generated_soft
галакси вотч ultra	SAMSUNG	Galaxy Watch Ultra	GALAXY_WATCH_ULTRA	SMARTWATCH	ru/en	generated_soft
galaxy7	SAMSUNG	Galaxy Watch7	GALAXY_WATCH7	SMARTWATCH	ru/en	generated_soft
gw7	SAMSUNG	Galaxy Watch7	GALAXY_WATCH7	SMARTWATCH	ru/en	generated_soft
галакси вотч7	SAMSUNG	Galaxy Watch7	GALAXY_WATCH7	SMARTWATCH	ru/en	generated_soft
galaxy fe	SAMSUNG	Galaxy Watch FE	GALAXY_WATCH_FE	SMARTWATCH	ru/en	generated_soft
gw fe	SAMSUNG	Galaxy Watch FE	GALAXY_WATCH_FE	SMARTWATCH	ru/en	generated_soft
галакси вотч fe	SAMSUNG	Galaxy Watch FE	GALAXY_WATCH_FE	SMARTWATCH	ru/en	generated_soft
galaxy6	SAMSUNG	Galaxy Watch6	GALAXY_WATCH6	SMARTWATCH	ru/en	generated_soft
gw6	SAMSUNG	Galaxy Watch6	GALAXY_WATCH6	SMARTWATCH	ru/en	generated_soft
галакси вотч6	SAMSUNG	Galaxy Watch6	GALAXY_WATCH6	SMARTWATCH	ru/en	generated_soft
галакси ring	SAMSUNG	Galaxy Ring	GALAXY_RING	SMART_RING	ru/en	generated_soft
google pixel 4	GOOGLE	Google Pixel Watch 4	GOOGLE_PIXEL_WATCH_4	SMARTWATCH	ru/en	generated_soft
google pixel вотч 4	GOOGLE	Google Pixel Watch 4	GOOGLE_PIXEL_WATCH_4	SMARTWATCH	ru/en	generated_soft
google pixel 3	GOOGLE	Google Pixel Watch 3	GOOGLE_PIXEL_WATCH_3	SMARTWATCH	ru/en	generated_soft
google pixel вотч 3	GOOGLE	Google Pixel Watch 3	GOOGLE_PIXEL_WATCH_3	SMARTWATCH	ru/en	generated_soft
charge 6	FITBIT	Fitbit Charge 6	FITBIT_CHARGE_6	FITNESS_TRACKER	ru/en	generated_soft
фитбит charge 6	FITBIT	Fitbit Charge 6	FITBIT_CHARGE_6	FITNESS_TRACKER	ru/en	generated_soft
inspire 3	FITBIT	Fitbit Inspire 3	FITBIT_INSPIRE_3	FITNESS_TRACKER	ru/en	generated_soft
фитбит inspire 3	FITBIT	Fitbit Inspire 3	FITBIT_INSPIRE_3	FITNESS_TRACKER	ru/en	generated_soft
versa 4	FITBIT	Fitbit Versa 4	FITBIT_VERSA_4	SMARTWATCH	ru/en	generated_soft
фитбит versa 4	FITBIT	Fitbit Versa 4	FITBIT_VERSA_4	SMARTWATCH	ru/en	generated_soft
sense 2	FITBIT	Fitbit Sense 2	FITBIT_SENSE_2	SMARTWATCH	ru/en	generated_soft
фитбит sense 2	FITBIT	Fitbit Sense 2	FITBIT_SENSE_2	SMARTWATCH	ru/en	generated_soft
google air	FITBIT	Google Fitbit Air	GOOGLE_FITBIT_AIR	FITNESS_TRACKER	ru/en	generated_soft
google фитбит air	FITBIT	Google Fitbit Air	GOOGLE_FITBIT_AIR	FITNESS_TRACKER	ru/en	generated_soft
fenix 8	GARMIN	Garmin Fenix 8	GARMIN_FENIX_8	SMARTWATCH	ru/en	generated_soft
гармин fenix 8	GARMIN	Garmin Fenix 8	GARMIN_FENIX_8	SMARTWATCH	ru/en	generated_soft
forerunner 970	GARMIN	Garmin Forerunner 970	GARMIN_FORERUNNER_970	SMARTWATCH	ru/en	generated_soft
гармин forerunner 970	GARMIN	Garmin Forerunner 970	GARMIN_FORERUNNER_970	SMARTWATCH	ru/en	generated_soft
forerunner 570	GARMIN	Garmin Forerunner 570	GARMIN_FORERUNNER_570	SMARTWATCH	ru/en	generated_soft
гармин forerunner 570	GARMIN	Garmin Forerunner 570	GARMIN_FORERUNNER_570	SMARTWATCH	ru/en	generated_soft
forerunner 965	GARMIN	Garmin Forerunner 965	GARMIN_FORERUNNER_965	SMARTWATCH	ru/en	generated_soft
гармин forerunner 965	GARMIN	Garmin Forerunner 965	GARMIN_FORERUNNER_965	SMARTWATCH	ru/en	generated_soft
venu x1	GARMIN	Garmin Venu X1	GARMIN_VENU_X1	SMARTWATCH	ru/en	generated_soft
гармин venu x1	GARMIN	Garmin Venu X1	GARMIN_VENU_X1	SMARTWATCH	ru/en	generated_soft
venu 3	GARMIN	Garmin Venu 3	GARMIN_VENU_3	SMARTWATCH	ru/en	generated_soft
гармин venu 3	GARMIN	Garmin Venu 3	GARMIN_VENU_3	SMARTWATCH	ru/en	generated_soft
instinct 3	GARMIN	Garmin Instinct 3	GARMIN_INSTINCT_3	SMARTWATCH	ru/en	generated_soft
гармин instinct 3	GARMIN	Garmin Instinct 3	GARMIN_INSTINCT_3	SMARTWATCH	ru/en	generated_soft
enduro 3	GARMIN	Garmin Enduro 3	GARMIN_ENDURO_3	SMARTWATCH	ru/en	generated_soft
гармин enduro 3	GARMIN	Garmin Enduro 3	GARMIN_ENDURO_3	SMARTWATCH	ru/en	generated_soft
lily 2	GARMIN	Garmin Lily 2	GARMIN_LILY_2	SMARTWATCH	ru/en	generated_soft
гармин lily 2	GARMIN	Garmin Lily 2	GARMIN_LILY_2	SMARTWATCH	ru/en	generated_soft
vivoactive 6	GARMIN	Garmin Vivoactive 6	GARMIN_VIVOACTIVE_6	SMARTWATCH	ru/en	generated_soft
гармин vivoactive 6	GARMIN	Garmin Vivoactive 6	GARMIN_VIVOACTIVE_6	SMARTWATCH	ru/en	generated_soft
huawei gt 5 pro	HUAWEI	Huawei Watch GT 5 Pro	HUAWEI_WATCH_GT_5_PRO	SMARTWATCH	ru/en	generated_soft
huawei вотч gt 5 pro	HUAWEI	Huawei Watch GT 5 Pro	HUAWEI_WATCH_GT_5_PRO	SMARTWATCH	ru/en	generated_soft
хуавей watch gt 5 pro	HUAWEI	Huawei Watch GT 5 Pro	HUAWEI_WATCH_GT_5_PRO	SMARTWATCH	ru/en	generated_soft
huawei gt 5	HUAWEI	Huawei Watch GT 5	HUAWEI_WATCH_GT_5	SMARTWATCH	ru/en	generated_soft
huawei вотч gt 5	HUAWEI	Huawei Watch GT 5	HUAWEI_WATCH_GT_5	SMARTWATCH	ru/en	generated_soft
хуавей watch gt 5	HUAWEI	Huawei Watch GT 5	HUAWEI_WATCH_GT_5	SMARTWATCH	ru/en	generated_soft
huawei fit 4	HUAWEI	Huawei Watch Fit 4	HUAWEI_WATCH_FIT_4	FITNESS_TRACKER	ru/en	generated_soft
huawei вотч fit 4	HUAWEI	Huawei Watch Fit 4	HUAWEI_WATCH_FIT_4	FITNESS_TRACKER	ru/en	generated_soft
хуавей watch fit 4	HUAWEI	Huawei Watch Fit 4	HUAWEI_WATCH_FIT_4	FITNESS_TRACKER	ru/en	generated_soft
huawei ultimate	HUAWEI	Huawei Watch Ultimate	HUAWEI_WATCH_ULTIMATE	SMARTWATCH	ru/en	generated_soft
huawei вотч ultimate	HUAWEI	Huawei Watch Ultimate	HUAWEI_WATCH_ULTIMATE	SMARTWATCH	ru/en	generated_soft
хуавей watch ultimate	HUAWEI	Huawei Watch Ultimate	HUAWEI_WATCH_ULTIMATE	SMARTWATCH	ru/en	generated_soft
huawei kids x1	HUAWEI	Huawei Watch Kids X1	HUAWEI_WATCH_KIDS_X1	SMARTWATCH	ru/en	generated_soft
huawei вотч kids x1	HUAWEI	Huawei Watch Kids X1	HUAWEI_WATCH_KIDS_X1	SMARTWATCH	ru/en	generated_soft
хуавей watch kids x1	HUAWEI	Huawei Watch Kids X1	HUAWEI_WATCH_KIDS_X1	SMARTWATCH	ru/en	generated_soft
сяоми smart band 9	XIAOMI	Xiaomi Smart Band 9	XIAOMI_SMART_BAND_9	FITNESS_TRACKER	ru/en	generated_soft
redmi 5	XIAOMI	Redmi Watch 5	REDMI_WATCH_5	SMARTWATCH	ru/en	generated_soft
redmi вотч 5	XIAOMI	Redmi Watch 5	REDMI_WATCH_5	SMARTWATCH	ru/en	generated_soft
xiaomi s4	XIAOMI	Xiaomi Watch S4	XIAOMI_WATCH_S4	SMARTWATCH	ru/en	generated_soft
xiaomi вотч s4	XIAOMI	Xiaomi Watch S4	XIAOMI_WATCH_S4	SMARTWATCH	ru/en	generated_soft
сяоми watch s4	XIAOMI	Xiaomi Watch S4	XIAOMI_WATCH_S4	SMARTWATCH	ru/en	generated_soft
амазфит balance	AMAZFIT	Amazfit Balance	AMAZFIT_BALANCE	SMARTWATCH	ru/en	generated_soft
амазфит t-rex 3	AMAZFIT	Amazfit T-Rex 3	AMAZFIT_T_REX_3	SMARTWATCH	ru/en	generated_soft
амазфит bip 6	AMAZFIT	Amazfit Bip 6	AMAZFIT_BIP_6	SMARTWATCH	ru/en	generated_soft
амазфит active 2	AMAZFIT	Amazfit Active 2	AMAZFIT_ACTIVE_2	SMARTWATCH	ru/en	generated_soft
амазфит helio ring	AMAZFIT	Amazfit Helio Ring	AMAZFIT_HELIO_RING	SMART_RING	ru/en	generated_soft
withings scanвотч 2	WITHINGS	Withings ScanWatch 2	WITHINGS_SCANWATCH_2	SMARTWATCH	ru/en	generated_soft
honor 5	HONOR	Honor Watch 5	HONOR_WATCH_5	SMARTWATCH	ru/en	generated_soft
honor вотч 5	HONOR	Honor Watch 5	HONOR_WATCH_5	SMARTWATCH	ru/en	generated_soft
