query	expected_categoryCode	expected_wearable_type	notes
amazfit active 2	TECH.WEARABLES	SMARTWATCH	lowercase model query
Amazfit Helio Ring	TECH.WEARABLES	SMART_RING	model head query
amazfit helio ring	TECH.WEARABLES	SMART_RING	lowercase model query
Oura Ring 4	TECH.WEARABLES	SMART_RING	model head query
oura ring 4	TECH.WEARABLES	SMART_RING	lowercase model query
Oura Ring Gen 3	TECH.WEARABLES	SMART_RING	model head query
oura ring gen 3	TECH.WEARABLES	SMART_RING	lowercase model query
Whoop 5.0	TECH.WEARABLES	FITNESS_TRACKER	model head query
whoop 5.0	TECH.WEARABLES	FITNESS_TRACKER	lowercase model query
Whoop MG	TECH.WEARABLES	FITNESS_TRACKER	model head query
whoop mg	TECH.WEARABLES	FITNESS_TRACKER	lowercase model query
Polar Vantage V3	TECH.WEARABLES	SMARTWATCH	model head query
polar vantage v3	TECH.WEARABLES	SMARTWATCH	lowercase model query
Polar Grit X2 Pro	TECH.WEARABLES	SMARTWATCH	model head query
polar grit x2 pro	TECH.WEARABLES	SMARTWATCH	lowercase model query
Polar Ignite 3	TECH.WEARABLES	SMARTWATCH	model head query
polar ignite 3	TECH.WEARABLES	SMARTWATCH	lowercase model query
Coros Pace 3	TECH.WEARABLES	SMARTWATCH	model head query
coros pace 3	TECH.WEARABLES	SMARTWATCH	lowercase model query
Coros Pace Pro	TECH.WEARABLES	SMARTWATCH	model head query
coros pace pro	TECH.WEARABLES	SMARTWATCH	lowercase model query
Coros Apex 2 Pro	TECH.WEARABLES	SMARTWATCH	model head query
coros apex 2 pro	TECH.WEARABLES	SMARTWATCH	lowercase model query
Coros Vertix 2S	TECH.WEARABLES	SMARTWATCH	model head query
coros vertix 2s	TECH.WEARABLES	SMARTWATCH	lowercase model query
Suunto Race	TECH.WEARABLES	SMARTWATCH	model head query
suunto race	TECH.WEARABLES	SMARTWATCH	lowercase model query
Suunto Race S	TECH.WEARABLES	SMARTWATCH	model head query
suunto race s	TECH.WEARABLES	SMARTWATCH	lowercase model query
Suunto Vertical	TECH.WEARABLES	SMARTWATCH	model head query
suunto vertical	TECH.WEARABLES	SMARTWATCH	lowercase model query
Withings ScanWatch 2	TECH.WEARABLES	SMARTWATCH	model head query
withings scanwatch 2	TECH.WEARABLES	SMARTWATCH	lowercase model query
Ray-Ban Meta Smart Glasses	TECH.WEARABLES	AR_GLASSES	model head query
ray-ban meta smart glasses	TECH.WEARABLES	AR_GLASSES	lowercase model query
XREAL Air 2 Pro	TECH.WEARABLES	AR_GLASSES	model head query
xreal air 2 pro	TECH.WEARABLES	AR_GLASSES	lowercase model query
XREAL One	TECH.WEARABLES	AR_GLASSES	model head query
xreal one	TECH.WEARABLES	AR_GLASSES	lowercase model query
Honor Watch 5	TECH.WEARABLES	SMARTWATCH	model head query
honor watch 5	TECH.WEARABLES	SMARTWATCH	lowercase model query
умные часы	TECH.WEARABLES	SMARTWATCH	generic positive
смарт часы с lte	TECH.WEARABLES	SMARTWATCH	generic positive
фитнес браслет с пульсометром	TECH.WEARABLES	FITNESS_TRACKER	generic positive
умное кольцо для сна	TECH.WEARABLES	SMART_RING	generic positive
ar очки usb c	TECH.WEARABLES	AR_GLASSES	generic positive
ремешок apple watch 45 мм	TECH.WEARABLES	WATCH_BAND	generic positive
зарядка для galaxy watch	TECH.WEARABLES	WEARABLE_ACCESSORY	generic positive
пленка для apple watch ultra	TECH.WEARABLES	WEARABLE_ACCESSORY	generic positive
airpods pro	TECH.AUDIO		audio exclusion
наушники sony wh1000xm6	TECH.AUDIO		audio exclusion
iphone 15 pro	TECH.PHONES		phone exclusion
чехол iphone 15	TECH.PHONE_ACCESSORIES		phone accessory
обычные наручные часы orient	FASH.ACCESSORIES		fashion watch
механические часы seiko	FASH.ACCESSORIES		fashion watch
золотое кольцо женское	FASH.ACCESSORIES		jewelry
игровая гарнитура ps5	TECH.GAMING		gaming headset
Apple Watch Series 8 APPLE	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Apple Watch Series 7 APPLE	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Apple Watch Ultra APPLE	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Galaxy Watch5 Pro SAMSUNG	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Galaxy Watch4 Classic SAMSUNG	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Garmin Fenix 7 GARMIN	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Garmin Epix Pro GARMIN	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Garmin Forerunner 265 GARMIN	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Garmin Forerunner 255 GARMIN	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Fitbit Luxe FITBIT	TECH.WEARABLES	FITNESS_TRACKER	extra head/long-tail query
Fitbit Ace LTE FITBIT	TECH.WEARABLES	FITNESS_TRACKER	extra head/long-tail query
Mi Band 8 XIAOMI	TECH.WEARABLES	FITNESS_TRACKER	extra head/long-tail query
Huawei Band 9 HUAWEI	TECH.WEARABLES	FITNESS_TRACKER	extra head/long-tail query
Amazfit GTS 4 AMAZFIT	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Amazfit GTR 4 AMAZFIT	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Polar Pacer Pro POLAR	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Coros Pace 2 COROS	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Suunto 9 Peak Pro SUUNTO	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Withings ScanWatch Light WITHINGS	TECH.WEARABLES	SMARTWATCH	extra head/long-tail query
Oura Ring Horizon OURA	TECH.WEARABLES	SMART_RING	extra head/long-tail query
Oura Ring Heritage OURA	TECH.WEARABLES	SMART_RING	extra head/long-tail query
Ray-Ban Meta Wayfarer META	TECH.WEARABLES	AR_GLASSES	extra head/long-tail query
XREAL Air XREAL	TECH.WEARABLES	AR_GLASSES	extra head/long-tail query
XREAL Air 2 XREAL	TECH.WEARABLES	AR_GLASSES	extra head/long-tail query
Apple Watch Magnetic Charger APPLE	TECH.WEARABLES	WEARABLE_ACCESSORY	extra head/long-tail query
Galaxy Watch Charger SAMSUNG	TECH.WEARABLES	WEARABLE_ACCESSORY	extra head/long-tail query
Garmin QuickFit Band 26mm GARMIN	TECH.WEARABLES	WATCH_BAND	extra head/long-tail query
Apple Watch Milanese Loop 45mm APPLE	TECH.WEARABLES	WATCH_BAND	extra head/long-tail query
Fitbit Charge 6 Band FITBIT	TECH.WEARABLES	WATCH_BAND	extra head/long-tail query
Pixel Watch Band GOOGLE	TECH.WEARABLES	WATCH_BAND	extra head/long-tail query
