alias_ru	canonical_type	canonical_code	confidence	route_hint	notes_ru
классические туфли	shoe_type	SHOES	0.95	FASH.SHOES	Классическая закрытая обувь без каблука как основного признака.
shoes	shoe_type	SHOES	0.95	FASH.SHOES	Классическая закрытая обувь без каблука как основного признака.
лоферы	shoe_type	LOAFERS	0.95	FASH.SHOES	Классическая обувь без шнурков.
loafers	shoe_type	LOAFERS	0.95	FASH.SHOES	Классическая обувь без шнурков.
мокасины	shoe_type	MOCCASINS	0.95	FASH.SHOES	Мягкая повседневная обувь.
moccasins	shoe_type	MOCCASINS	0.95	FASH.SHOES	Мягкая повседневная обувь.
оксфорды	shoe_type	OXFORDS	0.95	FASH.SHOES	Классическая обувь с закрытой шнуровкой.
oxfords	shoe_type	OXFORDS	0.95	FASH.SHOES	Классическая обувь с закрытой шнуровкой.
дерби	shoe_type	DERBY	0.95	FASH.SHOES	Классическая обувь с открытой шнуровкой.
derby	shoe_type	DERBY	0.95	FASH.SHOES	Классическая обувь с открытой шнуровкой.
сандалии	shoe_type	SANDALS	0.95	FASH.SHOES	Открытая летняя обувь с ремешками.
босоножки	shoe_type	SANDALS	0.95	FASH.SHOES	Открытая летняя обувь с ремешками.
sandals	shoe_type	SANDALS	0.95	FASH.SHOES	Открытая летняя обувь с ремешками.
сандалики	shoe_type	SANDALS	0.95	FASH.SHOES	Открытая летняя обувь с ремешками.
шлепанцы	shoe_type	SLIDES	0.95	FASH.SHOES	Открытая обувь без задника.
шлёпанцы	shoe_type	SLIDES	0.95	FASH.SHOES	Открытая обувь без задника.
сланцы	shoe_type	SLIDES	0.95	FASH.SHOES	Открытая обувь без задника.
slides	shoe_type	SLIDES	0.95	FASH.SHOES	Открытая обувь без задника.
flip flops	shoe_type	SLIDES	0.95	FASH.SHOES	Открытая обувь без задника.
вьетнамки	shoe_type	SLIDES	0.95	FASH.SHOES	Открытая обувь без задника.
тапочки	shoe_type	SLIPPERS	0.95	FASH.SHOES	Домашняя обувь.
тапки	shoe_type	SLIPPERS	0.95	FASH.SHOES	Домашняя обувь.
домашняя обувь	shoe_type	SLIPPERS	0.95	FASH.SHOES	Домашняя обувь.
slippers	shoe_type	SLIPPERS	0.95	FASH.SHOES	Домашняя обувь.
домашние тапочки	shoe_type	SLIPPERS	0.90	FASH.SHOES	Домашняя обувь.
балетки	shoe_type	BALLET_FLATS	0.95	FASH.SHOES	Женская обувь на плоской подошве.
ballet flats	shoe_type	BALLET_FLATS	0.95	FASH.SHOES	Женская обувь на плоской подошве.
каблуки	shoe_type	HEELS	0.95	FASH.SHOES	Общий тип для обуви с выраженным каблуком.
туфли на каблуке	shoe_type	HEELS	0.95	FASH.SHOES	Общий тип для обуви с выраженным каблуком.
heels	shoe_type	HEELS	0.95	FASH.SHOES	Общий тип для обуви с выраженным каблуком.
обувь на каблуке	shoe_type	HEELS	0.90	FASH.SHOES	Общий тип для обуви с выраженным каблуком.
лодочки	shoe_type	PUMPS	0.95	FASH.SHOES	Закрытые туфли на каблуке, часто без застёжки.
туфли лодочки	shoe_type	PUMPS	0.95	FASH.SHOES	Закрытые туфли на каблуке, часто без застёжки.
pumps	shoe_type	PUMPS	0.95	FASH.SHOES	Закрытые туфли на каблуке, часто без застёжки.
туфли-лодочки	shoe_type	PUMPS	0.90	FASH.SHOES	Закрытые туфли на каблуке, часто без застёжки.
танкетка	shoe_type	WEDGES	0.95	FASH.SHOES	Каблук-танкетка.
обувь на танкетке	shoe_type	WEDGES	0.95	FASH.SHOES	Каблук-танкетка.
wedges	shoe_type	WEDGES	0.95	FASH.SHOES	Каблук-танкетка.
резиновые сапоги	shoe_type	RUBBER_BOOTS	0.95	FASH.SHOES	Влагозащитная резиновая обувь.
сапоги резиновые	shoe_type	RUBBER_BOOTS	0.95	FASH.SHOES	Влагозащитная резиновая обувь.
дождевые сапоги	shoe_type	RUBBER_BOOTS	0.95	FASH.SHOES	Влагозащитная резиновая обувь.
обувь для дождя	shoe_type	RUBBER_BOOTS	0.95	FASH.SHOES	Влагозащитная резиновая обувь.
детская обувь	shoe_type	KIDS_SHOES	0.95	FASH.SHOES	Детский fallback, если точный тип обуви не выделен.
детские кроссовки	shoe_type	KIDS_SHOES	0.95	FASH.SHOES	Детский fallback, если точный тип обуви не выделен.
детские ботинки	shoe_type	KIDS_SHOES	0.95	FASH.SHOES	Детский fallback, если точный тип обуви не выделен.
обувь для ребёнка	shoe_type	KIDS_SHOES	0.95	FASH.SHOES	Детский fallback, если точный тип обуви не выделен.
пинетки	shoe_type	BABY_SHOES	0.95	FASH.SHOES	Для baby/toddler, включая мягкую обувь.
обувь для малыша	shoe_type	BABY_SHOES	0.95	FASH.SHOES	Для baby/toddler, включая мягкую обувь.
обувь для младенца	shoe_type	BABY_SHOES	0.95	FASH.SHOES	Для baby/toddler, включая мягкую обувь.
первые ботиночки	shoe_type	BABY_SHOES	0.95	FASH.SHOES	Для baby/toddler, включая мягкую обувь.
обувь для малышей	shoe_type	BABY_SHOES	0.90	FASH.SHOES	Для baby/toddler, включая мягкую обувь.
сабо	shoe_type	CLOGS	0.95	FASH.SHOES	Сабо и формованный тип обуви.
кроксы	shoe_type	CLOGS	0.95	FASH.SHOES	Сабо и формованный тип обуви.
clogs	shoe_type	CLOGS	0.95	FASH.SHOES	Сабо и формованный тип обуви.
crocs	shoe_type	CLOGS	0.95	FASH.SHOES	Сабо и формованный тип обуви.
эспадрильи	shoe_type	ESPADRILLES	0.95	FASH.SHOES	Лёгкая летняя обувь.
espadrilles	shoe_type	ESPADRILLES	0.95	FASH.SHOES	Лёгкая летняя обувь.
другая обувь	shoe_type	OTHER_SHOES	0.95	FASH.SHOES	Fallback только при невозможности точной классификации.
прочая обувь	shoe_type	OTHER_SHOES	0.95	FASH.SHOES	Fallback только при невозможности точной классификации.
мужские	target_gender	MEN	0.92	FASH.SHOES	
мужская обувь	target_gender	MEN	0.92	FASH.SHOES	
для мужчин	target_gender	MEN	0.92	FASH.SHOES	
женские	target_gender	WOMEN	0.92	FASH.SHOES	
женская обувь	target_gender	WOMEN	0.92	FASH.SHOES	
для женщин	target_gender	WOMEN	0.92	FASH.SHOES	
для мальчика	target_gender	BOYS	0.92	FASH.SHOES	
мальчику	target_gender	BOYS	0.92	FASH.SHOES	
для девочки	target_gender	GIRLS	0.92	FASH.SHOES	
девочке	target_gender	GIRLS	0.92	FASH.SHOES	
детские	target_gender	KIDS	0.92	FASH.SHOES	
для детей	target_gender	KIDS	0.92	FASH.SHOES	
унисекс	target_gender	UNISEX	0.92	FASH.SHOES	
взрослые	age_group	ADULT	0.92	FASH.SHOES	
подростковые	age_group	TEEN	0.92	FASH.SHOES	
для подростка	age_group	TEEN	0.92	FASH.SHOES	
малышу	age_group	TODDLER	0.92	FASH.SHOES	
для малыша	age_group	TODDLER	0.92	FASH.SHOES	
для младенца	age_group	BABY	0.92	FASH.SHOES	
новые	condition	NEW	0.85	FASH.SHOES	Новые, без признаков носки.
новая	condition	NEW	0.85	FASH.SHOES	Новые, без признаков носки.
новое	condition	NEW	0.85	FASH.SHOES	Новые, без признаков носки.
без носки	condition	NEW	0.85	FASH.SHOES	Новые, без признаков носки.
как новые	condition	LIKE_NEW	0.85	FASH.SHOES	Минимальные следы использования.
идеальное состояние	condition	LIKE_NEW	0.85	FASH.SHOES	Минимальные следы использования.
носили пару раз	condition	LIKE_NEW	0.85	FASH.SHOES	Минимальные следы использования.
хорошее состояние	condition	GOOD	0.85	FASH.SHOES	Нормальные следы носки без критичных дефектов.
б/у хорошее	condition	GOOD	0.85	FASH.SHOES	Нормальные следы носки без критичных дефектов.
бу хорошее	condition	GOOD	0.85	FASH.SHOES	Нормальные следы носки без критичных дефектов.
удовлетворительное	condition	FAIR	0.85	FASH.SHOES	Заметная носка, но функционально пригодны.
состояние среднее	condition	FAIR	0.85	FASH.SHOES	Заметная носка, но функционально пригодны.
сильно бу	condition	HEAVILY_USED	0.85	FASH.SHOES	Сильные следы носки.
сильно б/у	condition	HEAVILY_USED	0.85	FASH.SHOES	Сильные следы носки.
изношенные	condition	HEAVILY_USED	0.85	FASH.SHOES	Сильные следы носки.
с дефектом	condition	DEFECTS_OR_REPAIR	0.85	FASH.SHOES	Требуется defect_notes.
под ремонт	condition	DEFECTS_OR_REPAIR	0.85	FASH.SHOES	Требуется defect_notes.
требует ремонта	condition	DEFECTS_OR_REPAIR	0.85	FASH.SHOES	Требуется defect_notes.
черные	color	BLACK	0.85	FASH.SHOES	
чёрные	color	BLACK	0.85	FASH.SHOES	
черный	color	BLACK	0.85	FASH.SHOES	
чёрный	color	BLACK	0.85	FASH.SHOES	
black	color	BLACK	0.85	FASH.SHOES	
белые	color	WHITE	0.85	FASH.SHOES	
белый	color	WHITE	0.85	FASH.SHOES	
white	color	WHITE	0.85	FASH.SHOES	
серые	color	GRAY	0.85	FASH.SHOES	
серый	color	GRAY	0.85	FASH.SHOES	
gray	color	GRAY	0.85	FASH.SHOES	
grey	color	GRAY	0.85	FASH.SHOES	
бежевые	color	BEIGE	0.85	FASH.SHOES	
бежевый	color	BEIGE	0.85	FASH.SHOES	
beige	color	BEIGE	0.85	FASH.SHOES	
коричневые	color	BROWN	0.85	FASH.SHOES	
коричневый	color	BROWN	0.85	FASH.SHOES	
brown	color	BROWN	0.85	FASH.SHOES	
красные	color	RED	0.85	FASH.SHOES	
красный	color	RED	0.85	FASH.SHOES	
red	color	RED	0.85	FASH.SHOES	
розовые	color	PINK	0.85	FASH.SHOES	
розовый	color	PINK	0.85	FASH.SHOES	
pink	color	PINK	0.85	FASH.SHOES	
оранжевые	color	ORANGE	0.85	FASH.SHOES	
оранжевый	color	ORANGE	0.85	FASH.SHOES	
orange	color	ORANGE	0.85	FASH.SHOES	
желтые	color	YELLOW	0.85	FASH.SHOES	
жёлтые	color	YELLOW	0.85	FASH.SHOES	
желтый	color	YELLOW	0.85	FASH.SHOES	
жёлтый	color	YELLOW	0.85	FASH.SHOES	
yellow	color	YELLOW	0.85	FASH.SHOES	
зеленые	color	GREEN	0.85	FASH.SHOES	
зелёные	color	GREEN	0.85	FASH.SHOES	
green	color	GREEN	0.85	FASH.SHOES	
синие	color	BLUE	0.85	FASH.SHOES	
голубые	color	BLUE	0.85	FASH.SHOES	
синий	color	BLUE	0.85	FASH.SHOES	
голубой	color	BLUE	0.85	FASH.SHOES	
blue	color	BLUE	0.85	FASH.SHOES	
темно-синие	color	NAVY	0.85	FASH.SHOES	
тёмно-синие	color	NAVY	0.85	FASH.SHOES	
navy	color	NAVY	0.85	FASH.SHOES	
фиолетовые	color	PURPLE	0.85	FASH.SHOES	
purple	color	PURPLE	0.85	FASH.SHOES	
серебристые	color	SILVER	0.85	FASH.SHOES	
silver	color	SILVER	0.85	FASH.SHOES	
золотистые	color	GOLD	0.85	FASH.SHOES	
gold	color	GOLD	0.85	FASH.SHOES	
разноцветные	color	MULTICOLOR	0.85	FASH.SHOES	
мультиколор	color	MULTICOLOR	0.85	FASH.SHOES	
multicolor	color	MULTICOLOR	0.85	FASH.SHOES	
прозрачные	color	TRANSPARENT	0.85	FASH.SHOES	
transparent	color	TRANSPARENT	0.85	FASH.SHOES	
летние	season	SUMMER	0.85	FASH.SHOES	
лето	season	SUMMER	0.85	FASH.SHOES	
summer	season	SUMMER	0.85	FASH.SHOES	
демисезонные	season	DEMI_SEASON	0.85	FASH.SHOES	
осень весна	season	DEMI_SEASON	0.85	FASH.SHOES	
весна осень	season	DEMI_SEASON	0.85	FASH.SHOES	
зимние	season	WINTER	0.85	FASH.SHOES	
зима	season	WINTER	0.85	FASH.SHOES	
winter	season	WINTER	0.85	FASH.SHOES	
всесезонные	season	ALL_SEASON	0.85	FASH.SHOES	
all season	season	ALL_SEASON	0.85	FASH.SHOES	
для дождя	season	RAIN	0.85	FASH.SHOES	
дождевые	season	RAIN	0.85	FASH.SHOES	
слякоть	season	RAIN	0.85	FASH.SHOES	
домашние	season	INDOOR	0.85	FASH.SHOES	
для дома	season	INDOOR	0.85	FASH.SHOES	
indoor	season	INDOOR	0.85	FASH.SHOES	
натуральная кожа	material_upper	LEATHER	0.85	FASH.SHOES	
кожа	material_upper	LEATHER	0.85	FASH.SHOES	
leather	material_upper	LEATHER	0.85	FASH.SHOES	
замша	material_upper	SUEDE	0.85	FASH.SHOES	
suede	material_upper	SUEDE	0.85	FASH.SHOES	
нубук	material_upper	NUBUCK	0.85	FASH.SHOES	
nubuck	material_upper	NUBUCK	0.85	FASH.SHOES	
экокожа	material_upper	ECO_LEATHER	0.85	FASH.SHOES	
искусственная кожа	material_upper	ECO_LEATHER	0.85	FASH.SHOES	
кожзам	material_upper	ECO_LEATHER	0.85	FASH.SHOES	
текстиль	material_upper	TEXTILE	0.85	FASH.SHOES	
textile	material_upper	TEXTILE	0.85	FASH.SHOES	
ткань	material_upper	TEXTILE	0.85	FASH.SHOES	
сетка	material_upper	MESH	0.85	FASH.SHOES	
mesh	material_upper	MESH	0.85	FASH.SHOES	
канвас	material_upper	CANVAS	0.85	FASH.SHOES	
парусина	material_upper	CANVAS	0.85	FASH.SHOES	
canvas	material_upper	CANVAS	0.85	FASH.SHOES	
синтетика	material_upper	SYNTHETIC	0.85	FASH.SHOES	
synthetic	material_upper	SYNTHETIC	0.85	FASH.SHOES	
резина	material_upper	RUBBER	0.85	FASH.SHOES	
rubber	material_upper	RUBBER	0.85	FASH.SHOES	
эва	material_upper	EVA	0.85	FASH.SHOES	
eva	material_upper	EVA	0.85	FASH.SHOES	
шерсть	material_upper	WOOL	0.85	FASH.SHOES	
wool	material_upper	WOOL	0.85	FASH.SHOES	
войлок	material_upper	FELT	0.85	FASH.SHOES	
felt	material_upper	FELT	0.85	FASH.SHOES	
мех	material_upper	FUR	0.85	FASH.SHOES	
fur	material_upper	FUR	0.85	FASH.SHOES	
другое	material_upper	OTHER	0.85	FASH.SHOES	
other	material_upper	OTHER	0.85	FASH.SHOES	
без подкладки	material_lining	NONE	0.85	FASH.SHOES	
текстиль	material_lining	TEXTILE	0.85	FASH.SHOES	
textile	material_lining	TEXTILE	0.85	FASH.SHOES	
кожаная подкладка	material_lining	LEATHER	0.85	FASH.SHOES	
leather	material_lining	LEATHER	0.85	FASH.SHOES	
флис	material_lining	FLEECE	0.85	FASH.SHOES	
fleece	material_lining	FLEECE	0.85	FASH.SHOES	
шерсть	material_lining	WOOL	0.85	FASH.SHOES	
wool	material_lining	WOOL	0.85	FASH.SHOES	
мех	material_lining	FUR	0.85	FASH.SHOES	
fur	material_lining	FUR	0.85	FASH.SHOES	
синтетика	material_lining	SYNTHETIC	0.85	FASH.SHOES	
synthetic	material_lining	SYNTHETIC	0.85	FASH.SHOES	
другое	material_lining	OTHER	0.85	FASH.SHOES	
other	material_lining	OTHER	0.85	FASH.SHOES	
шнурки	closure_type	LACES	0.85	FASH.SHOES	
на шнурках	closure_type	LACES	0.85	FASH.SHOES	
laces	closure_type	LACES	0.85	FASH.SHOES	
липучка	closure_type	VELCRO	0.85	FASH.SHOES	
на липучке	closure_type	VELCRO	0.85	FASH.SHOES	
velcro	closure_type	VELCRO	0.85	FASH.SHOES	
молния	closure_type	ZIPPER	0.85	FASH.SHOES	
на молнии	closure_type	ZIPPER	0.85	FASH.SHOES	
zipper	closure_type	ZIPPER	0.85	FASH.SHOES	
пряжка	closure_type	BUCKLE	0.85	FASH.SHOES	
ремешок	closure_type	BUCKLE	0.85	FASH.SHOES	
buckle	closure_type	BUCKLE	0.85	FASH.SHOES	
без застежки	closure_type	SLIP_ON	0.85	FASH.SHOES	
без застёжки	closure_type	SLIP_ON	0.85	FASH.SHOES	
слипоны	closure_type	SLIP_ON	0.85	FASH.SHOES	
slip on	closure_type	SLIP_ON	0.85	FASH.SHOES	
резинка	closure_type	ELASTIC	0.85	FASH.SHOES	
эластичная вставка	closure_type	ELASTIC	0.85	FASH.SHOES	
elastic	closure_type	ELASTIC	0.85	FASH.SHOES	
утяжка	closure_type	DRAWSTRING	0.85	FASH.SHOES	
кулиска	closure_type	DRAWSTRING	0.85	FASH.SHOES	
drawstring	closure_type	DRAWSTRING	0.85	FASH.SHOES	
boa	closure_type	BOA_DIAL	0.85	FASH.SHOES	
дисковая шнуровка	closure_type	BOA_DIAL	0.85	FASH.SHOES	
нет застежки	closure_type	NONE	0.85	FASH.SHOES	
нет застёжки	closure_type	NONE	0.85	FASH.SHOES	
комбинированная застежка	closure_type	COMBINED	0.85	FASH.SHOES	
комбо	closure_type	COMBINED	0.85	FASH.SHOES	
бег	sport_purpose	RUNNING	0.85	FASH.SHOES	
для бега	sport_purpose	RUNNING	0.85	FASH.SHOES	
running	sport_purpose	RUNNING	0.85	FASH.SHOES	
тренировки	sport_purpose	TRAINING	0.85	FASH.SHOES	
training	sport_purpose	TRAINING	0.85	FASH.SHOES	
фитнес	sport_purpose	FITNESS	0.85	FASH.SHOES	
fitness	sport_purpose	FITNESS	0.85	FASH.SHOES	
футбол	sport_purpose	FOOTBALL	0.85	FASH.SHOES	
football	sport_purpose	FOOTBALL	0.85	FASH.SHOES	
soccer	sport_purpose	FOOTBALL	0.85	FASH.SHOES	
баскетбол	sport_purpose	BASKETBALL	0.85	FASH.SHOES	
basketball	sport_purpose	BASKETBALL	0.85	FASH.SHOES	
теннис	sport_purpose	TENNIS	0.85	FASH.SHOES	
tennis	sport_purpose	TENNIS	0.85	FASH.SHOES	
хайкинг	sport_purpose	HIKING	0.85	FASH.SHOES	
hiking	sport_purpose	HIKING	0.85	FASH.SHOES	
треккинг	sport_purpose	TREKKING	0.85	FASH.SHOES	
trekking	sport_purpose	TREKKING	0.85	FASH.SHOES	
скейт	sport_purpose	SKATEBOARDING	0.85	FASH.SHOES	
скейтбординг	sport_purpose	SKATEBOARDING	0.85	FASH.SHOES	
skate	sport_purpose	SKATEBOARDING	0.85	FASH.SHOES	
танцы	sport_purpose	DANCE	0.85	FASH.SHOES	
dance	sport_purpose	DANCE	0.85	FASH.SHOES	
зал	sport_purpose	GYM	0.85	FASH.SHOES	
gym	sport_purpose	GYM	0.85	FASH.SHOES	
велоспорт	sport_purpose	CYCLING	0.85	FASH.SHOES	
cycling	sport_purpose	CYCLING	0.85	FASH.SHOES	
аквашузы	sport_purpose	WATER_SPORT	0.85	FASH.SHOES	
водная обувь	sport_purpose	WATER_SPORT	0.85	FASH.SHOES	
water shoes	sport_purpose	WATER_SPORT	0.85	FASH.SHOES	
универсальные	sport_purpose	UNIVERSAL	0.85	FASH.SHOES	
universal	sport_purpose	UNIVERSAL	0.85	FASH.SHOES	
плоская подошва	sole_type	FLAT	0.85	FASH.SHOES	
flat	sole_type	FLAT	0.85	FASH.SHOES	
амортизация	sole_type	CUSHIONED	0.85	FASH.SHOES	
cushioned	sole_type	CUSHIONED	0.85	FASH.SHOES	
тракторная подошва	sole_type	TRACTOR	0.85	FASH.SHOES	
tractor sole	sole_type	TRACTOR	0.85	FASH.SHOES	
платформа	sole_type	PLATFORM	0.85	FASH.SHOES	
platform	sole_type	PLATFORM	0.85	FASH.SHOES	
тонкая подошва	sole_type	THIN	0.85	FASH.SHOES	
thin sole	sole_type	THIN	0.85	FASH.SHOES	
антискользящая	sole_type	ANTI_SLIP	0.85	FASH.SHOES	
противоскользящая	sole_type	ANTI_SLIP	0.85	FASH.SHOES	
anti slip	sole_type	ANTI_SLIP	0.85	FASH.SHOES	
шипы	sole_type	STUDDED	0.85	FASH.SHOES	
шипованная	sole_type	STUDDED	0.85	FASH.SHOES	
studded	sole_type	STUDDED	0.85	FASH.SHOES	
бутсовая	sole_type	CLEATED	0.85	FASH.SHOES	
cleats	sole_type	CLEATED	0.85	FASH.SHOES	
non marking	sole_type	NON_MARKING	0.85	FASH.SHOES	
не оставляет следов	sole_type	NON_MARKING	0.85	FASH.SHOES	
мягкая подошва	sole_type	SOFT_SOLE	0.85	FASH.SHOES	
soft sole	sole_type	SOFT_SOLE	0.85	FASH.SHOES	
жесткая подошва	sole_type	HARD_SOLE	0.85	FASH.SHOES	
жёсткая подошва	sole_type	HARD_SOLE	0.85	FASH.SHOES	
hard sole	sole_type	HARD_SOLE	0.85	FASH.SHOES	
без мембраны	waterproof_level	NONE	0.85	FASH.SHOES	
без влагозащиты	waterproof_level	NONE	0.85	FASH.SHOES	
водоотталкивающие	waterproof_level	WATER_REPELLENT	0.85	FASH.SHOES	
water repellent	waterproof_level	WATER_REPELLENT	0.85	FASH.SHOES	
водонепроницаемые	waterproof_level	WATERPROOF	0.85	FASH.SHOES	
waterproof	waterproof_level	WATERPROOF	0.85	FASH.SHOES	
мембрана	waterproof_level	MEMBRANE	0.85	FASH.SHOES	
membrane	waterproof_level	MEMBRANE	0.85	FASH.SHOES	
gore tex	waterproof_level	MEMBRANE	0.85	FASH.SHOES	
gore-tex	waterproof_level	MEMBRANE	0.85	FASH.SHOES	
полностью резиновые	waterproof_level	FULL_RUBBER	0.85	FASH.SHOES	
резиновые	waterproof_level	FULL_RUBBER	0.85	FASH.SHOES	
без утепления	insulation	NONE	0.85	FASH.SHOES	
легкое утепление	insulation	LIGHT	0.85	FASH.SHOES	
лёгкое утепление	insulation	LIGHT	0.85	FASH.SHOES	
флис	insulation	FLEECE	0.85	FASH.SHOES	
fleece	insulation	FLEECE	0.85	FASH.SHOES	
шерсть	insulation	WOOL	0.85	FASH.SHOES	
wool	insulation	WOOL	0.85	FASH.SHOES	
мех	insulation	FUR	0.85	FASH.SHOES	
fur	insulation	FUR	0.85	FASH.SHOES	
синтетический утеплитель	insulation	SYNTHETIC	0.85	FASH.SHOES	
тинсулейт	insulation	SYNTHETIC	0.85	FASH.SHOES	
thinsulate	insulation	SYNTHETIC	0.85	FASH.SHOES	
войлок	insulation	FELT	0.85	FASH.SHOES	
felt	insulation	FELT	0.85	FASH.SHOES	
низкие	shaft_height	LOW	0.85	FASH.SHOES	
low	shaft_height	LOW	0.85	FASH.SHOES	
до щиколотки	shaft_height	ANKLE	0.85	FASH.SHOES	
ankle	shaft_height	ANKLE	0.85	FASH.SHOES	
до середины голени	shaft_height	MID_CALF	0.85	FASH.SHOES	
mid calf	shaft_height	MID_CALF	0.85	FASH.SHOES	
до колена	shaft_height	KNEE_HIGH	0.85	FASH.SHOES	
knee high	shaft_height	KNEE_HIGH	0.85	FASH.SHOES	
выше колена	shaft_height	OVER_KNEE	0.85	FASH.SHOES	
ботфорты	shaft_height	OVER_KNEE	0.85	FASH.SHOES	
over knee	shaft_height	OVER_KNEE	0.85	FASH.SHOES	
без каблука	heel_type	NONE	0.85	FASH.SHOES	
блочный каблук	heel_type	BLOCK	0.85	FASH.SHOES	
устойчивый каблук	heel_type	BLOCK	0.85	FASH.SHOES	
block heel	heel_type	BLOCK	0.85	FASH.SHOES	
шпилька	heel_type	STILETTO	0.85	FASH.SHOES	
stiletto	heel_type	STILETTO	0.85	FASH.SHOES	
танкетка	heel_type	WEDGE	0.85	FASH.SHOES	
wedge	heel_type	WEDGE	0.85	FASH.SHOES	
kitten heel	heel_type	KITTEN	0.85	FASH.SHOES	
маленький каблук	heel_type	KITTEN	0.85	FASH.SHOES	
конусный каблук	heel_type	CONE	0.85	FASH.SHOES	
cone heel	heel_type	CONE	0.85	FASH.SHOES	
каблук платформа	heel_type	PLATFORM	0.85	FASH.SHOES	
platform heel	heel_type	PLATFORM	0.85	FASH.SHOES	
