attribute_code	attribute_name_ru	data_type	cardinality	required_level	scope	allowed_values_ref	unit	ui_visibility	normalization	description_ru
insulation	Утепление	enum	single	CONDITIONAL_REQUIRED	TYPE_SPECIFIC	insulation		type_visible	alias_to_enum	Для зимней обуви.
shaft_height	Высота голенища	enum	single	CONDITIONAL_REQUIRED	TYPE_SPECIFIC	shaft_height		type_visible	alias_to_enum	Для сапог/ботинок/ботфортов.
shaft_height_cm	Высота голенища, см	decimal	single	OPTIONAL	TYPE_SPECIFIC		cm	advanced	decimal_dot	Числовая высота голенища.
heel_height_cm	Высота каблука, см	decimal	single	CONDITIONAL_REQUIRED	TYPE_SPECIFIC		cm	type_visible	decimal_dot	Для heels/pumps/wedges.
heel_type	Тип каблука	enum	single	CONDITIONAL_REQUIRED	TYPE_SPECIFIC	heel_type		type_visible	alias_to_enum	Шпилька, устойчивый, танкетка и т.п.
toe_shape	Форма носа	enum	single	OPTIONAL	TYPE_SPECIFIC	toe_shape		type_visible	alias_to_enum	Круглый, острый, квадратный, открытый.
platform_height_cm	Высота платформы, см	decimal	single	OPTIONAL	TYPE_SPECIFIC		cm	advanced	decimal_dot	Для платформы/танкетки.
orthopedic_feature	Ортопедические особенности	enum	multi	OPTIONAL	TYPE_SPECIFIC	orthopedic_feature		type_visible	alias_to_enum_set	Особенно для детской обуви; требует осторожного извлечения только из текста/маркировки.
age_label	Возрастная метка продавца	string	single	OPTIONAL	TYPE_SPECIFIC			advanced	preserve_original	Например: 0-6 мес, 1 год, toddler. В размерную логику не конвертировать автоматически.
child_height_cm	Рост ребёнка, см	decimal	single	OPTIONAL	TYPE_SPECIFIC		cm	hidden	decimal_dot	Дополнительная продавцовая подсказка; не использовать как shoe-fit параметр.
defect_notes	Описание дефектов	string	single	CONDITIONAL_REQUIRED	CONDITION			type_visible	raw_seller_text_trim	Обязательно при DEFECTS_OR_REPAIR или визуально заметных дефектах.
original_box	Оригинальная коробка	boolean	single	OPTIONAL	CORE			advanced	bool	Наличие оригинальной коробки.
authenticity_status	Статус оригинальности	enum	single	OPTIONAL	CORE	authenticity_status		hidden	compliance_sensitive	Не использовать для продвижения подделок; сомнительные случаи отправлять на compliance review.
