alias	target_attribute	target_value	lang	weight	guard	notes
неизвестные характеристики	spec_profile_status	UNKNOWN	ru	1.0		value_alias
частично заполнено	spec_profile_status	PARTIAL	ru	1.0		value_alias
partial	spec_profile_status	PARTIAL	ru	1.0		value_alias
частично	spec_profile_status	PARTIAL	ru	1.0		value_alias
неполные характеристики	spec_profile_status	PARTIAL	ru	1.0		value_alias
нормализовано	spec_profile_status	NORMALIZED	ru	1.0		value_alias
normalized	spec_profile_status	NORMALIZED	ru	1.0		value_alias
распознано	spec_profile_status	NORMALIZED	ru	1.0		value_alias
приведено	spec_profile_status	NORMALIZED	ru	1.0		value_alias
проверено	spec_profile_status	VERIFIED	ru	1.0		value_alias
verified	spec_profile_status	VERIFIED	ru	1.0		value_alias
подтверждено	spec_profile_status	VERIFIED	ru	1.0		value_alias
верифицировано	spec_profile_status	VERIFIED	ru	1.0		value_alias
конфликт характеристик	spec_profile_status	CONFLICT	ru	1.0		value_alias
conflict	spec_profile_status	CONFLICT	ru	1.0		value_alias
противоречие	spec_profile_status	CONFLICT	ru	1.0		value_alias
спорные характеристики	spec_profile_status	CONFLICT	ru	1.0		value_alias
требует проверки	spec_profile_status	REVIEW_REQUIRED	ru	1.0		value_alias
review required	spec_profile_status	REVIEW_REQUIRED	ru	1.0		value_alias
нужна проверка	spec_profile_status	REVIEW_REQUIRED	ru	1.0		value_alias
проверить характеристики	spec_profile_status	REVIEW_REQUIRED	ru	1.0		value_alias
низкая	spec_confidence_bucket	LOW	ru	1.0		value_alias
low	spec_confidence_bucket	LOW	ru	1.0		value_alias
средняя	spec_confidence_bucket	MEDIUM	ru	1.0		value_alias
medium	spec_confidence_bucket	MEDIUM	ru	1.0		value_alias
высокая	spec_confidence_bucket	HIGH	ru	1.0		value_alias
high	spec_confidence_bucket	HIGH	ru	1.0		value_alias
проверенная	spec_confidence_bucket	VERIFIED	ru	1.0		value_alias
verified	spec_confidence_bucket	VERIFIED	ru	1.0		value_alias
нет evidence	spec_evidence_level	NONE	ru	1.0		value_alias
none	spec_evidence_level	NONE	ru	1.0		value_alias
из названия	spec_evidence_level	TITLE	ru	1.0		value_alias
title	spec_evidence_level	TITLE	ru	1.0		value_alias
из ocr	spec_evidence_level	OCR	ru	1.0		value_alias
ocr	spec_evidence_level	OCR	ru	1.0		value_alias
из атрибутов источника	spec_evidence_level	SOURCE_ATTR	ru	1.0		value_alias
source attr	spec_evidence_level	SOURCE_ATTR	ru	1.0		value_alias
из barcode/mpn	spec_evidence_level	BARCODE_OR_MPN	ru	1.0		value_alias
barcode or mpn	spec_evidence_level	BARCODE_OR_MPN	ru	1.0		value_alias
подтверждено пользователем	spec_evidence_level	MANUAL_CONFIRMATION	ru	1.0		value_alias
manual confirmation	spec_evidence_level	MANUAL_CONFIRMATION	ru	1.0		value_alias
официальная спецификация	spec_evidence_level	OFFICIAL_SPEC	ru	1.0		value_alias
official spec	spec_evidence_level	OFFICIAL_SPEC	ru	1.0		value_alias
название пользователя	spec_source	USER_TITLE	ru	1.0		value_alias
user title	spec_source	USER_TITLE	ru	1.0		value_alias
атрибуты продавца	spec_source	SELLER_ATTRIBUTES	ru	1.0		value_alias
seller attributes	spec_source	SELLER_ATTRIBUTES	ru	1.0		value_alias
страница источника	spec_source	SOURCE_PAGE	ru	1.0		value_alias
source page	spec_source	SOURCE_PAGE	ru	1.0		value_alias
ocr изображения	spec_source	IMAGE_OCR	ru	1.0		value_alias
image ocr	spec_source	IMAGE_OCR	ru	1.0		value_alias
штрихкод	spec_source	BARCODE	ru	1.0		value_alias
barcode	spec_source	BARCODE	ru	1.0		value_alias
ручное подтверждение	spec_source	MANUAL	ru	1.0		value_alias
manual	spec_source	MANUAL	ru	1.0		value_alias
официальная база	spec_source	OFFICIAL_DATABASE	ru	1.0		value_alias
official database	spec_source	OFFICIAL_DATABASE	ru	1.0		value_alias
метрическая	measurement_system	METRIC	ru	1.0		value_alias
metric	measurement_system	METRIC	ru	1.0		value_alias
имперская	measurement_system	IMPERIAL	ru	1.0		value_alias
imperial	measurement_system	IMPERIAL	ru	1.0		value_alias
смешанная	measurement_system	MIXED	ru	1.0		value_alias
mixed	measurement_system	MIXED	ru	1.0		value_alias
не распознано	unit_normalization_status	NOT_PARSED	ru	1.0		value_alias
not parsed	unit_normalization_status	NOT_PARSED	ru	1.0		value_alias
распознано	unit_normalization_status	PARSED	ru	1.0		value_alias
parsed	unit_normalization_status	PARSED	ru	1.0		value_alias
нормализовано	unit_normalization_status	NORMALIZED	ru	1.0		value_alias
normalized	unit_normalization_status	NORMALIZED	ru	1.0		value_alias
конфликт единиц	unit_normalization_status	CONFLICT	ru	1.0		value_alias
conflict	unit_normalization_status	CONFLICT	ru	1.0		value_alias
неоднозначно	unit_normalization_status	AMBIGUOUS	ru	1.0		value_alias
ambiguous	unit_normalization_status	AMBIGUOUS	ru	1.0		value_alias
8 гб	storage_capacity	8GB	ru	1.0		value_alias
8gb	storage_capacity	8GB	ru	1.0		value_alias
16 гб	storage_capacity	16GB	ru	1.0		value_alias
16gb	storage_capacity	16GB	ru	1.0		value_alias
32 гб	storage_capacity	32GB	ru	1.0		value_alias
32gb	storage_capacity	32GB	ru	1.0		value_alias
64 гб	storage_capacity	64GB	ru	1.0		value_alias
64gb	storage_capacity	64GB	ru	1.0		value_alias
128 гб	storage_capacity	128GB	ru	1.0		value_alias
128gb	storage_capacity	128GB	ru	1.0		value_alias
256 гб	storage_capacity	256GB	ru	1.0		value_alias
256gb	storage_capacity	256GB	ru	1.0		value_alias
512 гб	storage_capacity	512GB	ru	1.0		value_alias
512gb	storage_capacity	512GB	ru	1.0		value_alias
1 тб	storage_capacity	1TB	ru	1.0		value_alias
1tb	storage_capacity	1TB	ru	1.0		value_alias
1024gb	storage_capacity	1TB	ru	1.0		value_alias
1024 гб	storage_capacity	1TB	ru	1.0		value_alias
2 тб	storage_capacity	2TB	ru	1.0		value_alias
2tb	storage_capacity	2TB	ru	1.0		value_alias
2048gb	storage_capacity	2TB	ru	1.0		value_alias
2048 гб	storage_capacity	2TB	ru	1.0		value_alias
4 тб	storage_capacity	4TB	ru	1.0		value_alias
4tb	storage_capacity	4TB	ru	1.0		value_alias
4096gb	storage_capacity	4TB	ru	1.0		value_alias
4096 гб	storage_capacity	4TB	ru	1.0		value_alias
8 тб	storage_capacity	8TB	ru	1.0		value_alias
8tb	storage_capacity	8TB	ru	1.0		value_alias
8192gb	storage_capacity	8TB	ru	1.0		value_alias
8192 гб	storage_capacity	8TB	ru	1.0		value_alias
12 тб	storage_capacity	12TB	ru	1.0		value_alias
12tb	storage_capacity	12TB	ru	1.0		value_alias
12288gb	storage_capacity	12TB	ru	1.0		value_alias
12288 гб	storage_capacity	12TB	ru	1.0		value_alias
16 тб	storage_capacity	16TB	ru	1.0		value_alias
16tb	storage_capacity	16TB	ru	1.0		value_alias
16384gb	storage_capacity	16TB	ru	1.0		value_alias
16384 гб	storage_capacity	16TB	ru	1.0		value_alias
1 гб	ram_capacity	1GB	ru	1.0		value_alias
1gb	ram_capacity	1GB	ru	1.0		value_alias
1gb ram	ram_capacity	1GB	ru	1.0		value_alias
1 гб озу	ram_capacity	1GB	ru	1.0		value_alias
озу 1	ram_capacity	1GB	ru	1.0		value_alias
оперативка 1	ram_capacity	1GB	ru	1.0		value_alias
2 гб	ram_capacity	2GB	ru	1.0		value_alias
2gb	ram_capacity	2GB	ru	1.0		value_alias
2gb ram	ram_capacity	2GB	ru	1.0		value_alias
2 гб озу	ram_capacity	2GB	ru	1.0		value_alias
озу 2	ram_capacity	2GB	ru	1.0		value_alias
оперативка 2	ram_capacity	2GB	ru	1.0		value_alias
3 гб	ram_capacity	3GB	ru	1.0		value_alias
3gb	ram_capacity	3GB	ru	1.0		value_alias
3gb ram	ram_capacity	3GB	ru	1.0		value_alias
3 гб озу	ram_capacity	3GB	ru	1.0		value_alias
озу 3	ram_capacity	3GB	ru	1.0		value_alias
оперативка 3	ram_capacity	3GB	ru	1.0		value_alias
4 гб	ram_capacity	4GB	ru	1.0		value_alias
4gb	ram_capacity	4GB	ru	1.0		value_alias
4gb ram	ram_capacity	4GB	ru	1.0		value_alias
4 гб озу	ram_capacity	4GB	ru	1.0		value_alias
озу 4	ram_capacity	4GB	ru	1.0		value_alias
оперативка 4	ram_capacity	4GB	ru	1.0		value_alias
6 гб	ram_capacity	6GB	ru	1.0		value_alias
6gb	ram_capacity	6GB	ru	1.0		value_alias
6gb ram	ram_capacity	6GB	ru	1.0		value_alias
6 гб озу	ram_capacity	6GB	ru	1.0		value_alias
озу 6	ram_capacity	6GB	ru	1.0		value_alias
оперативка 6	ram_capacity	6GB	ru	1.0		value_alias
8 гб	ram_capacity	8GB	ru	1.0		value_alias
8gb	ram_capacity	8GB	ru	1.0		value_alias
8gb ram	ram_capacity	8GB	ru	1.0		value_alias
8 гб озу	ram_capacity	8GB	ru	1.0		value_alias
озу 8	ram_capacity	8GB	ru	1.0		value_alias
оперативка 8	ram_capacity	8GB	ru	1.0		value_alias
12 гб	ram_capacity	12GB	ru	1.0		value_alias
12gb	ram_capacity	12GB	ru	1.0		value_alias
12gb ram	ram_capacity	12GB	ru	1.0		value_alias
12 гб озу	ram_capacity	12GB	ru	1.0		value_alias
озу 12	ram_capacity	12GB	ru	1.0		value_alias
оперативка 12	ram_capacity	12GB	ru	1.0		value_alias
16 гб	ram_capacity	16GB	ru	1.0		value_alias
16gb	ram_capacity	16GB	ru	1.0		value_alias
16gb ram	ram_capacity	16GB	ru	1.0		value_alias
16 гб озу	ram_capacity	16GB	ru	1.0		value_alias
озу 16	ram_capacity	16GB	ru	1.0		value_alias
оперативка 16	ram_capacity	16GB	ru	1.0		value_alias
24 гб	ram_capacity	24GB	ru	1.0		value_alias
24gb	ram_capacity	24GB	ru	1.0		value_alias
24gb ram	ram_capacity	24GB	ru	1.0		value_alias
24 гб озу	ram_capacity	24GB	ru	1.0		value_alias
озу 24	ram_capacity	24GB	ru	1.0		value_alias
оперативка 24	ram_capacity	24GB	ru	1.0		value_alias
32 гб	ram_capacity	32GB	ru	1.0		value_alias
32gb	ram_capacity	32GB	ru	1.0		value_alias
32gb ram	ram_capacity	32GB	ru	1.0		value_alias
32 гб озу	ram_capacity	32GB	ru	1.0		value_alias
озу 32	ram_capacity	32GB	ru	1.0		value_alias
оперативка 32	ram_capacity	32GB	ru	1.0		value_alias
48 гб	ram_capacity	48GB	ru	1.0		value_alias
48gb	ram_capacity	48GB	ru	1.0		value_alias
48gb ram	ram_capacity	48GB	ru	1.0		value_alias
48 гб озу	ram_capacity	48GB	ru	1.0		value_alias
озу 48	ram_capacity	48GB	ru	1.0		value_alias
оперативка 48	ram_capacity	48GB	ru	1.0		value_alias
64 гб	ram_capacity	64GB	ru	1.0		value_alias
64gb	ram_capacity	64GB	ru	1.0		value_alias
64gb ram	ram_capacity	64GB	ru	1.0		value_alias
64 гб озу	ram_capacity	64GB	ru	1.0		value_alias
озу 64	ram_capacity	64GB	ru	1.0		value_alias
оперативка 64	ram_capacity	64GB	ru	1.0		value_alias
96 гб	ram_capacity	96GB	ru	1.0		value_alias
96gb	ram_capacity	96GB	ru	1.0		value_alias
96gb ram	ram_capacity	96GB	ru	1.0		value_alias
96 гб озу	ram_capacity	96GB	ru	1.0		value_alias
озу 96	ram_capacity	96GB	ru	1.0		value_alias
оперативка 96	ram_capacity	96GB	ru	1.0		value_alias
128 гб	ram_capacity	128GB	ru	1.0		value_alias
128gb	ram_capacity	128GB	ru	1.0		value_alias
128gb ram	ram_capacity	128GB	ru	1.0		value_alias
128 гб озу	ram_capacity	128GB	ru	1.0		value_alias
озу 128	ram_capacity	128GB	ru	1.0		value_alias
оперативка 128	ram_capacity	128GB	ru	1.0		value_alias
192 гб	ram_capacity	192GB	ru	1.0		value_alias
192gb	ram_capacity	192GB	ru	1.0		value_alias
192gb ram	ram_capacity	192GB	ru	1.0		value_alias
192 гб озу	ram_capacity	192GB	ru	1.0		value_alias
озу 192	ram_capacity	192GB	ru	1.0		value_alias
оперативка 192	ram_capacity	192GB	ru	1.0		value_alias
256 гб	ram_capacity	256GB	ru	1.0		value_alias
256gb	ram_capacity	256GB	ru	1.0		value_alias
256gb ram	ram_capacity	256GB	ru	1.0		value_alias
256 гб озу	ram_capacity	256GB	ru	1.0		value_alias
озу 256	ram_capacity	256GB	ru	1.0		value_alias
оперативка 256	ram_capacity	256GB	ru	1.0		value_alias
512 гб	ram_capacity	512GB	ru	1.0		value_alias
512gb	ram_capacity	512GB	ru	1.0		value_alias
512gb ram	ram_capacity	512GB	ru	1.0		value_alias
512 гб озу	ram_capacity	512GB	ru	1.0		value_alias
озу 512	ram_capacity	512GB	ru	1.0		value_alias
оперативка 512	ram_capacity	512GB	ru	1.0		value_alias
"1.2"""	screen_size	IN_1_2	ru	1.0		value_alias
in 1 2	screen_size	IN_1_2	ru	1.0		value_alias
1.2 дюйм	screen_size	IN_1_2	ru	1.0		value_alias
экран 1.2	screen_size	IN_1_2	ru	1.0		value_alias
"1.4"""	screen_size	IN_1_4	ru	1.0		value_alias
in 1 4	screen_size	IN_1_4	ru	1.0		value_alias
1.4 дюйм	screen_size	IN_1_4	ru	1.0		value_alias
экран 1.4	screen_size	IN_1_4	ru	1.0		value_alias
"1.6"""	screen_size	IN_1_6	ru	1.0		value_alias
in 1 6	screen_size	IN_1_6	ru	1.0		value_alias
1.6 дюйм	screen_size	IN_1_6	ru	1.0		value_alias
экран 1.6	screen_size	IN_1_6	ru	1.0		value_alias
"5.4"""	screen_size	IN_5_4	ru	1.0		value_alias
in 5 4	screen_size	IN_5_4	ru	1.0		value_alias
5.4 дюйм	screen_size	IN_5_4	ru	1.0		value_alias
экран 5.4	screen_size	IN_5_4	ru	1.0		value_alias
"5.8"""	screen_size	IN_5_8	ru	1.0		value_alias
in 5 8	screen_size	IN_5_8	ru	1.0		value_alias
5.8 дюйм	screen_size	IN_5_8	ru	1.0		value_alias
экран 5.8	screen_size	IN_5_8	ru	1.0		value_alias
"6.1"""	screen_size	IN_6_1	ru	1.0		value_alias
in 6 1	screen_size	IN_6_1	ru	1.0		value_alias
6.1 дюйм	screen_size	IN_6_1	ru	1.0		value_alias
экран 6.1	screen_size	IN_6_1	ru	1.0		value_alias
"6.3"""	screen_size	IN_6_3	ru	1.0		value_alias
in 6 3	screen_size	IN_6_3	ru	1.0		value_alias
6.3 дюйм	screen_size	IN_6_3	ru	1.0		value_alias
экран 6.3	screen_size	IN_6_3	ru	1.0		value_alias
"6.5"""	screen_size	IN_6_5	ru	1.0		value_alias
in 6 5	screen_size	IN_6_5	ru	1.0		value_alias
6.5 дюйм	screen_size	IN_6_5	ru	1.0		value_alias
экран 6.5	screen_size	IN_6_5	ru	1.0		value_alias
"6.7"""	screen_size	IN_6_7	ru	1.0		value_alias
in 6 7	screen_size	IN_6_7	ru	1.0		value_alias
6.7 дюйм	screen_size	IN_6_7	ru	1.0		value_alias
экран 6.7	screen_size	IN_6_7	ru	1.0		value_alias
"6.9"""	screen_size	IN_6_9	ru	1.0		value_alias
in 6 9	screen_size	IN_6_9	ru	1.0		value_alias
6.9 дюйм	screen_size	IN_6_9	ru	1.0		value_alias
экран 6.9	screen_size	IN_6_9	ru	1.0		value_alias
"7.9"""	screen_size	IN_7_9	ru	1.0		value_alias
in 7 9	screen_size	IN_7_9	ru	1.0		value_alias
7.9 дюйм	screen_size	IN_7_9	ru	1.0		value_alias
экран 7.9	screen_size	IN_7_9	ru	1.0		value_alias
"8.3"""	screen_size	IN_8_3	ru	1.0		value_alias
in 8 3	screen_size	IN_8_3	ru	1.0		value_alias
8.3 дюйм	screen_size	IN_8_3	ru	1.0		value_alias
экран 8.3	screen_size	IN_8_3	ru	1.0		value_alias
"10.2"""	screen_size	IN_10_2	ru	1.0		value_alias
in 10 2	screen_size	IN_10_2	ru	1.0		value_alias
10.2 дюйм	screen_size	IN_10_2	ru	1.0		value_alias
экран 10.2	screen_size	IN_10_2	ru	1.0		value_alias
"10.9"""	screen_size	IN_10_9	ru	1.0		value_alias
in 10 9	screen_size	IN_10_9	ru	1.0		value_alias
10.9 дюйм	screen_size	IN_10_9	ru	1.0		value_alias
экран 10.9	screen_size	IN_10_9	ru	1.0		value_alias
"11"""	screen_size	IN_11	ru	1.0		value_alias
in 11	screen_size	IN_11	ru	1.0		value_alias
11 дюйм	screen_size	IN_11	ru	1.0		value_alias
экран 11	screen_size	IN_11	ru	1.0		value_alias
"12.9"""	screen_size	IN_12_9	ru	1.0		value_alias
in 12 9	screen_size	IN_12_9	ru	1.0		value_alias
12.9 дюйм	screen_size	IN_12_9	ru	1.0		value_alias
экран 12.9	screen_size	IN_12_9	ru	1.0		value_alias
"13.3"""	screen_size	IN_13_3	ru	1.0		value_alias
in 13 3	screen_size	IN_13_3	ru	1.0		value_alias
13.3 дюйм	screen_size	IN_13_3	ru	1.0		value_alias
экран 13.3	screen_size	IN_13_3	ru	1.0		value_alias
"14"""	screen_size	IN_14	ru	1.0		value_alias
in 14	screen_size	IN_14	ru	1.0		value_alias
14 дюйм	screen_size	IN_14	ru	1.0		value_alias
экран 14	screen_size	IN_14	ru	1.0		value_alias
"15.6"""	screen_size	IN_15_6	ru	1.0		value_alias
in 15 6	screen_size	IN_15_6	ru	1.0		value_alias
15.6 дюйм	screen_size	IN_15_6	ru	1.0		value_alias
экран 15.6	screen_size	IN_15_6	ru	1.0		value_alias
"16"""	screen_size	IN_16	ru	1.0		value_alias
in 16	screen_size	IN_16	ru	1.0		value_alias
16 дюйм	screen_size	IN_16	ru	1.0		value_alias
экран 16	screen_size	IN_16	ru	1.0		value_alias
"17.3"""	screen_size	IN_17_3	ru	1.0		value_alias
in 17 3	screen_size	IN_17_3	ru	1.0		value_alias
17.3 дюйм	screen_size	IN_17_3	ru	1.0		value_alias
экран 17.3	screen_size	IN_17_3	ru	1.0		value_alias
"24"""	screen_size	IN_24	ru	1.0		value_alias
in 24	screen_size	IN_24	ru	1.0		value_alias
24 дюйм	screen_size	IN_24	ru	1.0		value_alias
экран 24	screen_size	IN_24	ru	1.0		value_alias
"27"""	screen_size	IN_27	ru	1.0		value_alias
in 27	screen_size	IN_27	ru	1.0		value_alias
27 дюйм	screen_size	IN_27	ru	1.0		value_alias
экран 27	screen_size	IN_27	ru	1.0		value_alias
"32"""	screen_size	IN_32	ru	1.0		value_alias
in 32	screen_size	IN_32	ru	1.0		value_alias
32 дюйм	screen_size	IN_32	ru	1.0		value_alias
экран 32	screen_size	IN_32	ru	1.0		value_alias
"34"""	screen_size	IN_34	ru	1.0		value_alias
in 34	screen_size	IN_34	ru	1.0		value_alias
34 дюйм	screen_size	IN_34	ru	1.0		value_alias
экран 34	screen_size	IN_34	ru	1.0		value_alias
"43"""	screen_size	IN_43	ru	1.0		value_alias
in 43	screen_size	IN_43	ru	1.0		value_alias
43 дюйм	screen_size	IN_43	ru	1.0		value_alias
экран 43	screen_size	IN_43	ru	1.0		value_alias
"55"""	screen_size	IN_55	ru	1.0		value_alias
in 55	screen_size	IN_55	ru	1.0		value_alias
55 дюйм	screen_size	IN_55	ru	1.0		value_alias
экран 55	screen_size	IN_55	ru	1.0		value_alias
"65"""	screen_size	IN_65	ru	1.0		value_alias
in 65	screen_size	IN_65	ru	1.0		value_alias
65 дюйм	screen_size	IN_65	ru	1.0		value_alias
экран 65	screen_size	IN_65	ru	1.0		value_alias
"75"""	screen_size	IN_75	ru	1.0		value_alias
in 75	screen_size	IN_75	ru	1.0		value_alias
75 дюйм	screen_size	IN_75	ru	1.0		value_alias
экран 75	screen_size	IN_75	ru	1.0		value_alias
"85"""	screen_size	IN_85	ru	1.0		value_alias
in 85	screen_size	IN_85	ru	1.0		value_alias
85 дюйм	screen_size	IN_85	ru	1.0		value_alias
экран 85	screen_size	IN_85	ru	1.0		value_alias
hd	screen_resolution	HD	ru	1.0		value_alias
720p	screen_resolution	HD	ru	1.0		value_alias
full hd	screen_resolution	FHD	ru	1.0		value_alias
fhd	screen_resolution	FHD	ru	1.0		value_alias
1080p	screen_resolution	FHD	ru	1.0		value_alias
1920x1080	screen_resolution	FHD	ru	1.0		value_alias
wuxga	screen_resolution	WUXGA	ru	1.0		value_alias
1920x1200	screen_resolution	WUXGA	ru	1.0		value_alias
qhd	screen_resolution	QHD	ru	1.0		value_alias
2k	screen_resolution	QHD	ru	1.0		value_alias
2560x1440	screen_resolution	QHD	ru	1.0		value_alias
4k uhd	screen_resolution	UHD_4K	ru	1.0		value_alias
uhd 4k	screen_resolution	UHD_4K	ru	1.0		value_alias
4к	screen_resolution	UHD_4K	ru	1.0		value_alias
3840x2160	screen_resolution	UHD_4K	ru	1.0		value_alias
5k	screen_resolution	UHD_5K	ru	1.0		value_alias
uhd 5k	screen_resolution	UHD_5K	ru	1.0		value_alias
5к	screen_resolution	UHD_5K	ru	1.0		value_alias
8k	screen_resolution	UHD_8K	ru	1.0		value_alias
uhd 8k	screen_resolution	UHD_8K	ru	1.0		value_alias
8к	screen_resolution	UHD_8K	ru	1.0		value_alias
retina	screen_resolution	RETINA	ru	1.0		value_alias
ретина	screen_resolution	RETINA	ru	1.0		value_alias
ultrawide qhd	screen_resolution	ULTRAWIDE_QHD	ru	1.0		value_alias
3440x1440	screen_resolution	ULTRAWIDE_QHD	ru	1.0		value_alias
uwqhd	screen_resolution	ULTRAWIDE_QHD	ru	1.0		value_alias
30 гц	refresh_rate_hz	30HZ	ru	1.0		value_alias
30hz	refresh_rate_hz	30HZ	ru	1.0		value_alias
30 герц	refresh_rate_hz	30HZ	ru	1.0		value_alias
50 гц	refresh_rate_hz	50HZ	ru	1.0		value_alias
50hz	refresh_rate_hz	50HZ	ru	1.0		value_alias
50 герц	refresh_rate_hz	50HZ	ru	1.0		value_alias
60 гц	refresh_rate_hz	60HZ	ru	1.0		value_alias
60hz	refresh_rate_hz	60HZ	ru	1.0		value_alias
