brand	family	line	model_name_text	model_code_hint	computer_type_hint	market_tier	identity_priority	aliases_ru	notes_ru
MSI	PRESTIGE	Prestige	Prestige 14		ULTRABOOK	2	70	msi prestige 14	
MSI	GF	GF Series	GF63 Thin		GAMING_LAPTOP	2	77	msi gf63;gf63 thin	
MSI	STEALTH	Stealth	Stealth 15		GAMING_LAPTOP	2	72	msi stealth 15	
MICROSOFT	SURFACE	Surface Laptop	Surface Laptop		ULTRABOOK	1	81	сюрфейс laptop;surface laptop	
MICROSOFT	SURFACE	Surface Pro	Surface Pro		TWO_IN_ONE_LAPTOP	1	79	сюрфейс про;surface pro	
MICROSOFT	SURFACE	Surface Book	Surface Book		TWO_IN_ONE_LAPTOP	2	68	surface book;сюрфейс бук	
SAMSUNG	GALAXY_BOOK	Galaxy Book	Galaxy Book Pro		ULTRABOOK	2	72	galaxy book pro;гэлакси бук	
SAMSUNG	GALAXY_BOOK	Galaxy Book	Galaxy Book 360		TWO_IN_ONE_LAPTOP	2	70	galaxy book 360	
HUAWEI	MATEBOOK	MateBook	MateBook D 15		LAPTOP	2	75	матебук d15;matebook d15	
HUAWEI	MATEBOOK	MateBook	MateBook X Pro		ULTRABOOK	2	74	matebook x pro;матебук икс про	
HONOR	MAGICBOOK	MagicBook	MagicBook 14		LAPTOP	2	76	хонор magicbook 14;magicbook 14	
XIAOMI	MI_NOTEBOOK	Mi Notebook	Mi Notebook Pro		LAPTOP	2	66	ми ноутбук pro;xiaomi notebook pro	
LG	GRAM	Gram	LG Gram 14		ULTRABOOK	2	70	lg gram 14;элджи грам 14	
RAZER	BLADE	Blade	Razer Blade 15		GAMING_LAPTOP	2	72	рейзер blade 15;razer blade	
GIGABYTE	AORUS	Aorus	Aorus 15		GAMING_LAPTOP	2	69	aorus 15;аорус 15	
GIGABYTE	AERO	Aero	Aero 15		WORKSTATION	2	66	aero 15	
FRAMEWORK	FRAMEWORK_LAPTOP	Framework Laptop	Framework Laptop 13		LAPTOP	2	65	framework 13;фреймворк 13	
PANASONIC	TOUGHBOOK	Toughbook	Toughbook CF		LAPTOP	3	55	панасоник toughbook;защищенный ноутбук	
BEELINK	MINI_PC	Mini PC	Beelink SER		MINI_PC	2	64	beelink ser;билинк ser	
MINISFORUM	MINI_PC	Mini PC	Minisforum UM		MINI_PC	2	63	minisforum um;минисфорум	
INTEL	NUC	NUC	Intel NUC		MINI_PC	2	68	intel nuc;интел нук	
ZOTAC	ZBOX	ZBOX	Zotac ZBOX		MINI_PC	3	55	zotac zbox	
HP	ELITEDESK	EliteDesk	EliteDesk 800		DESKTOP_PC	3	55		
HP	THIN_CLIENT	t Series	HP t630		THIN_CLIENT	3	55		
DELL	WYSE	Wyse	Dell Wyse 5070		THIN_CLIENT	3	55		
LENOVO	THINKCENTRE	ThinkCentre	ThinkCentre M720		DESKTOP_PC	3	55		
LENOVO	THINKSTATION	ThinkStation	ThinkStation P Series		WORKSTATION	3	55		
DELL	INSPIRON	Inspiron	Inspiron Desktop		DESKTOP_PC	3	55		
ACER	VERITON	Veriton	Acer Veriton		DESKTOP_PC	3	55		
ASUS	MINI_PC	Mini PC	ASUS PN Series		MINI_PC	3	55		
MSI	CUBI	Cubi	MSI Cubi		MINI_PC	3	55		
APPLE	MAC	Mac Pro	Mac Pro		WORKSTATION	3	55		
