alias	target_category_code	target_attribute	target_value	locale	match_type	priority	negative_guards	notes_ru
m1	TECH.COMPUTERS	cpu_family	APPLE_M	ru,en	phrase_or_token	60		spec alias
m2	TECH.COMPUTERS	cpu_family	APPLE_M	ru,en	phrase_or_token	60		spec alias
m3	TECH.COMPUTERS	cpu_family	APPLE_M	ru,en	phrase_or_token	60		spec alias
m4	TECH.COMPUTERS	cpu_family	APPLE_M	ru,en	phrase_or_token	60		spec alias
rtx	TECH.COMPUTERS	gpu_brand	NVIDIA	ru,en	phrase_or_token	60		spec alias
geforce	TECH.COMPUTERS	gpu_brand	NVIDIA	ru,en	phrase_or_token	60		spec alias
radeon	TECH.COMPUTERS	gpu_brand	AMD	ru,en	phrase_or_token	60		spec alias
iris xe	TECH.COMPUTERS	gpu_brand	INTEL	ru,en	phrase_or_token	60		spec alias
ssd	TECH.COMPUTERS	storage_type	NVME_SSD	ru,en	phrase_or_token	60		spec alias
hdd	TECH.COMPUTERS	storage_type	HDD	ru,en	phrase_or_token	60		spec alias
16 гб	TECH.COMPUTERS	ram_gb	16	ru,en	phrase_or_token	60		spec alias
32 гб	TECH.COMPUTERS	ram_gb	32	ru,en	phrase_or_token	60		spec alias
512 гб	TECH.COMPUTERS	storage_capacity_gb	512	ru,en	phrase_or_token	60		spec alias
1 тб	TECH.COMPUTERS	storage_capacity_gb	1024	ru,en	phrase_or_token	60		spec alias
монитор	TECH.MONITORS_DISPLAYS	route_guard	negative	ru,en	phrase_or_token	95	screen_without_computer_terms	cross-route guard alias
клавиатура	TECH.COMPUTER_ACCESSORIES	route_guard	negative	ru,en	phrase_or_token	95	accessory_only	cross-route guard alias
мышь	TECH.COMPUTER_ACCESSORIES	route_guard	negative	ru,en	phrase_or_token	95	accessory_only	cross-route guard alias
видеокарта	TECH.PC_COMPONENTS	route_guard	negative	ru,en	phrase_or_token	95	component_only	cross-route guard alias
процессор	TECH.PC_COMPONENTS	route_guard	negative	ru,en	phrase_or_token	95	component_only	cross-route guard alias
ssd	TECH.STORAGE_MEMORY	route_guard	negative	ru,en	phrase_or_token	95	storage_only_when_no_computer_context	cross-route guard alias
ipad	TECH.TABLETS_E_READERS	route_guard	negative	ru,en	phrase_or_token	95	tablet_brand_context	cross-route guard alias
планшет	TECH.TABLETS_E_READERS	route_guard	negative	ru,en	phrase_or_token	95	tablet_only	cross-route guard alias
игровая приставка	TECH.GAMING	route_guard	negative	ru,en	phrase_or_token	95	console_only	cross-route guard alias
