value_set	value_code	label_ru	aliases_ru	sort_order	usage_scope	status	notes_ru
chromeos_support_status	UNKNOWN	Неизвестно	unknown	3	all	active	
chromeos_support_status	EXPIRED	Поддержка истекла	expired	4	all	active	
thin_client_os	THINOS	ThinOS	thin os	1	all	active	
thin_client_os	WINDOWS_IOT	Windows IoT	iot	2	all	active	
thin_client_os	LINUX_THIN	Linux thin client	linux	3	all	active	
thin_client_os	CHROMEOS_FLEX	ChromeOS Flex	flex	4	all	active	
thin_client_os	OTHER_THIN_OS	Другая	other	5	all	active	
thermal_profile	STANDARD	Обычный	standard	1	all	active	
thermal_profile	GAMING_COOLING	Игровое охлаждение	gaming cooling	2	all	active	
thermal_profile	QUIET	Тихий	silent	3	all	active	
thermal_profile	HIGH_PERFORMANCE	Высокая производительность	performance	4	all	active	
identity_resolution_status	RESOLVED	Resolved		1	all	active	
identity_resolution_status	TEXT_ONLY	Только текст		2	all	active	
identity_resolution_status	AMBIGUOUS	Неоднозначно		3	all	active	
identity_resolution_status	UNRESOLVED	Не распознано		4	all	active	
ram_gb_head	4	4 ГБ	4gb;4 гб	1	all	active	
ram_gb_head	8	8 ГБ	8gb;8 гб	2	all	active	
ram_gb_head	12	12 ГБ	12gb;12 гб	3	all	active	
ram_gb_head	16	16 ГБ	16gb;16 гб	4	all	active	
ram_gb_head	24	24 ГБ	24gb;24 гб	5	all	active	
ram_gb_head	32	32 ГБ	32gb;32 гб	6	all	active	
ram_gb_head	48	48 ГБ	48gb;48 гб	7	all	active	
ram_gb_head	64	64 ГБ	64gb;64 гб	8	all	active	
ram_gb_head	96	96 ГБ	96gb;96 гб	9	all	active	
ram_gb_head	128	128 ГБ	128gb;128 гб	10	all	active	
ram_gb_head	256	256 ГБ	256gb;256 гб	11	all	active	
storage_capacity_gb_head	64	64 ГБ	64gb;64 гб	1	all	active	
storage_capacity_gb_head	128	128 ГБ	128gb;128 гб	2	all	active	
storage_capacity_gb_head	256	256 ГБ	256gb;256 гб	3	all	active	
storage_capacity_gb_head	512	512 ГБ	512gb;512 гб	4	all	active	
storage_capacity_gb_head	1024	1 ТБ	1024gb;1024 гб;1tb;1 тб	5	all	active	
storage_capacity_gb_head	2048	2 ТБ	2048gb;2048 гб;2tb;2 тб	6	all	active	
storage_capacity_gb_head	4096	4 ТБ	4096gb;4096 гб;4tb;4 тб	7	all	active	
storage_capacity_gb_head	8192	8 ТБ	8192gb;8192 гб;8tb;8 тб	8	all	active	
screen_size_in_head	11_6	"11.6"""	11.6;11.6 дюйм	1	all	active	
screen_size_in_head	12_3	"12.3"""	12.3;12.3 дюйм	2	all	active	
screen_size_in_head	13_0	"13.0"""	13.0;13.0 дюйм	3	all	active	
screen_size_in_head	13_3	"13.3"""	13.3;13.3 дюйм	4	all	active	
screen_size_in_head	13_6	"13.6"""	13.6;13.6 дюйм	5	all	active	
screen_size_in_head	14_0	"14.0"""	14.0;14.0 дюйм	6	all	active	
screen_size_in_head	15_0	"15.0"""	15.0;15.0 дюйм	7	all	active	
screen_size_in_head	15_6	"15.6"""	15.6;15.6 дюйм	8	all	active	
screen_size_in_head	16_0	"16.0"""	16.0;16.0 дюйм	9	all	active	
screen_size_in_head	17_3	"17.3"""	17.3;17.3 дюйм	10	all	active	
screen_size_in_head	18_0	"18.0"""	18.0;18.0 дюйм	11	all	active	
screen_size_in_head	21_5	"21.5"""	21.5;21.5 дюйм	12	all	active	
screen_size_in_head	23_8	"23.8"""	23.8;23.8 дюйм	13	all	active	
screen_size_in_head	24_0	"24.0"""	24.0;24.0 дюйм	14	all	active	
screen_size_in_head	27_0	"27.0"""	27.0;27.0 дюйм	15	all	active	
power_watt_head	45	45 Вт	45w;45 ватт	1	all	active	
power_watt_head	60	60 Вт	60w;60 ватт	2	all	active	
power_watt_head	65	65 Вт	65w;65 ватт	3	all	active	
power_watt_head	90	90 Вт	90w;90 ватт	4	all	active	
power_watt_head	100	100 Вт	100w;100 ватт	5	all	active	
power_watt_head	120	120 Вт	120w;120 ватт	6	all	active	
power_watt_head	135	135 Вт	135w;135 ватт	7	all	active	
power_watt_head	180	180 Вт	180w;180 ватт	8	all	active	
power_watt_head	230	230 Вт	230w;230 ватт	9	all	active	
power_watt_head	280	280 Вт	280w;280 ватт	10	all	active	
power_watt_head	450	450 Вт	450w;450 ватт	11	all	active	
power_watt_head	550	550 Вт	550w;550 ватт	12	all	active	
power_watt_head	650	650 Вт	650w;650 ватт	13	all	active	
power_watt_head	750	750 Вт	750w;750 ватт	14	all	active	
power_watt_head	850	850 Вт	850w;850 ватт	15	all	active	
power_watt_head	1000	1000 Вт	1000w;1000 ватт	16	all	active	
power_watt_head	1200	1200 Вт	1200w;1200 ватт	17	all	active	
computer_brand_head	APPLE	Apple		1	all	active	
computer_brand_head	LENOVO	Lenovo		2	all	active	
computer_brand_head	HP	Hp		3	all	active	
computer_brand_head	DELL	Dell		4	all	active	
computer_brand_head	ASUS	Asus		5	all	active	
computer_brand_head	ACER	Acer		6	all	active	
computer_brand_head	MSI	Msi		7	all	active	
computer_brand_head	MICROSOFT	Microsoft		8	all	active	
computer_brand_head	SAMSUNG	Samsung		9	all	active	
computer_brand_head	GIGABYTE	Gigabyte		10	all	active	
computer_brand_head	ALIENWARE	Alienware		11	all	active	
computer_brand_head	RAZER	Razer		12	all	active	
computer_brand_head	HUAWEI	Huawei		13	all	active	
computer_brand_head	HONOR	Honor		14	all	active	
computer_brand_head	XIAOMI	Xiaomi		15	all	active	
computer_brand_head	LG	Lg		16	all	active	
computer_brand_head	FUJITSU	Fujitsu		17	all	active	
computer_brand_head	TOSHIBA	Toshiba		18	all	active	
computer_brand_head	PANASONIC	Panasonic		19	all	active	
computer_brand_head	FRAMEWORK	Framework		20	all	active	
computer_brand_head	INTEL	Intel		21	all	active	
computer_brand_head	ZOTAC	Zotac		22	all	active	
computer_brand_head	BEELINK	Beelink		23	all	active	
computer_brand_head	MINISFORUM	Minisforum		24	all	active	
computer_brand_head	CHUWI	Chuwi		25	all	active	
computer_brand_head	HASEE	Hasee		26	all	active	
computer_brand_head	OTHER_BRAND	Other Brand		27	all	active	
