computer_type	attribute_code	importance	ui_surface	facet	required_policy	notes_ru
ALL_IN_ONE	ram_gb	P0	initial	primary	required_or_strongly_recommended	
ALL_IN_ONE	storage_capacity_gb	P0	initial	primary	required_or_strongly_recommended	
ALL_IN_ONE	storage_type	P0	expanded	secondary	required_or_strongly_recommended	
WORKSTATION	brand	P0	initial	primary	required_or_strongly_recommended	
WORKSTATION	condition	P0	initial	primary	required_or_strongly_recommended	
WORKSTATION	model_name_text	P0	initial	secondary	required_or_strongly_recommended	
WORKSTATION	cpu_model_text	P0	initial	secondary	required_or_strongly_recommended	
WORKSTATION	ram_gb	P0	initial	primary	required_or_strongly_recommended	
WORKSTATION	storage_capacity_gb	P0	initial	primary	required_or_strongly_recommended	
WORKSTATION	storage_type	P0	expanded	secondary	required_or_strongly_recommended	
THIN_CLIENT	brand	P0	initial	primary	required_or_strongly_recommended	
THIN_CLIENT	condition	P0	initial	primary	required_or_strongly_recommended	
THIN_CLIENT	model_name_text	P0	initial	secondary	required_or_strongly_recommended	
THIN_CLIENT	cpu_model_text	P0	initial	secondary	required_or_strongly_recommended	
THIN_CLIENT	ram_gb	P0	initial	primary	required_or_strongly_recommended	
THIN_CLIENT	storage_capacity_gb	P0	initial	primary	required_or_strongly_recommended	
THIN_CLIENT	storage_type	P0	expanded	secondary	required_or_strongly_recommended	
LAPTOP	screen_size_in	P1	expanded	secondary	recommended_for_portable	
LAPTOP	screen_resolution	P1	expanded	secondary	recommended_for_portable	
LAPTOP	battery_health_percent	P1	expanded	secondary	recommended_for_portable	
LAPTOP	charger_included	P1	expanded	secondary	recommended_for_portable	
LAPTOP	keyboard_layout	P1	expanded	secondary	recommended_for_portable	
ULTRABOOK	screen_size_in	P1	expanded	secondary	recommended_for_portable	
ULTRABOOK	screen_resolution	P1	expanded	secondary	recommended_for_portable	
ULTRABOOK	battery_health_percent	P1	expanded	secondary	recommended_for_portable	
ULTRABOOK	charger_included	P1	expanded	secondary	recommended_for_portable	
ULTRABOOK	keyboard_layout	P1	expanded	secondary	recommended_for_portable	
GAMING_LAPTOP	screen_size_in	P1	expanded	secondary	recommended_for_portable	
GAMING_LAPTOP	screen_resolution	P1	expanded	secondary	recommended_for_portable	
GAMING_LAPTOP	battery_health_percent	P1	expanded	secondary	recommended_for_portable	
GAMING_LAPTOP	charger_included	P1	expanded	secondary	recommended_for_portable	
GAMING_LAPTOP	keyboard_layout	P1	expanded	secondary	recommended_for_portable	
TWO_IN_ONE_LAPTOP	screen_size_in	P1	expanded	secondary	recommended_for_portable	
TWO_IN_ONE_LAPTOP	screen_resolution	P1	expanded	secondary	recommended_for_portable	
TWO_IN_ONE_LAPTOP	battery_health_percent	P1	expanded	secondary	recommended_for_portable	
TWO_IN_ONE_LAPTOP	charger_included	P1	expanded	secondary	recommended_for_portable	
TWO_IN_ONE_LAPTOP	keyboard_layout	P1	expanded	secondary	recommended_for_portable	
CHROMEBOOK	screen_size_in	P1	expanded	secondary	recommended_for_portable	
CHROMEBOOK	screen_resolution	P1	expanded	secondary	recommended_for_portable	
CHROMEBOOK	battery_health_percent	P1	expanded	secondary	recommended_for_portable	
CHROMEBOOK	charger_included	P1	expanded	secondary	recommended_for_portable	
CHROMEBOOK	keyboard_layout	P1	expanded	secondary	recommended_for_portable	
GAMING_LAPTOP	gpu_type	P1	expanded	secondary	recommended_for_gpu_heavy	
GAMING_LAPTOP	gpu_model_text	P1	expanded	secondary	recommended_for_gpu_heavy	
GAMING_LAPTOP	graphics_memory_gb	P1	expanded	secondary	recommended_for_gpu_heavy	
WORKSTATION	gpu_type	P1	expanded	secondary	recommended_for_gpu_heavy	
WORKSTATION	gpu_model_text	P1	expanded	secondary	recommended_for_gpu_heavy	
WORKSTATION	graphics_memory_gb	P1	expanded	secondary	recommended_for_gpu_heavy	
DESKTOP_PC	gpu_type	P1	expanded	secondary	recommended_for_gpu_heavy	
DESKTOP_PC	gpu_model_text	P1	expanded	secondary	recommended_for_gpu_heavy	
DESKTOP_PC	graphics_memory_gb	P1	expanded	secondary	recommended_for_gpu_heavy	
DESKTOP_PC	desktop_form_factor	P0	initial	secondary	required_when_desktop	
MINI_PC	desktop_form_factor	P0	initial	secondary	required_when_desktop	
WORKSTATION	desktop_form_factor	P0	initial	secondary	required_when_desktop	
THIN_CLIENT	desktop_form_factor	P0	initial	secondary	required_when_desktop	
