alias	normalized_brand	normalized_family	normalized_model_text	match_scope	locale	priority	notes_ru
YOGA	LENOVO	YOGA	Yoga 9	model_or_family	ru,en	76	head seed alias, not full registry
йога 9	LENOVO	YOGA	Yoga 9	model_or_family	ru,en	76	head seed alias, not full registry
lenovo yoga 9	LENOVO	YOGA	Yoga 9	model_or_family	ru,en	76	head seed alias, not full registry
Legion 5	LENOVO	LEGION	Legion 5	model_or_family	ru,en	84	head seed alias, not full registry
LEGION	LENOVO	LEGION	Legion 5	model_or_family	ru,en	84	head seed alias, not full registry
легион 5	LENOVO	LEGION	Legion 5	model_or_family	ru,en	84	head seed alias, not full registry
lenovo legion 5	LENOVO	LEGION	Legion 5	model_or_family	ru,en	84	head seed alias, not full registry
Legion 7	LENOVO	LEGION	Legion 7	model_or_family	ru,en	82	head seed alias, not full registry
LEGION	LENOVO	LEGION	Legion 7	model_or_family	ru,en	82	head seed alias, not full registry
легион 7	LENOVO	LEGION	Legion 7	model_or_family	ru,en	82	head seed alias, not full registry
lenovo legion 7	LENOVO	LEGION	Legion 7	model_or_family	ru,en	82	head seed alias, not full registry
XPS 13	DELL	XPS	XPS 13	model_or_family	ru,en	84	head seed alias, not full registry
XPS	DELL	XPS	XPS 13	model_or_family	ru,en	84	head seed alias, not full registry
делл xps 13	DELL	XPS	XPS 13	model_or_family	ru,en	84	head seed alias, not full registry
икспиэс 13	DELL	XPS	XPS 13	model_or_family	ru,en	84	head seed alias, not full registry
XPS 15	DELL	XPS	XPS 15	model_or_family	ru,en	78	head seed alias, not full registry
XPS	DELL	XPS	XPS 15	model_or_family	ru,en	78	head seed alias, not full registry
dell xps 15	DELL	XPS	XPS 15	model_or_family	ru,en	78	head seed alias, not full registry
Latitude 5420	DELL	LATITUDE	Latitude 5420	model_or_family	ru,en	72	head seed alias, not full registry
LATITUDE	DELL	LATITUDE	Latitude 5420	model_or_family	ru,en	72	head seed alias, not full registry
делл латитуд	DELL	LATITUDE	Latitude 5420	model_or_family	ru,en	72	head seed alias, not full registry
Latitude 7420	DELL	LATITUDE	Latitude 7420	model_or_family	ru,en	70	head seed alias, not full registry
LATITUDE	DELL	LATITUDE	Latitude 7420	model_or_family	ru,en	70	head seed alias, not full registry
Precision 5550	DELL	PRECISION	Precision 5550	model_or_family	ru,en	69	head seed alias, not full registry
PRECISION	DELL	PRECISION	Precision 5550	model_or_family	ru,en	69	head seed alias, not full registry
OptiPlex 3080	DELL	OPTIPLEX	OptiPlex 3080	model_or_family	ru,en	70	head seed alias, not full registry
OPTIPLEX	DELL	OPTIPLEX	OptiPlex 3080	model_or_family	ru,en	70	head seed alias, not full registry
оптиплекс 3080	DELL	OPTIPLEX	OptiPlex 3080	model_or_family	ru,en	70	head seed alias, not full registry
optiplex micro	DELL	OPTIPLEX	OptiPlex 3080	model_or_family	ru,en	70	head seed alias, not full registry
Alienware m15	ALIENWARE	ALIENWARE	Alienware m15	model_or_family	ru,en	72	head seed alias, not full registry
ALIENWARE	ALIENWARE	ALIENWARE	Alienware m15	model_or_family	ru,en	72	head seed alias, not full registry
m Series	ALIENWARE	ALIENWARE	Alienware m15	model_or_family	ru,en	72	head seed alias, not full registry
алиенвар m15	ALIENWARE	ALIENWARE	Alienware m15	model_or_family	ru,en	72	head seed alias, not full registry
Pavilion 15	HP	PAVILION	Pavilion 15	model_or_family	ru,en	76	head seed alias, not full registry
PAVILION	HP	PAVILION	Pavilion 15	model_or_family	ru,en	76	head seed alias, not full registry
павилион 15	HP	PAVILION	Pavilion 15	model_or_family	ru,en	76	head seed alias, not full registry
hp pavilion 15	HP	PAVILION	Pavilion 15	model_or_family	ru,en	76	head seed alias, not full registry
Envy x360	HP	ENVY	Envy x360	model_or_family	ru,en	77	head seed alias, not full registry
ENVY	HP	ENVY	Envy x360	model_or_family	ru,en	77	head seed alias, not full registry
энви x360	HP	ENVY	Envy x360	model_or_family	ru,en	77	head seed alias, not full registry
hp envy x360	HP	ENVY	Envy x360	model_or_family	ru,en	77	head seed alias, not full registry
Spectre x360	HP	SPECTRE	Spectre x360	model_or_family	ru,en	77	head seed alias, not full registry
SPECTRE	HP	SPECTRE	Spectre x360	model_or_family	ru,en	77	head seed alias, not full registry
спектр x360	HP	SPECTRE	Spectre x360	model_or_family	ru,en	77	head seed alias, not full registry
EliteBook 840	HP	ELITEBOOK	EliteBook 840	model_or_family	ru,en	78	head seed alias, not full registry
ELITEBOOK	HP	ELITEBOOK	EliteBook 840	model_or_family	ru,en	78	head seed alias, not full registry
элитбук 840	HP	ELITEBOOK	EliteBook 840	model_or_family	ru,en	78	head seed alias, not full registry
ProBook 450	HP	PROBOOK	ProBook 450	model_or_family	ru,en	74	head seed alias, not full registry
PROBOOK	HP	PROBOOK	ProBook 450	model_or_family	ru,en	74	head seed alias, not full registry
пробук 450	HP	PROBOOK	ProBook 450	model_or_family	ru,en	74	head seed alias, not full registry
Omen 16	HP	OMEN	Omen 16	model_or_family	ru,en	81	head seed alias, not full registry
OMEN	HP	OMEN	Omen 16	model_or_family	ru,en	81	head seed alias, not full registry
омен 16	HP	OMEN	Omen 16	model_or_family	ru,en	81	head seed alias, not full registry
hp omen 16	HP	OMEN	Omen 16	model_or_family	ru,en	81	head seed alias, not full registry
ZBook Studio	HP	ZBOOK	ZBook Studio	model_or_family	ru,en	71	head seed alias, not full registry
ZBOOK	HP	ZBOOK	ZBook Studio	model_or_family	ru,en	71	head seed alias, not full registry
збук студио	HP	ZBOOK	ZBook Studio	model_or_family	ru,en	71	head seed alias, not full registry
Zenbook 14	ASUS	ZENBOOK	Zenbook 14	model_or_family	ru,en	83	head seed alias, not full registry
ZENBOOK	ASUS	ZENBOOK	Zenbook 14	model_or_family	ru,en	83	head seed alias, not full registry
зенбук 14	ASUS	ZENBOOK	Zenbook 14	model_or_family	ru,en	83	head seed alias, not full registry
asus zenbook 14	ASUS	ZENBOOK	Zenbook 14	model_or_family	ru,en	83	head seed alias, not full registry
Vivobook 15	ASUS	VIVOBOOK	Vivobook 15	model_or_family	ru,en	77	head seed alias, not full registry
VIVOBOOK	ASUS	VIVOBOOK	Vivobook 15	model_or_family	ru,en	77	head seed alias, not full registry
вивобук 15	ASUS	VIVOBOOK	Vivobook 15	model_or_family	ru,en	77	head seed alias, not full registry
asus vivobook 15	ASUS	VIVOBOOK	Vivobook 15	model_or_family	ru,en	77	head seed alias, not full registry
ROG Zephyrus G14	ASUS	ROG	ROG Zephyrus G14	model_or_family	ru,en	85	head seed alias, not full registry
ROG	ASUS	ROG	ROG Zephyrus G14	model_or_family	ru,en	85	head seed alias, not full registry
ROG Zephyrus	ASUS	ROG	ROG Zephyrus G14	model_or_family	ru,en	85	head seed alias, not full registry
зефирус g14	ASUS	ROG	ROG Zephyrus G14	model_or_family	ru,en	85	head seed alias, not full registry
rog g14	ASUS	ROG	ROG Zephyrus G14	model_or_family	ru,en	85	head seed alias, not full registry
ROG Strix G15	ASUS	ROG	ROG Strix G15	model_or_family	ru,en	82	head seed alias, not full registry
ROG	ASUS	ROG	ROG Strix G15	model_or_family	ru,en	82	head seed alias, not full registry
ROG Strix	ASUS	ROG	ROG Strix G15	model_or_family	ru,en	82	head seed alias, not full registry
стрикс g15	ASUS	ROG	ROG Strix G15	model_or_family	ru,en	82	head seed alias, not full registry
TUF Gaming A15	ASUS	TUF	TUF Gaming A15	model_or_family	ru,en	82	head seed alias, not full registry
TUF	ASUS	TUF	TUF Gaming A15	model_or_family	ru,en	82	head seed alias, not full registry
TUF Gaming	ASUS	TUF	TUF Gaming A15	model_or_family	ru,en	82	head seed alias, not full registry
асус таф a15	ASUS	TUF	TUF Gaming A15	model_or_family	ru,en	82	head seed alias, not full registry
tuf a15	ASUS	TUF	TUF Gaming A15	model_or_family	ru,en	82	head seed alias, not full registry
ExpertBook B9	ASUS	EXPERTBOOK	ExpertBook B9	model_or_family	ru,en	70	head seed alias, not full registry
EXPERTBOOK	ASUS	EXPERTBOOK	ExpertBook B9	model_or_family	ru,en	70	head seed alias, not full registry
Aspire 5	ACER	ASPIRE	Aspire 5	model_or_family	ru,en	77	head seed alias, not full registry
ASPIRE	ACER	ASPIRE	Aspire 5	model_or_family	ru,en	77	head seed alias, not full registry
асер аспайр 5	ACER	ASPIRE	Aspire 5	model_or_family	ru,en	77	head seed alias, not full registry
acer aspire 5	ACER	ASPIRE	Aspire 5	model_or_family	ru,en	77	head seed alias, not full registry
Swift 3	ACER	SWIFT	Swift 3	model_or_family	ru,en	74	head seed alias, not full registry
SWIFT	ACER	SWIFT	Swift 3	model_or_family	ru,en	74	head seed alias, not full registry
acer swift 3	ACER	SWIFT	Swift 3	model_or_family	ru,en	74	head seed alias, not full registry
свифт 3	ACER	SWIFT	Swift 3	model_or_family	ru,en	74	head seed alias, not full registry
Predator Helios 300	ACER	PREDATOR	Predator Helios 300	model_or_family	ru,en	77	head seed alias, not full registry
PREDATOR	ACER	PREDATOR	Predator Helios 300	model_or_family	ru,en	77	head seed alias, not full registry
Predator Helios	ACER	PREDATOR	Predator Helios 300	model_or_family	ru,en	77	head seed alias, not full registry
хелиос 300	ACER	PREDATOR	Predator Helios 300	model_or_family	ru,en	77	head seed alias, not full registry
predator 300	ACER	PREDATOR	Predator Helios 300	model_or_family	ru,en	77	head seed alias, not full registry
Nitro 5	ACER	NITRO	Nitro 5	model_or_family	ru,en	81	head seed alias, not full registry
NITRO	ACER	NITRO	Nitro 5	model_or_family	ru,en	81	head seed alias, not full registry
нитро 5	ACER	NITRO	Nitro 5	model_or_family	ru,en	81	head seed alias, not full registry
acer nitro 5	ACER	NITRO	Nitro 5	model_or_family	ru,en	81	head seed alias, not full registry
Modern 14	MSI	MODERN	Modern 14	model_or_family	ru,en	71	head seed alias, not full registry
MODERN	MSI	MODERN	Modern 14	model_or_family	ru,en	71	head seed alias, not full registry
msi modern 14	MSI	MODERN	Modern 14	model_or_family	ru,en	71	head seed alias, not full registry
Prestige 14	MSI	PRESTIGE	Prestige 14	model_or_family	ru,en	70	head seed alias, not full registry
PRESTIGE	MSI	PRESTIGE	Prestige 14	model_or_family	ru,en	70	head seed alias, not full registry
msi prestige 14	MSI	PRESTIGE	Prestige 14	model_or_family	ru,en	70	head seed alias, not full registry
GF63 Thin	MSI	GF	GF63 Thin	model_or_family	ru,en	77	head seed alias, not full registry
GF	MSI	GF	GF63 Thin	model_or_family	ru,en	77	head seed alias, not full registry
GF Series	MSI	GF	GF63 Thin	model_or_family	ru,en	77	head seed alias, not full registry
msi gf63	MSI	GF	GF63 Thin	model_or_family	ru,en	77	head seed alias, not full registry
Stealth 15	MSI	STEALTH	Stealth 15	model_or_family	ru,en	72	head seed alias, not full registry
STEALTH	MSI	STEALTH	Stealth 15	model_or_family	ru,en	72	head seed alias, not full registry
msi stealth 15	MSI	STEALTH	Stealth 15	model_or_family	ru,en	72	head seed alias, not full registry
Surface Laptop	MICROSOFT	SURFACE	Surface Laptop	model_or_family	ru,en	81	head seed alias, not full registry
SURFACE	MICROSOFT	SURFACE	Surface Laptop	model_or_family	ru,en	81	head seed alias, not full registry
сюрфейс laptop	MICROSOFT	SURFACE	Surface Laptop	model_or_family	ru,en	81	head seed alias, not full registry
Surface Pro	MICROSOFT	SURFACE	Surface Pro	model_or_family	ru,en	79	head seed alias, not full registry
SURFACE	MICROSOFT	SURFACE	Surface Pro	model_or_family	ru,en	79	head seed alias, not full registry
сюрфейс про	MICROSOFT	SURFACE	Surface Pro	model_or_family	ru,en	79	head seed alias, not full registry
Surface Book	MICROSOFT	SURFACE	Surface Book	model_or_family	ru,en	68	head seed alias, not full registry
SURFACE	MICROSOFT	SURFACE	Surface Book	model_or_family	ru,en	68	head seed alias, not full registry
сюрфейс бук	MICROSOFT	SURFACE	Surface Book	model_or_family	ru,en	68	head seed alias, not full registry
Galaxy Book Pro	SAMSUNG	GALAXY_BOOK	Galaxy Book Pro	model_or_family	ru,en	72	head seed alias, not full registry
GALAXY BOOK	SAMSUNG	GALAXY_BOOK	Galaxy Book Pro	model_or_family	ru,en	72	head seed alias, not full registry
гэлакси бук	SAMSUNG	GALAXY_BOOK	Galaxy Book Pro	model_or_family	ru,en	72	head seed alias, not full registry
Galaxy Book 360	SAMSUNG	GALAXY_BOOK	Galaxy Book 360	model_or_family	ru,en	70	head seed alias, not full registry
GALAXY BOOK	SAMSUNG	GALAXY_BOOK	Galaxy Book 360	model_or_family	ru,en	70	head seed alias, not full registry
MateBook D 15	HUAWEI	MATEBOOK	MateBook D 15	model_or_family	ru,en	75	head seed alias, not full registry
MATEBOOK	HUAWEI	MATEBOOK	MateBook D 15	model_or_family	ru,en	75	head seed alias, not full registry
матебук d15	HUAWEI	MATEBOOK	MateBook D 15	model_or_family	ru,en	75	head seed alias, not full registry
matebook d15	HUAWEI	MATEBOOK	MateBook D 15	model_or_family	ru,en	75	head seed alias, not full registry
MateBook X Pro	HUAWEI	MATEBOOK	MateBook X Pro	model_or_family	ru,en	74	head seed alias, not full registry
MATEBOOK	HUAWEI	MATEBOOK	MateBook X Pro	model_or_family	ru,en	74	head seed alias, not full registry
матебук икс про	HUAWEI	MATEBOOK	MateBook X Pro	model_or_family	ru,en	74	head seed alias, not full registry
MagicBook 14	HONOR	MAGICBOOK	MagicBook 14	model_or_family	ru,en	76	head seed alias, not full registry
MAGICBOOK	HONOR	MAGICBOOK	MagicBook 14	model_or_family	ru,en	76	head seed alias, not full registry
хонор magicbook 14	HONOR	MAGICBOOK	MagicBook 14	model_or_family	ru,en	76	head seed alias, not full registry
Mi Notebook Pro	XIAOMI	MI_NOTEBOOK	Mi Notebook Pro	model_or_family	ru,en	66	head seed alias, not full registry
MI NOTEBOOK	XIAOMI	MI_NOTEBOOK	Mi Notebook Pro	model_or_family	ru,en	66	head seed alias, not full registry
ми ноутбук pro	XIAOMI	MI_NOTEBOOK	Mi Notebook Pro	model_or_family	ru,en	66	head seed alias, not full registry
xiaomi notebook pro	XIAOMI	MI_NOTEBOOK	Mi Notebook Pro	model_or_family	ru,en	66	head seed alias, not full registry
LG Gram 14	LG	GRAM	LG Gram 14	model_or_family	ru,en	70	head seed alias, not full registry
GRAM	LG	GRAM	LG Gram 14	model_or_family	ru,en	70	head seed alias, not full registry
элджи грам 14	LG	GRAM	LG Gram 14	model_or_family	ru,en	70	head seed alias, not full registry
Razer Blade 15	RAZER	BLADE	Razer Blade 15	model_or_family	ru,en	72	head seed alias, not full registry
BLADE	RAZER	BLADE	Razer Blade 15	model_or_family	ru,en	72	head seed alias, not full registry
рейзер blade 15	RAZER	BLADE	Razer Blade 15	model_or_family	ru,en	72	head seed alias, not full registry
razer blade	RAZER	BLADE	Razer Blade 15	model_or_family	ru,en	72	head seed alias, not full registry
Aorus 15	GIGABYTE	AORUS	Aorus 15	model_or_family	ru,en	69	head seed alias, not full registry
AORUS	GIGABYTE	AORUS	Aorus 15	model_or_family	ru,en	69	head seed alias, not full registry
аорус 15	GIGABYTE	AORUS	Aorus 15	model_or_family	ru,en	69	head seed alias, not full registry
Aero 15	GIGABYTE	AERO	Aero 15	model_or_family	ru,en	66	head seed alias, not full registry
AERO	GIGABYTE	AERO	Aero 15	model_or_family	ru,en	66	head seed alias, not full registry
Framework Laptop 13	FRAMEWORK	FRAMEWORK_LAPTOP	Framework Laptop 13	model_or_family	ru,en	65	head seed alias, not full registry
FRAMEWORK LAPTOP	FRAMEWORK	FRAMEWORK_LAPTOP	Framework Laptop 13	model_or_family	ru,en	65	head seed alias, not full registry
framework 13	FRAMEWORK	FRAMEWORK_LAPTOP	Framework Laptop 13	model_or_family	ru,en	65	head seed alias, not full registry
фреймворк 13	FRAMEWORK	FRAMEWORK_LAPTOP	Framework Laptop 13	model_or_family	ru,en	65	head seed alias, not full registry
Toughbook CF	PANASONIC	TOUGHBOOK	Toughbook CF	model_or_family	ru,en	55	head seed alias, not full registry
TOUGHBOOK	PANASONIC	TOUGHBOOK	Toughbook CF	model_or_family	ru,en	55	head seed alias, not full registry
панасоник toughbook	PANASONIC	TOUGHBOOK	Toughbook CF	model_or_family	ru,en	55	head seed alias, not full registry
защищенный ноутбук	PANASONIC	TOUGHBOOK	Toughbook CF	model_or_family	ru,en	55	head seed alias, not full registry
Beelink SER	BEELINK	MINI_PC	Beelink SER	model_or_family	ru,en	64	head seed alias, not full registry
MINI PC	BEELINK	MINI_PC	Beelink SER	model_or_family	ru,en	64	head seed alias, not full registry
билинк ser	BEELINK	MINI_PC	Beelink SER	model_or_family	ru,en	64	head seed alias, not full registry
Minisforum UM	MINISFORUM	MINI_PC	Minisforum UM	model_or_family	ru,en	63	head seed alias, not full registry
MINI PC	MINISFORUM	MINI_PC	Minisforum UM	model_or_family	ru,en	63	head seed alias, not full registry
минисфорум	MINISFORUM	MINI_PC	Minisforum UM	model_or_family	ru,en	63	head seed alias, not full registry
Intel NUC	INTEL	NUC	Intel NUC	model_or_family	ru,en	68	head seed alias, not full registry
NUC	INTEL	NUC	Intel NUC	model_or_family	ru,en	68	head seed alias, not full registry
интел нук	INTEL	NUC	Intel NUC	model_or_family	ru,en	68	head seed alias, not full registry
Zotac ZBOX	ZOTAC	ZBOX	Zotac ZBOX	model_or_family	ru,en	55	head seed alias, not full registry
ZBOX	ZOTAC	ZBOX	Zotac ZBOX	model_or_family	ru,en	55	head seed alias, not full registry
EliteDesk 800	HP	ELITEDESK	EliteDesk 800	model_or_family	ru,en	55	head seed alias, not full registry
ELITEDESK	HP	ELITEDESK	EliteDesk 800	model_or_family	ru,en	55	head seed alias, not full registry
HP t630	HP	THIN_CLIENT	HP t630	model_or_family	ru,en	55	head seed alias, not full registry
THIN CLIENT	HP	THIN_CLIENT	HP t630	model_or_family	ru,en	55	head seed alias, not full registry
t Series	HP	THIN_CLIENT	HP t630	model_or_family	ru,en	55	head seed alias, not full registry
Dell Wyse 5070	DELL	WYSE	Dell Wyse 5070	model_or_family	ru,en	55	head seed alias, not full registry
WYSE	DELL	WYSE	Dell Wyse 5070	model_or_family	ru,en	55	head seed alias, not full registry
ThinkCentre M720	LENOVO	THINKCENTRE	ThinkCentre M720	model_or_family	ru,en	55	head seed alias, not full registry
THINKCENTRE	LENOVO	THINKCENTRE	ThinkCentre M720	model_or_family	ru,en	55	head seed alias, not full registry
ThinkStation P Series	LENOVO	THINKSTATION	ThinkStation P Series	model_or_family	ru,en	55	head seed alias, not full registry
THINKSTATION	LENOVO	THINKSTATION	ThinkStation P Series	model_or_family	ru,en	55	head seed alias, not full registry
Inspiron Desktop	DELL	INSPIRON	Inspiron Desktop	model_or_family	ru,en	55	head seed alias, not full registry
INSPIRON	DELL	INSPIRON	Inspiron Desktop	model_or_family	ru,en	55	head seed alias, not full registry
Acer Veriton	ACER	VERITON	Acer Veriton	model_or_family	ru,en	55	head seed alias, not full registry
VERITON	ACER	VERITON	Acer Veriton	model_or_family	ru,en	55	head seed alias, not full registry
ASUS PN Series	ASUS	MINI_PC	ASUS PN Series	model_or_family	ru,en	55	head seed alias, not full registry
MINI PC	ASUS	MINI_PC	ASUS PN Series	model_or_family	ru,en	55	head seed alias, not full registry
MSI Cubi	MSI	CUBI	MSI Cubi	model_or_family	ru,en	55	head seed alias, not full registry
CUBI	MSI	CUBI	MSI Cubi	model_or_family	ru,en	55	head seed alias, not full registry
Mac Pro	APPLE	MAC	Mac Pro	model_or_family	ru,en	55	head seed alias, not full registry
MAC	APPLE	MAC	Mac Pro	model_or_family	ru,en	55	head seed alias, not full registry
ноутбук			LAPTOP	computer_type	ru,en	90	type alias
ноут			LAPTOP	computer_type	ru,en	88	type alias
laptop			LAPTOP	computer_type	ru,en	88	type alias
ультрабук			ULTRABOOK	computer_type	ru,en	84	type alias
игровой ноутбук			GAMING_LAPTOP	computer_type	ru,en	86	type alias
gaming laptop			GAMING_LAPTOP	computer_type	ru,en	84	type alias
ноутбук 2 в 1			TWO_IN_ONE_LAPTOP	computer_type	ru,en	82	type alias
трансформер ноутбук			TWO_IN_ONE_LAPTOP	computer_type	ru,en	82	type alias
chromebook			CHROMEBOOK	computer_type	ru,en	80	type alias
хромбук			CHROMEBOOK	computer_type	ru,en	80	type alias
настольный компьютер			DESKTOP_PC	computer_type	ru,en	82	type alias
системный блок			DESKTOP_PC	computer_type	ru,en	85	type alias
desktop pc			DESKTOP_PC	computer_type	ru,en	80	type alias
mini pc			MINI_PC	computer_type	ru,en	82	type alias
мини пк			MINI_PC	computer_type	ru,en	82	type alias
моноблок			ALL_IN_ONE	computer_type	ru,en	84	type alias
all in one			ALL_IN_ONE	computer_type	ru,en	80	type alias
рабочая станция			WORKSTATION	computer_type	ru,en	84	type alias
workstation			WORKSTATION	computer_type	ru,en	82	type alias
тонкий клиент			THIN_CLIENT	computer_type	ru,en	78	type alias
thin client			THIN_CLIENT	computer_type	ru,en	78	type alias
