query_id	locale	query_text	expected_target_kind	expected_code	must_rank_top_n	notes
TECH-0059	ru-RU	ноутбук б/у	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0060	en-US	laptop	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0061	en-US	gaming laptop	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0062	en-US	chromebook	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0063	en-US	lenovo legion	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0064	ru-RU	ноутбук 512 ssd	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0065	en-US	laptop for work	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0066	ru-RU	ноут 14 дюймов	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0067	ru-RU	видеокарта	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0068	en-US	rtx 4070	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0069	en-US	rtx 4060	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0070	en-US	amd rx 7800	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0071	ru-RU	процессор	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0072	en-US	intel i7	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0073	en-US	ryzen 7	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0074	ru-RU	материнская плата	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0075	ru-RU	оперативная память ddr5	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0076	en-US	ddr4 ram	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0077	en-US	ssd m2	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0078	en-US	nvme ssd	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0079	en-US	hdd 2tb	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0080	ru-RU	блок питания 750w	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0081	ru-RU	корпус пк	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0082	ru-RU	кулер для процессора	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0083	ru-RU	водяное охлаждение	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0084	en-US	thermal paste	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0085	en-US	gpu	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0086	en-US	cpu	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0087	en-US	pc components	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0088	ru-RU	сборка пк комплектующие	CATEGORY_LEAF	TECH.PC_COMPONENTS	1	
TECH-0089	ru-RU	телевизор	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0090	ru-RU	телевизор 55	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0091	en-US	smart tv	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0092	en-US	oled tv	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0093	ru-RU	qled телевизор	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0094	en-US	android tv	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0095	ru-RU	тв приставка	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0096	en-US	tv box	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0097	en-US	apple tv	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0098	en-US	google tv	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0099	ru-RU	проектор	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0100	ru-RU	домашний проектор	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0101	ru-RU	медиаплеер	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0102	ru-RU	кронштейн для тв	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0103	ru-RU	ресивер	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0104	ru-RU	домашний кинотеатр	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0105	en-US	tv	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0106	ru-RU	проектор 4k	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0107	ru-RU	стриминг приставка	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0108	ru-RU	телевизор бу	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0109	ru-RU	пульт для тв	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0110	en-US	smart television	CATEGORY_LEAF	TECH.TV_VIDEO	1	
TECH-0111	ru-RU	наушники	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0112	ru-RU	беспроводные наушники	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0113	ru-RU	bluetooth наушники	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0114	en-US	airpods	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0115	en-US	galaxy buds	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0116	en-US	headphones	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0117	en-US	earbuds	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0118	ru-RU	колонка	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0119	ru-RU	bluetooth колонка	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0120	en-US	soundbar	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0121	ru-RU	саундбар	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0122	ru-RU	микрофон	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0123	ru-RU	микрофон usb	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0124	ru-RU	акустика	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0125	ru-RU	усилитель	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0126	en-US	hi-fi	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0127	en-US	speaker	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0128	ru-RU	проводные наушники	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0129	ru-RU	наушники для игр	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0130	ru-RU	колонки для компьютера	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0131	ru-RU	аудио система	CATEGORY_LEAF	TECH.AUDIO	1	
TECH-0132	ru-RU	фотоаппарат	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0133	ru-RU	камера	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0134	ru-RU	беззеркалка	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0135	ru-RU	зеркалка	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0136	en-US	sony alpha	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0137	en-US	canon eos	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0138	en-US	nikon d750	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0139	en-US	gopro	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0140	ru-RU	экшн камера	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0141	en-US	action camera	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0142	ru-RU	объектив	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0143	en-US	lens	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0144	ru-RU	штатив	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0145	en-US	stabilizer	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0146	ru-RU	видеокамера	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0147	ru-RU	камера 4k	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0148	ru-RU	камера для блогера	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0149	ru-RU	фотоаппарат бу	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0150	en-US	dslr	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0151	en-US	mirrorless camera	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0152	en-US	camera	CATEGORY_LEAF	TECH.CAMERAS	1	
TECH-0153	en-US	ps5	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0154	en-US	playstation 5	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0155	en-US	ps4	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0156	en-US	xbox	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0157	en-US	xbox series x	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0158	en-US	xbox series s	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0159	en-US	nintendo switch	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0160	en-US	switch oled	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0161	ru-RU	игровая приставка	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0162	ru-RU	консоль	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0163	ru-RU	игры для ps5	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0164	ru-RU	игры для xbox	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0165	ru-RU	геймпад	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0166	en-US	dualsense	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0167	ru-RU	джойстик ps5	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0168	en-US	game console	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0169	en-US	video games	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0170	ru-RU	приставка бу	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0171	ru-RU	nintendo игры	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0172	en-US	xbox game pass	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0173	ru-RU	игровые диски	CATEGORY_LEAF	TECH.GAMING	1	
TECH-0174	ru-RU	планшет	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0175	ru-RU	купить планшет	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0176	en-US	ipad	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0177	en-US	ipad pro	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0178	en-US	ipad air	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0179	ru-RU	android планшет	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0180	ru-RU	планшет samsung	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0181	en-US	tablet	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0182	ru-RU	электронная книга	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0183	ru-RU	ридер	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0184	en-US	kindle	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0185	en-US	kobo	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0186	en-US	onyx boox	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0187	en-US	ebook reader	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0188	en-US	e-book	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0189	ru-RU	планшет бу	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0190	ru-RU	планшет б/у	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0191	ru-RU	планшет для учебы	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0192	ru-RU	планшет 11 дюймов	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0193	ru-RU	электронная книга бу	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0194	ru-RU	ридер onyx	CATEGORY_LEAF	TECH.TABLETS_EBOOKS	1	
TECH-0195	ru-RU	умный дом	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0196	en-US	smart home	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0197	ru-RU	умная лампочка	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0198	en-US	smart bulb	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0199	ru-RU	умная розетка	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0200	en-US	smart plug	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0201	ru-RU	датчик движения	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0202	en-US	motion sensor	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0203	en-US	zigbee	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0204	en-US	homekit	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0205	en-US	alexa	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0206	en-US	google home	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0207	ru-RU	умная колонка	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0208	en-US	smart speaker	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0209	ru-RU	камера видеонаблюдения wifi	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0210	ru-RU	умная камера	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0211	ru-RU	умный термостат	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0212	en-US	smart thermostat	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0213	ru-RU	робот пылесос	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0214	en-US	smart vacuum	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0215	ru-RU	умные датчики	CATEGORY_LEAF	TECH.SMART_HOME	1	
TECH-0216	ru-RU	электроника	BROWSE_NODE	B.TECH	1	ambiguous/group
TECH-0217	ru-RU	гаджеты	BROWSE_NODE	B.TECH	1	ambiguous/group
TECH-0218	ru-RU	телефоны и аксессуары	BROWSE_NODE	B.TECH.PHONES	1	ambiguous/group
TECH-0219	ru-RU	компьютеры	BROWSE_NODE	B.TECH.COMPUTERS	1	ambiguous/group
TECH-0220	ru-RU	комплектующие	BROWSE_NODE	B.TECH.COMPUTERS	1	ambiguous/group
TECH-0221	ru-RU	тв аудио	BROWSE_NODE	B.TECH.TV_AUDIO_VIDEO	1	ambiguous/group
TECH-0222	ru-RU	фото и видео	BROWSE_NODE	B.TECH.PHOTO	1	ambiguous/group
TECH-0223	ru-RU	игровые товары	BROWSE_NODE	B.TECH.GAMING	1	ambiguous/group
TECH-0224	ru-RU	умный дом гаджеты	BROWSE_NODE	B.TECH.SMART_HOME	1	ambiguous/group
TECH-0225	ru-RU	камера wifi	BROWSE_NODE	B.TECH.SMART_HOME	1	ambiguous/group
TECH-0226	ru-RU	аксессуары	BROWSE_NODE	B.TECH.PHONES	1	ambiguous/group
TECH-0227	ru-RU	наушники iphone	CATEGORY_LEAF	TECH.AUDIO	3	ambiguous wording
TECH-0228	ru-RU	apple tv приставка	CATEGORY_LEAF	TECH.TV_VIDEO	3	ambiguous wording
TECH-0229	ru-RU	смарт часы	BROWSE_NODE	B.TECH	1	ambiguous/group
TECH-0230	ru-RU	умная камера	BROWSE_NODE	B.TECH.SMART_HOME	1	ambiguous/group
TECH-0231	ru-RU	компьютер	BROWSE_NODE	B.TECH.COMPUTERS	1	ambiguous/group
TECH-0232	ru-RU	телевизоры	CATEGORY_LEAF	TECH.TV_VIDEO	3	ambiguous wording
TECH-0233	ru-RU	игры	CATEGORY_LEAF	TECH.GAMING	3	ambiguous wording
TECH-0234	ru-RU	объектив canon	CATEGORY_LEAF	TECH.CAMERAS	3	ambiguous wording
TECH-0235	ru-RU	зарядка для наушников	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	3	ambiguous wording
