alias	brand	model	storage_type	match_type	priority	notes
crucialmx500	CRUCIAL	CRUCIAL_MX500	INTERNAL_SSD	model_alias	100	head model alias
kingston kc3000	KINGSTON	KINGSTON_KC3000	INTERNAL_SSD	model_alias	100	head model alias
kingston-kc3000	KINGSTON	KINGSTON_KC3000	INTERNAL_SSD	model_alias	100	head model alias
kingstonkc3000	KINGSTON	KINGSTON_KC3000	INTERNAL_SSD	model_alias	100	head model alias
kingston nv2	KINGSTON	KINGSTON_NV2	INTERNAL_SSD	model_alias	100	head model alias
kingston-nv2	KINGSTON	KINGSTON_NV2	INTERNAL_SSD	model_alias	100	head model alias
kingstonnv2	KINGSTON	KINGSTON_NV2	INTERNAL_SSD	model_alias	100	head model alias
kingston fury renegade ssd	KINGSTON	KINGSTON_FURY_RENEGADE_SSD	INTERNAL_SSD	model_alias	100	head model alias
kingston-fury-renegade-ssd	KINGSTON	KINGSTON_FURY_RENEGADE_SSD	INTERNAL_SSD	model_alias	100	head model alias
kingstonfuryrenegadessd	KINGSTON	KINGSTON_FURY_RENEGADE_SSD	INTERNAL_SSD	model_alias	100	head model alias
adata xpg gammix s70	ADATA	ADATA_XPG_GAMMIX_S70	INTERNAL_SSD	model_alias	100	head model alias
adata-xpg-gammix-s70	ADATA	ADATA_XPG_GAMMIX_S70	INTERNAL_SSD	model_alias	100	head model alias
adataxpggammixs70	ADATA	ADATA_XPG_GAMMIX_S70	INTERNAL_SSD	model_alias	100	head model alias
lexar nm790	LEXAR	LEXAR_NM790	INTERNAL_SSD	model_alias	100	head model alias
lexar-nm790	LEXAR	LEXAR_NM790	INTERNAL_SSD	model_alias	100	head model alias
lexarnm790	LEXAR	LEXAR_NM790	INTERNAL_SSD	model_alias	100	head model alias
seagate firecuda 530	SEAGATE	SEAGATE_FIRECUDA_530	INTERNAL_SSD	model_alias	100	head model alias
seagate-firecuda-530	SEAGATE	SEAGATE_FIRECUDA_530	INTERNAL_SSD	model_alias	100	head model alias
seagatefirecuda530	SEAGATE	SEAGATE_FIRECUDA_530	INTERNAL_SSD	model_alias	100	head model alias
barracuda	SEAGATE	BARRACUDA	INTERNAL_HDD	model_alias	95	head model alias
ironwolf	SEAGATE	IRONWOLF	INTERNAL_HDD	model_alias	95	head model alias
ironwolf pro	SEAGATE	IRONWOLF_PRO	INTERNAL_HDD	model_alias	95	head model alias
ironwolf-pro	SEAGATE	IRONWOLF_PRO	INTERNAL_HDD	model_alias	95	head model alias
ironwolfpro	SEAGATE	IRONWOLF_PRO	INTERNAL_HDD	model_alias	95	head model alias
exos	SEAGATE	EXOS	INTERNAL_HDD	model_alias	95	head model alias
wd blue hdd	WESTERN_DIGITAL	WD_BLUE_HDD	INTERNAL_HDD	model_alias	95	head model alias
wd-blue-hdd	WESTERN_DIGITAL	WD_BLUE_HDD	INTERNAL_HDD	model_alias	95	head model alias
wdbluehdd	WESTERN_DIGITAL	WD_BLUE_HDD	INTERNAL_HDD	model_alias	95	head model alias
вд blue hdd	WESTERN_DIGITAL	WD_BLUE_HDD	INTERNAL_HDD	model_alias	95	head model alias
wd black hdd	WESTERN_DIGITAL	WD_BLACK_HDD	INTERNAL_HDD	model_alias	95	head model alias
wd-black-hdd	WESTERN_DIGITAL	WD_BLACK_HDD	INTERNAL_HDD	model_alias	95	head model alias
wdblackhdd	WESTERN_DIGITAL	WD_BLACK_HDD	INTERNAL_HDD	model_alias	95	head model alias
вд black hdd	WESTERN_DIGITAL	WD_BLACK_HDD	INTERNAL_HDD	model_alias	95	head model alias
wd red plus	WESTERN_DIGITAL	WD_RED_PLUS	INTERNAL_HDD	model_alias	95	head model alias
wd-red-plus	WESTERN_DIGITAL	WD_RED_PLUS	INTERNAL_HDD	model_alias	95	head model alias
wdredplus	WESTERN_DIGITAL	WD_RED_PLUS	INTERNAL_HDD	model_alias	95	head model alias
вд red plus	WESTERN_DIGITAL	WD_RED_PLUS	INTERNAL_HDD	model_alias	95	head model alias
wd purple	WESTERN_DIGITAL	WD_PURPLE	INTERNAL_HDD	model_alias	95	head model alias
wd-purple	WESTERN_DIGITAL	WD_PURPLE	INTERNAL_HDD	model_alias	95	head model alias
wdpurple	WESTERN_DIGITAL	WD_PURPLE	INTERNAL_HDD	model_alias	95	head model alias
вд purple	WESTERN_DIGITAL	WD_PURPLE	INTERNAL_HDD	model_alias	95	head model alias
toshiba p300	TOSHIBA	TOSHIBA_P300	INTERNAL_HDD	model_alias	95	head model alias
toshiba-p300	TOSHIBA	TOSHIBA_P300	INTERNAL_HDD	model_alias	95	head model alias
toshibap300	TOSHIBA	TOSHIBA_P300	INTERNAL_HDD	model_alias	95	head model alias
toshiba n300	TOSHIBA	TOSHIBA_N300	INTERNAL_HDD	model_alias	95	head model alias
toshiba-n300	TOSHIBA	TOSHIBA_N300	INTERNAL_HDD	model_alias	95	head model alias
toshiban300	TOSHIBA	TOSHIBA_N300	INTERNAL_HDD	model_alias	95	head model alias
toshiba x300	TOSHIBA	TOSHIBA_X300	INTERNAL_HDD	model_alias	95	head model alias
toshiba-x300	TOSHIBA	TOSHIBA_X300	INTERNAL_HDD	model_alias	95	head model alias
toshibax300	TOSHIBA	TOSHIBA_X300	INTERNAL_HDD	model_alias	95	head model alias
samsung t7	SAMSUNG	SAMSUNG_T7	EXTERNAL_SSD	model_alias	90	head model alias
samsung-t7	SAMSUNG	SAMSUNG_T7	EXTERNAL_SSD	model_alias	90	head model alias
samsungt7	SAMSUNG	SAMSUNG_T7	EXTERNAL_SSD	model_alias	90	head model alias
самсунг t7	SAMSUNG	SAMSUNG_T7	EXTERNAL_SSD	model_alias	90	head model alias
samsung t9	SAMSUNG	SAMSUNG_T9	EXTERNAL_SSD	model_alias	90	head model alias
samsung-t9	SAMSUNG	SAMSUNG_T9	EXTERNAL_SSD	model_alias	90	head model alias
samsungt9	SAMSUNG	SAMSUNG_T9	EXTERNAL_SSD	model_alias	90	head model alias
самсунг t9	SAMSUNG	SAMSUNG_T9	EXTERNAL_SSD	model_alias	90	head model alias
sandisk extreme portable ssd	SANDISK	SANDISK_EXTREME_PORTABLE_SSD	EXTERNAL_SSD	model_alias	90	head model alias
sandisk-extreme-portable-ssd	SANDISK	SANDISK_EXTREME_PORTABLE_SSD	EXTERNAL_SSD	model_alias	90	head model alias
sandiskextremeportablessd	SANDISK	SANDISK_EXTREME_PORTABLE_SSD	EXTERNAL_SSD	model_alias	90	head model alias
сандиск extreme portable ssd	SANDISK	SANDISK_EXTREME_PORTABLE_SSD	EXTERNAL_SSD	model_alias	90	head model alias
wd my passport ssd	WESTERN_DIGITAL	WD_MY_PASSPORT_SSD	EXTERNAL_SSD	model_alias	90	head model alias
wd-my-passport-ssd	WESTERN_DIGITAL	WD_MY_PASSPORT_SSD	EXTERNAL_SSD	model_alias	90	head model alias
wdmypassportssd	WESTERN_DIGITAL	WD_MY_PASSPORT_SSD	EXTERNAL_SSD	model_alias	90	head model alias
вд my passport ssd	WESTERN_DIGITAL	WD_MY_PASSPORT_SSD	EXTERNAL_SSD	model_alias	90	head model alias
crucial x9 pro	CRUCIAL	CRUCIAL_X9_PRO	EXTERNAL_SSD	model_alias	90	head model alias
crucial-x9-pro	CRUCIAL	CRUCIAL_X9_PRO	EXTERNAL_SSD	model_alias	90	head model alias
crucialx9pro	CRUCIAL	CRUCIAL_X9_PRO	EXTERNAL_SSD	model_alias	90	head model alias
kingston xs2000	KINGSTON	KINGSTON_XS2000	EXTERNAL_SSD	model_alias	90	head model alias
kingston-xs2000	KINGSTON	KINGSTON_XS2000	EXTERNAL_SSD	model_alias	90	head model alias
kingstonxs2000	KINGSTON	KINGSTON_XS2000	EXTERNAL_SSD	model_alias	90	head model alias
seagate expansion portable	SEAGATE	SEAGATE_EXPANSION_PORTABLE	EXTERNAL_HDD	model_alias	90	head model alias
seagate-expansion-portable	SEAGATE	SEAGATE_EXPANSION_PORTABLE	EXTERNAL_HDD	model_alias	90	head model alias
seagateexpansionportable	SEAGATE	SEAGATE_EXPANSION_PORTABLE	EXTERNAL_HDD	model_alias	90	head model alias
wd my passport hdd	WESTERN_DIGITAL	WD_MY_PASSPORT_HDD	EXTERNAL_HDD	model_alias	90	head model alias
wd-my-passport-hdd	WESTERN_DIGITAL	WD_MY_PASSPORT_HDD	EXTERNAL_HDD	model_alias	90	head model alias
wdmypassporthdd	WESTERN_DIGITAL	WD_MY_PASSPORT_HDD	EXTERNAL_HDD	model_alias	90	head model alias
вд my passport hdd	WESTERN_DIGITAL	WD_MY_PASSPORT_HDD	EXTERNAL_HDD	model_alias	90	head model alias
toshiba canvio basics	TOSHIBA	TOSHIBA_CANVIO_BASICS	EXTERNAL_HDD	model_alias	90	head model alias
toshiba-canvio-basics	TOSHIBA	TOSHIBA_CANVIO_BASICS	EXTERNAL_HDD	model_alias	90	head model alias
toshibacanviobasics	TOSHIBA	TOSHIBA_CANVIO_BASICS	EXTERNAL_HDD	model_alias	90	head model alias
kingston datatraveler exodia	KINGSTON	KINGSTON_DATATRAVELER_EXODIA	USB_FLASH_DRIVE	model_alias	88	head model alias
kingston-datatraveler-exodia	KINGSTON	KINGSTON_DATATRAVELER_EXODIA	USB_FLASH_DRIVE	model_alias	88	head model alias
kingstondatatravelerexodia	KINGSTON	KINGSTON_DATATRAVELER_EXODIA	USB_FLASH_DRIVE	model_alias	88	head model alias
sandisk ultra flair	SANDISK	SANDISK_ULTRA_FLAIR	USB_FLASH_DRIVE	model_alias	88	head model alias
sandisk-ultra-flair	SANDISK	SANDISK_ULTRA_FLAIR	USB_FLASH_DRIVE	model_alias	88	head model alias
sandiskultraflair	SANDISK	SANDISK_ULTRA_FLAIR	USB_FLASH_DRIVE	model_alias	88	head model alias
сандиск ultra flair	SANDISK	SANDISK_ULTRA_FLAIR	USB_FLASH_DRIVE	model_alias	88	head model alias
samsung bar plus	SAMSUNG	SAMSUNG_BAR_PLUS	USB_FLASH_DRIVE	model_alias	88	head model alias
samsung-bar-plus	SAMSUNG	SAMSUNG_BAR_PLUS	USB_FLASH_DRIVE	model_alias	88	head model alias
samsungbarplus	SAMSUNG	SAMSUNG_BAR_PLUS	USB_FLASH_DRIVE	model_alias	88	head model alias
самсунг bar plus	SAMSUNG	SAMSUNG_BAR_PLUS	USB_FLASH_DRIVE	model_alias	88	head model alias
sandisk extreme microsdxc	SANDISK	SANDISK_EXTREME_MICROSDXC	MEMORY_CARD	model_alias	88	head model alias
sandisk-extreme-microsdxc	SANDISK	SANDISK_EXTREME_MICROSDXC	MEMORY_CARD	model_alias	88	head model alias
sandiskextrememicrosdxc	SANDISK	SANDISK_EXTREME_MICROSDXC	MEMORY_CARD	model_alias	88	head model alias
сандиск extreme microsdxc	SANDISK	SANDISK_EXTREME_MICROSDXC	MEMORY_CARD	model_alias	88	head model alias
samsung pro plus microsd	SAMSUNG	SAMSUNG_PRO_PLUS_MICROSD	MEMORY_CARD	model_alias	88	head model alias
samsung-pro-plus-microsd	SAMSUNG	SAMSUNG_PRO_PLUS_MICROSD	MEMORY_CARD	model_alias	88	head model alias
samsungproplusmicrosd	SAMSUNG	SAMSUNG_PRO_PLUS_MICROSD	MEMORY_CARD	model_alias	88	head model alias
самсунг pro plus microsd	SAMSUNG	SAMSUNG_PRO_PLUS_MICROSD	MEMORY_CARD	model_alias	88	head model alias
kingston canvas go plus microsd	KINGSTON	KINGSTON_CANVAS_GO_PLUS_MICROSD	MEMORY_CARD	model_alias	88	head model alias
kingston-canvas-go-plus-microsd	KINGSTON	KINGSTON_CANVAS_GO_PLUS_MICROSD	MEMORY_CARD	model_alias	88	head model alias
kingstoncanvasgoplusmicrosd	KINGSTON	KINGSTON_CANVAS_GO_PLUS_MICROSD	MEMORY_CARD	model_alias	88	head model alias
lexar professional 2000x sdxc	LEXAR	LEXAR_PROFESSIONAL_2000X_SDXC	MEMORY_CARD	model_alias	88	head model alias
lexar-professional-2000x-sdxc	LEXAR	LEXAR_PROFESSIONAL_2000X_SDXC	MEMORY_CARD	model_alias	88	head model alias
lexarprofessional2000xsdxc	LEXAR	LEXAR_PROFESSIONAL_2000X_SDXC	MEMORY_CARD	model_alias	88	head model alias
sandisk extreme pro sdxc	SANDISK	SANDISK_EXTREME_PRO_SDXC	MEMORY_CARD	model_alias	88	head model alias
sandisk-extreme-pro-sdxc	SANDISK	SANDISK_EXTREME_PRO_SDXC	MEMORY_CARD	model_alias	88	head model alias
sandiskextremeprosdxc	SANDISK	SANDISK_EXTREME_PRO_SDXC	MEMORY_CARD	model_alias	88	head model alias
сандиск extreme pro sdxc	SANDISK	SANDISK_EXTREME_PRO_SDXC	MEMORY_CARD	model_alias	88	head model alias
synology ds224+	SYNOLOGY	SYNOLOGY_DS224+	NAS	model_alias	88	head model alias
synology ds224+ nas	SYNOLOGY	SYNOLOGY_DS224+	NAS	model_alias	88	head model alias
synology-ds224+	SYNOLOGY	SYNOLOGY_DS224+	NAS	model_alias	88	head model alias
synologyds224+	SYNOLOGY	SYNOLOGY_DS224+	NAS	model_alias	88	head model alias
synology ds923+	SYNOLOGY	SYNOLOGY_DS923+	NAS	model_alias	88	head model alias
synology ds923+ nas	SYNOLOGY	SYNOLOGY_DS923+	NAS	model_alias	88	head model alias
synology-ds923+	SYNOLOGY	SYNOLOGY_DS923+	NAS	model_alias	88	head model alias
synologyds923+	SYNOLOGY	SYNOLOGY_DS923+	NAS	model_alias	88	head model alias
qnap ts-464	QNAP	QNAP_TS_464	NAS	model_alias	88	head model alias
qnap ts-464 nas	QNAP	QNAP_TS_464	NAS	model_alias	88	head model alias
qnap-ts-464	QNAP	QNAP_TS_464	NAS	model_alias	88	head model alias
qnapts-464	QNAP	QNAP_TS_464	NAS	model_alias	88	head model alias
qnap ts-233	QNAP	QNAP_TS_233	NAS	model_alias	88	head model alias
qnap ts-233 nas	QNAP	QNAP_TS_233	NAS	model_alias	88	head model alias
qnap-ts-233	QNAP	QNAP_TS_233	NAS	model_alias	88	head model alias
qnapts-233	QNAP	QNAP_TS_233	NAS	model_alias	88	head model alias
