attribute_code	value_code	label_ru	aliases_ru	priority	status	notes
form_factor	PORTABLE_EXTERNAL	Portable external	портативный внешний	111	head	
form_factor	DESKTOP_EXTERNAL	Desktop external	настольный внешний	112	head	
form_factor	SD_FULL_SIZE	SD full size	sd card	113	head	
form_factor	MICROSD_CARD	microSD card	micro sd	114	head	
form_factor	CFEXPRESS_TYPE_A	CFexpress Type A	type a	115	head	
form_factor	CFEXPRESS_TYPE_B	CFexpress Type B	type b	116	head	
connector_type	USB_A	USB-A	usb a	100	head	
connector_type	USB_C	USB-C	type-c; type c	101	head	
connector_type	MICRO_USB	Micro-USB	micro usb	102	head	
connector_type	LIGHTNING	Lightning	лайтнинг	103	head	
connector_type	THUNDERBOLT	Thunderbolt	tb3; tb4	104	head	
connector_type	SATA_DATA	SATA data	sata кабель	105	head	
connector_type	SATA_POWER	SATA power	питание sata	106	head	
connector_type	ETHERNET_RJ45	RJ-45 Ethernet	lan; ethernet	107	head	
nand_type	SLC	SLC		100	head	
nand_type	MLC	MLC		101	head	
nand_type	TLC	TLC		102	head	
nand_type	QLC	QLC		103	head	
nand_type	V_NAND	V-NAND	vnand	104	head	
nand_type	UNKNOWN	Не указано		105	head	
boolean_unknown	YES	Да	есть; поддерживает	100	head	
boolean_unknown	NO	Нет	без	101	head	
boolean_unknown	UNKNOWN	Не указано	неизвестно	102	head	
rpm	RPM_5400	5400 rpm	5400 об	100	head	
rpm	RPM_5900	5900 rpm	5900 об	101	head	
rpm	RPM_7200	7200 rpm	7200 об	102	head	
rpm	RPM_10000	10000 rpm	10k	103	head	
rpm	RPM_15000	15000 rpm	15k	104	head	
rpm	UNKNOWN	Не указано		105	head	
raid_support	RAID_0	RAID 0		100	head	
raid_support	RAID_1	RAID 1		101	head	
raid_support	RAID_5	RAID 5		102	head	
raid_support	RAID_6	RAID 6		103	head	
raid_support	RAID_10	RAID 10		104	head	
raid_support	JBOD	JBOD		105	head	
raid_support	SHR	Synology Hybrid RAID	shr	106	head	
raid_support	NO_RAID	Без RAID		107	head	
raid_support	UNKNOWN	Не указано		108	head	
nas_drive_bays	BAY_2_5	2.5 inch bays		100	head	
nas_drive_bays	BAY_3_5	3.5 inch bays		101	head	
nas_drive_bays	M2_SLOT	M.2 slots		102	head	
network_ports	GBE_1	1GbE	1g ethernet	100	head	
network_ports	GBE_2_5	2.5GbE	2.5g ethernet	101	head	
network_ports	GBE_5	5GbE	5g ethernet	102	head	
network_ports	GBE_10	10GbE	10g ethernet	103	head	
memory_card_format	SD	SD	sd card	100	head	
memory_card_format	SDHC	SDHC		101	head	
memory_card_format	SDXC	SDXC		102	head	
memory_card_format	MICROSD	microSD	micro sd	103	head	
memory_card_format	MICROSDHC	microSDHC		104	head	
memory_card_format	MICROSDXC	microSDXC		105	head	
memory_card_format	CFEXPRESS_A	CFexpress Type A		106	head	
memory_card_format	CFEXPRESS_B	CFexpress Type B		107	head	
memory_card_format	XQD	XQD		108	head	
memory_card_format	CFAST	CFast		109	head	
memory_card_format	COMPACTFLASH	CompactFlash	cf card	110	head	
speed_class	CLASS_10	Class 10	c10	100	head	
speed_class	U1	U1	uhs u1	101	head	
speed_class	U3	U3	uhs u3	102	head	
speed_class	UHS_I	UHS-I	uhs 1	103	head	
speed_class	UHS_II	UHS-II	uhs 2	104	head	
speed_class	UHS_III	UHS-III	uhs 3	105	head	
video_speed_class	V10	V10		100	head	
video_speed_class	V30	V30		101	head	
video_speed_class	V60	V60		102	head	
video_speed_class	V90	V90		103	head	
app_performance_class	A1	A1		100	head	
app_performance_class	A2	A2		101	head	
app_performance_class	UNKNOWN	Не указано		102	head	
card_reader_slots	SD_SLOT	SD slot	sd слот	100	head	
card_reader_slots	MICROSD_SLOT	microSD slot	microsd слот	101	head	
card_reader_slots	CFEXPRESS_A_SLOT	CFexpress Type A slot		102	head	
card_reader_slots	CFEXPRESS_B_SLOT	CFexpress Type B slot		103	head	
card_reader_slots	XQD_SLOT	XQD slot		104	head	
card_reader_slots	COMPACTFLASH_SLOT	CompactFlash slot		105	head	
card_reader_slots	MULTI_CARD	Multi-card	мультиформат	106	head	
storage_accessory_type	DRIVE_ENCLOSURE	Корпус для диска	enclosure; case for ssd	100	head	
storage_accessory_type	DOCKING_STATION	Док-станция для дисков	hdd dock; ssd dock	101	head	
storage_accessory_type	DRIVE_CADDY	Салазки/кэдди	caddy; tray	102	head	
storage_accessory_type	ADAPTER	Адаптер для накопителя	adapter	103	head	
storage_accessory_type	SATA_CABLE	SATA-кабель для диска	sata cable	104	head	
storage_accessory_type	M2_HEATSINK	Радиатор M.2	m2 heatsink	105	head	
storage_accessory_type	NAS_TRAY	Лоток NAS	nas tray	106	head	
storage_accessory_type	PROTECTIVE_CASE	Защитный кейс	case	107	head	
storage_accessory_type	LABELS_OR_SCREWS	Винты/наклейки/мелкие аксессуары	screws	108	head	
rugged_protection	SHOCK_RESISTANT	Ударозащита	shockproof	100	head	
rugged_protection	WATER_RESISTANT	Влагозащита	water resistant	101	head	
rugged_protection	DUST_RESISTANT	Пылезащита	dust resistant	102	head	
rugged_protection	RUGGED_CASE	Усиленный корпус	rugged	103	head	
included_accessories	BOX	Коробка	оригинальная коробка	100	head	
included_accessories	USB_CABLE	USB-кабель	кабель	101	head	
included_accessories	ADAPTER	Адаптер	переходник	102	head	
included_accessories	SCREWS	Винты	болты	103	head	
included_accessories	HEATSINK	Радиатор	heatsink	104	head	
included_accessories	POWER_ADAPTER	Блок питания	адаптер питания	105	head	
included_accessories	ETHERNET_CABLE	Ethernet-кабель	lan cable	106	head	
seller_bundle	SINGLE_ITEM	Один товар		100	head	
seller_bundle	LOT	Лот	комплект; набор	101	head	
seller_bundle	BUNDLE_WITH_ACCESSORIES	Комплект с аксессуарами		102	head	
seller_bundle	BULK	Опт/партия	bulk	103	head	
storage_use_case	OS_DRIVE	Системный диск	под систему	100	head	
storage_use_case	GAMING	Игры	gaming	101	head	
storage_use_case	NAS	NAS	сетевое хранилище	102	head	
storage_use_case	SURVEILLANCE	Видеонаблюдение	cctv	103	head	
storage_use_case	BACKUP	Резервное копирование	backup	104	head	
storage_use_case	PHOTO_VIDEO	Фото/видео	camera; video	105	head	
storage_use_case	PHONE_TABLET	Телефон/планшет	android; phone	106	head	
storage_use_case	CONSOLE	Игровая консоль	ps5; xbox; switch	107	head	
storage_use_case	SERVER	Сервер	enterprise	108	head	
console_compatibility_hint	PS5	PlayStation 5	ps5	100	head	
console_compatibility_hint	PS4	PlayStation 4	ps4	101	head	
console_compatibility_hint	XBOX_SERIES	Xbox Series	series x; series s	102	head	
console_compatibility_hint	XBOX_ONE	Xbox One		103	head	
console_compatibility_hint	NINTENDO_SWITCH	Nintendo Switch	switch	104	head	
console_compatibility_hint	STEAM_DECK	Steam Deck		105	head	
health_status	NEW_UNUSED	Новый/без наработки	new	100	head	
health_status	EXCELLENT	Отличное		101	head	
health_status	GOOD	Хорошее		102	head	
health_status	FAIR	Среднее		103	head	
health_status	WARNING	Есть предупреждения	smart warning	104	head	
health_status	BAD	Плохое/ошибки	bad sectors	105	head	
health_status	UNKNOWN	Не указано		106	head	
region_variant	GLOBAL	Global		100	head	
region_variant	EU	EU	европа	101	head	
region_variant	US	US	сша	102	head	
region_variant	CN	CN	китай	103	head	
region_variant	JP	JP	япония	104	head	
region_variant	RU	RU	россия	105	head	
region_variant	UNKNOWN	Не указано		106	head	
candidate_value_status	HEAD	Head value		100	head	
candidate_value_status	LIVE	Live value		101	head	
candidate_value_status	CANDIDATE	Candidate		102	head	
candidate_value_status	REJECTED	Rejected		103	head	
model_seed_match_level	EXACT	Exact		100	head	
model_seed_match_level	ALIAS	Alias		101	head	
model_seed_match_level	FAMILY	Family		102	head	
model_seed_match_level	FUZZY	Fuzzy		103	head	
model_seed_match_level	NO_MATCH	No match		104	head	
