attribute_code	label_ru	role	data_type	required_policy	multi_value	allowed_values_source	unit	usage_scope	description_ru
model_name_text	Название модели текстом	T2_OPTIONAL_ENRICHMENT	string	optional	false	free_text		identity_light	Сырой текст модели.
mpn	MPN	T2_OPTIONAL_ENRICHMENT	string	optional	false	free_text		identity_light	Manufacturer Part Number.
gtin	GTIN/EAN/UPC	T2_OPTIONAL_ENRICHMENT	string	optional	false	regex:gtin		identity_light	Штрихкод.
release_year	Год релиза	T2_OPTIONAL_ENRICHMENT	number	optional	false	range:1990..2035	year	identity_light	Год релиза, если известен.
region_variant	Региональная версия	T2_OPTIONAL_ENRICHMENT	enum	optional	false	values.tsv#region_variant		identity_light	GLOBAL/EU/US/CN/JP etc.
dedup_key	Dedup key	T3_SYSTEM_HIDDEN	string	system	false	generated		dedup	Системный ключ дедупликации.
normalization_confidence	Уверенность нормализации	T3_SYSTEM_HIDDEN	number	system	false	range:0..1		system	Confidence после нормализации.
vision_evidence	Vision evidence	T3_SYSTEM_HIDDEN	json	system	false	generated		system	Доказательства vision/OCR.
route_guard_trace	Route guard trace	T3_SYSTEM_HIDDEN	json	system	false	generated		system	Trace маршрутизации.
candidate_value_status	Статус runtime candidate	T3_SYSTEM_HIDDEN	enum	system	false	values.tsv#candidate_value_status		runtime	head/live/candidate/rejected.
model_seed_match_level	Уровень совпадения с seed	T3_SYSTEM_HIDDEN	enum	system	false	values.tsv#model_seed_match_level		runtime	exact/fuzzy/family/no_match.
