storage_type	attribute_code	role	facet_priority	required_for_publish	notes
MEMORY_CARD	storage_type	T0	10	true	common facet
MEMORY_CARD	brand	T0	20	true	common facet
MEMORY_CARD	storage_capacity_gb	T0	30	true	common facet
MEMORY_CARD	condition	T0	40	true	common facet
MEMORY_CARD	interface_type	T0	50	false	common facet
MEMORY_CARD	form_factor	T0	60	false	common facet
MEMORY_CARD	price	T0	70	true	common facet
MEMORY_CARD	memory_card_format	T1/T2	100	false	type-specific facet
MEMORY_CARD	speed_class	T1/T2	110	false	type-specific facet
MEMORY_CARD	video_speed_class	T1/T2	120	false	type-specific facet
MEMORY_CARD	app_performance_class	T1/T2	130	false	type-specific facet
CARD_READER	storage_type	T0	10	true	common facet
CARD_READER	brand	T0	20	true	common facet
CARD_READER	storage_capacity_gb	T0	30	true	common facet
CARD_READER	condition	T0	40	true	common facet
CARD_READER	interface_type	T0	50	false	common facet
CARD_READER	form_factor	T0	60	false	common facet
CARD_READER	price	T0	70	true	common facet
CARD_READER	card_reader_slots	T1/T2	100	false	type-specific facet
CARD_READER	connector_type	T1/T2	110	false	type-specific facet
CARD_READER	bus_protocol	T1/T2	120	false	type-specific facet
NAS	storage_type	T0	10	true	common facet
NAS	brand	T0	20	true	common facet
NAS	storage_capacity_gb	T0	30	true	common facet
NAS	condition	T0	40	true	common facet
NAS	interface_type	T0	50	false	common facet
NAS	form_factor	T0	60	false	common facet
NAS	price	T0	70	true	common facet
NAS	bay_count	T1/T2	100	false	type-specific facet
NAS	raid_support	T1/T2	110	false	type-specific facet
NAS	network_ports	T1/T2	120	false	type-specific facet
NAS	nas_drive_bays	T1/T2	130	false	type-specific facet
STORAGE_ACCESSORY	storage_type	T0	10	true	common facet
STORAGE_ACCESSORY	brand	T0	20	true	common facet
STORAGE_ACCESSORY	storage_capacity_gb	T0	30	true	common facet
STORAGE_ACCESSORY	condition	T0	40	true	common facet
STORAGE_ACCESSORY	interface_type	T0	50	false	common facet
STORAGE_ACCESSORY	form_factor	T0	60	false	common facet
STORAGE_ACCESSORY	price	T0	70	true	common facet
STORAGE_ACCESSORY	storage_accessory_type	T1/T2	100	false	type-specific facet
STORAGE_ACCESSORY	enclosure_supported_form_factor	T1/T2	110	false	type-specific facet
STORAGE_ACCESSORY	enclosure_supported_interface	T1/T2	120	false	type-specific facet
