alias	canonical_kind	canonical_value	locale	confidence	positive_context	negative_context	route_hint	notes
AMD	brand	AMD	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
амд	brand	AMD	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
NVIDIA	brand	NVIDIA	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
энвидиа	brand	NVIDIA	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Kingston	brand	KINGSTON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
кингстон	brand	KINGSTON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
SanDisk	brand	SANDISK	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
сандиск	brand	SANDISK	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Western Digital	brand	WESTERN_DIGITAL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
wd	brand	WESTERN_DIGITAL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Seagate	brand	SEAGATE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
сигейт	brand	SEAGATE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Canon	brand	CANON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
кэнон	brand	CANON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Nikon	brand	NIKON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
никон	brand	NIKON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Fujifilm	brand	FUJIFILM	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
фуджи	brand	FUJIFILM	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Panasonic	brand	PANASONIC	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
панасоник	brand	PANASONIC	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
DJI	brand	DJI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
диджиай	brand	DJI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
GoPro	brand	GOPRO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
гоупро	brand	GOPRO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Garmin	brand	GARMIN	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
гармин	brand	GARMIN	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Bose	brand	BOSE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
боуз	brand	BOSE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
JBL	brand	JBL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
джибиэль	brand	JBL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Sennheiser	brand	SENNHEISER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
сенхайзер	brand	SENNHEISER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Shure	brand	SHURE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
шур	brand	SHURE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Beats	brand	BEATS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
битс	brand	BEATS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Marshall	brand	MARSHALL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
маршал	brand	MARSHALL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Yamaha	brand	YAMAHA	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
ямаха	brand	YAMAHA	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Pioneer	brand	PIONEER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
пионер	brand	PIONEER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Denon	brand	DENON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
денон	brand	DENON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Philips	brand	PHILIPS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
филипс	brand	PHILIPS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
TCL	brand	TCL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
тисэль	brand	TCL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Hisense	brand	HISENSE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
хайсенс	brand	HISENSE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Nintendo	brand	NINTENDO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
нинтендо	brand	NINTENDO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
PlayStation	brand	PLAYSTATION	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
sony playstation	brand	PLAYSTATION	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
плейстейшен	brand	PLAYSTATION	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
пс	brand	PLAYSTATION	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Xbox	brand	XBOX	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
иксбокс	brand	XBOX	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
microsoft xbox	brand	XBOX	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Meta	brand	META	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
oculus	brand	META	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
мета	brand	META	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Valve	brand	VALVE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
валв	brand	VALVE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Amazon	brand	AMAZON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
амазон	brand	AMAZON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Yale	brand	YALE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
йель	brand	YALE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Aqara	brand	AQARA	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
акара	brand	AQARA	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Ubiquiti	brand	UBIQUITI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
юбикуити	brand	UBIQUITI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
unifi	brand	UBIQUITI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Synology	brand	SYNOLOGY	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
синолоджи	brand	SYNOLOGY	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
QNAP	brand	QNAP	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
кнап	brand	QNAP	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Epson	brand	EPSON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
эпсон	brand	EPSON	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Brother	brand	BROTHER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
бразер	brand	BROTHER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
BlackVue	brand	BLACKVUE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
блэквью	brand	BLACKVUE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Pioneer	brand	PIONEER_CAR	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
pioneer car	brand	PIONEER_CAR	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
пионер авто	brand	PIONEER_CAR	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
iPhone	family	IPHONE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
айфон	family	IPHONE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
iPad	family	IPAD	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
айпад	family	IPAD	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
MacBook	family	MACBOOK	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
макбук	family	MACBOOK	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
mac book	family	MACBOOK	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
MacBook Air	family	MACBOOK_AIR	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
макбук эйр	family	MACBOOK_AIR	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
MacBook Pro	family	MACBOOK_PRO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
макбук про	family	MACBOOK_PRO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Apple Watch	family	APPLE_WATCH	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
эпл вотч	family	APPLE_WATCH	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
applewatch	family	APPLE_WATCH	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
AirPods	family	AIRPODS	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
аирподс	family	AIRPODS	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
эйрподс	family	AIRPODS	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Galaxy S	family	GALAXY_S	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
галакси эс	family	GALAXY_S	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
галакси s	family	GALAXY_S	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Galaxy Z	family	GALAXY_Z	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
galaxy fold	family	GALAXY_Z	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
galaxy flip	family	GALAXY_Z	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Galaxy Tab	family	GALAXY_TAB	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
галакси таб	family	GALAXY_TAB	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Galaxy Watch	family	GALAXY_WATCH	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
галакси вотч	family	GALAXY_WATCH	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Pixel	family	PIXEL	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
пиксель	family	PIXEL	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Redmi Note	family	REDMI_NOTE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
редми ноут	family	REDMI_NOTE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
POCO X	family	POCO_X	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
поко x	family	POCO_X	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
POCO F	family	POCO_F	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
поко f	family	POCO_F	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Mi Band	family	MI_BAND	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
ми бэнд	family	MI_BAND	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
ThinkPad	family	THINKPAD	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
тинкпад	family	THINKPAD	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
IdeaPad	family	IDEAPAD	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
идеапад	family	IDEAPAD	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Legion	family	LEGION	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
легион	family	LEGION	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Yoga	family	YOGA	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
йога lenovo	family	YOGA	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
XPS	family	XPS	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
dell xps	family	XPS	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Inspiron	family	INSPIRON	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
инспирон	family	INSPIRON	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Latitude	family	LATITUDE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
латитьюд	family	LATITUDE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
EliteBook	family	ELITEBOOK	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
элитбук	family	ELITEBOOK	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Pavilion	family	PAVILION	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
павилион	family	PAVILION	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
ROG	family	ROG	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
republic of gamers	family	ROG	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
рог	family	ROG	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
TUF	family	TUF	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
tuf gaming	family	TUF	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Surface	family	SURFACE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
серфейс	family	SURFACE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Surface Pro	family	SURFACE_PRO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Kindle	family	KINDLE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
киндл	family	KINDLE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Kindle Paperwhite	family	KINDLE_PAPERWHITE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
киндл пейпервайт	family	KINDLE_PAPERWHITE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
UltraSharp	family	ULTRASHARP	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
ultrasharp dell	family	ULTRASHARP	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Odyssey	family	ODYSSEY	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
самсунг одиссей	family	ODYSSEY	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
UltraGear	family	ULTRAGEAR	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
lg ultragear	family	ULTRAGEAR	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
GeForce RTX	family	GEFORCE_RTX	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
rtx	family	GEFORCE_RTX	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
джифорс	family	GEFORCE_RTX	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
GeForce GTX	family	GEFORCE_GTX	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
gtx	family	GEFORCE_GTX	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
джифорс	family	GEFORCE_GTX	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Radeon RX	family	RADEON_RX	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
radeon	family	RADEON_RX	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
