locale	alias	target_field	target_value	match_type	priority	guard	notes_ru
ru	зарядка для телефона	phone_accessory_type	CHARGER	normalized_phrase	20		
ru	зарядное устройство	phone_accessory_type	CHARGER	normalized_phrase	50		
ru	блок питания для телефона	phone_accessory_type	CHARGER	normalized_phrase	50		
ru	адаптер питания	phone_accessory_type	CHARGER	normalized_phrase	50		
ru	сетевой адаптер	phone_accessory_type	CHARGER	normalized_phrase	50		
ru	быстрая зарядка	phone_accessory_type	CHARGER	normalized_phrase	50		
ru	зарядка usb c	phone_accessory_type	CHARGER	normalized_phrase	50		
ru	зарядка iphone	phone_accessory_type	CHARGER	normalized_phrase	50		
ru	беспроводная зарядка	phone_accessory_type	WIRELESS_CHARGER	normalized_phrase	50		
ru	qi зарядка	phone_accessory_type	WIRELESS_CHARGER	normalized_phrase	50		
ru	qi2 зарядка	phone_accessory_type	WIRELESS_CHARGER	normalized_phrase	50		
ru	магнитная зарядка	phone_accessory_type	WIRELESS_CHARGER	normalized_phrase	50		
ru	magsafe charger	phone_accessory_type	WIRELESS_CHARGER	normalized_phrase	50		
ru	магсейф зарядка	phone_accessory_type	WIRELESS_CHARGER	normalized_phrase	50		
ru	беспроводная зарядка iphone	phone_accessory_type	WIRELESS_CHARGER	normalized_phrase	50		
ru	кабель для телефона	phone_accessory_type	CABLE	normalized_phrase	20		
ru	провод для зарядки	phone_accessory_type	CABLE	normalized_phrase	50		
ru	шнур для телефона	phone_accessory_type	CABLE	normalized_phrase	50		
ru	кабель iphone	phone_accessory_type	CABLE	normalized_phrase	50		
ru	кабель lightning	phone_accessory_type	CABLE	normalized_phrase	50		
ru	кабель usb c для телефона	phone_accessory_type	CABLE	normalized_phrase	50		
ru	type c кабель	phone_accessory_type	CABLE	normalized_phrase	50		
ru	зарядный кабель	phone_accessory_type	CABLE	normalized_phrase	50		
ru	пауэрбанк для телефона	phone_accessory_type	POWER_BANK	normalized_phrase	50		
ru	power bank для телефона	phone_accessory_type	POWER_BANK	normalized_phrase	50		
ru	внешний аккумулятор для телефона	phone_accessory_type	POWER_BANK	normalized_phrase	50		
ru	магнитный power bank	phone_accessory_type	POWER_BANK	normalized_phrase	50		
ru	magsafe power bank	phone_accessory_type	POWER_BANK	normalized_phrase	50		
ru	держатель телефона	phone_accessory_type	HOLDER	normalized_phrase	50		
ru	холдер для телефона	phone_accessory_type	HOLDER	normalized_phrase	50		
ru	крепление телефона	phone_accessory_type	HOLDER	normalized_phrase	50		
ru	держатель смартфона	phone_accessory_type	HOLDER	normalized_phrase	50		
ru	подставка для телефона	phone_accessory_type	STAND	normalized_phrase	50		
ru	настольная подставка для телефона	phone_accessory_type	STAND	normalized_phrase	50		
ru	стойка для смартфона	phone_accessory_type	STAND	normalized_phrase	50		
ru	phone stand	phone_accessory_type	STAND	normalized_phrase	50		
ru	держатель телефона в машину	phone_accessory_type	CAR_MOUNT	normalized_phrase	50		
ru	автодержатель телефона	phone_accessory_type	CAR_MOUNT	normalized_phrase	50		
ru	крепление телефона в авто	phone_accessory_type	CAR_MOUNT	normalized_phrase	50		
ru	магнитный держатель в машину	phone_accessory_type	CAR_MOUNT	normalized_phrase	50		
ru	car phone holder	phone_accessory_type	CAR_MOUNT	normalized_phrase	50		
ru	переходник для телефона	phone_accessory_type	ADAPTER	normalized_phrase	50		
ru	адаптер для телефона	phone_accessory_type	ADAPTER	normalized_phrase	50		
ru	переходник lightning	phone_accessory_type	ADAPTER	normalized_phrase	50		
ru	usb c переходник	phone_accessory_type	ADAPTER	normalized_phrase	50		
ru	переходник на наушники iphone	phone_accessory_type	ADAPTER	normalized_phrase	50		
ru	док станция для телефона	phone_accessory_type	DOCK	normalized_phrase	50		
ru	док-станция iphone	phone_accessory_type	DOCK	normalized_phrase	50		
ru	phone dock	phone_accessory_type	DOCK	normalized_phrase	50		
ru	зарядная док станция	phone_accessory_type	DOCK	normalized_phrase	50		
ru	magsafe аксессуар	phone_accessory_type	MAGSAFE_ACCESSORY	normalized_phrase	50		
ru	магсейф аксессуар	phone_accessory_type	MAGSAFE_ACCESSORY	normalized_phrase	50		
ru	магнитный кошелек iphone	phone_accessory_type	MAGSAFE_ACCESSORY	normalized_phrase	50		
ru	magsafe wallet	phone_accessory_type	MAGSAFE_ACCESSORY	normalized_phrase	50		
ru	magsafe ring	phone_accessory_type	MAGSAFE_ACCESSORY	normalized_phrase	50		
ru	magsafe stand	phone_accessory_type	MAGSAFE_ACCESSORY	normalized_phrase	50		
ru	стилус для телефона	phone_accessory_type	STYLUS	normalized_phrase	50		
ru	сенсорная ручка	phone_accessory_type	STYLUS	normalized_phrase	50		
ru	touch pen для телефона	phone_accessory_type	STYLUS	normalized_phrase	50		
ru	активный стилус смартфон	phone_accessory_type	STYLUS	normalized_phrase	50		
ru	ремешок на телефон	phone_accessory_type	STRAP_CHARM	normalized_phrase	50		
ru	шнурок на телефон	phone_accessory_type	STRAP_CHARM	normalized_phrase	50		
ru	подвеска на телефон	phone_accessory_type	STRAP_CHARM	normalized_phrase	50		
ru	phone charm	phone_accessory_type	STRAP_CHARM	normalized_phrase	50		
ru	кистевой ремешок телефона	phone_accessory_type	STRAP_CHARM	normalized_phrase	50		
ru	скрепка для сим карты	phone_accessory_type	SIM_TOOL	normalized_phrase	50		
ru	sim ejector	phone_accessory_type	SIM_TOOL	normalized_phrase	50		
ru	лоток sim	phone_accessory_type	SIM_TOOL	normalized_phrase	50		
ru	сим лоток	phone_accessory_type	SIM_TOOL	normalized_phrase	50		
ru	переходник sim	phone_accessory_type	SIM_TOOL	normalized_phrase	50		
ru	набор sim	phone_accessory_type	SIM_TOOL	normalized_phrase	50		
ru	запчасть для телефона	phone_accessory_type	REPLACEMENT_PART	normalized_phrase	50		
ru	дисплей iphone	phone_accessory_type	REPLACEMENT_PART	normalized_phrase	50		
ru	экран samsung	phone_accessory_type	REPLACEMENT_PART	normalized_phrase	50		
ru	аккумулятор iphone	phone_accessory_type	REPLACEMENT_PART	normalized_phrase	50		
ru	порт зарядки iphone	phone_accessory_type	REPLACEMENT_PART	normalized_phrase	50		
ru	камера iphone	phone_accessory_type	REPLACEMENT_PART	normalized_phrase	50		
ru	задняя крышка телефона	phone_accessory_type	REPLACEMENT_PART	normalized_phrase	50		
ru	шлейф телефона	phone_accessory_type	REPLACEMENT_PART	normalized_phrase	50		
ru	чистящий набор для телефона	phone_accessory_type	CLEANING_KIT	normalized_phrase	50		
ru	салфетка для экрана	phone_accessory_type	CLEANING_KIT	normalized_phrase	50		
ru	спрей для экрана телефона	phone_accessory_type	CLEANING_KIT	normalized_phrase	50		
ru	щетка для порта телефона	phone_accessory_type	CLEANING_KIT	normalized_phrase	50		
ru	набор чистки смартфона	phone_accessory_type	CLEANING_KIT	normalized_phrase	50		
ru	iphone	compatible_brand	APPLE	normalized_phrase	30	requires accessory term or model context	
ru	айфон	compatible_brand	APPLE	normalized_phrase	30	requires accessory term or model context	
ru	для айфона	compatible_brand	APPLE	normalized_phrase	30	requires accessory term or model context	
ru	apple iphone	compatible_brand	APPLE	normalized_phrase	30	requires accessory term or model context	
ru	samsung	compatible_brand	SAMSUNG	normalized_phrase	30	requires accessory term or model context	
ru	самсунг	compatible_brand	SAMSUNG	normalized_phrase	30	requires accessory term or model context	
ru	galaxy	compatible_brand	SAMSUNG	normalized_phrase	30	requires accessory term or model context	
ru	галакси	compatible_brand	SAMSUNG	normalized_phrase	30	requires accessory term or model context	
ru	xiaomi	compatible_brand	XIAOMI	normalized_phrase	30	requires accessory term or model context	
ru	сяоми	compatible_brand	XIAOMI	normalized_phrase	30	requires accessory term or model context	
ru	mi phone	compatible_brand	XIAOMI	normalized_phrase	30	requires accessory term or model context	
ru	redmi	compatible_brand	REDMI	normalized_phrase	30	requires accessory term or model context	
ru	редми	compatible_brand	REDMI	normalized_phrase	30	requires accessory term or model context	
ru	poco	compatible_brand	POCO	normalized_phrase	30	requires accessory term or model context	
ru	поко	compatible_brand	POCO	normalized_phrase	30	requires accessory term or model context	
ru	pixel	compatible_brand	GOOGLE	normalized_phrase	30	requires accessory term or model context	
ru	google pixel	compatible_brand	GOOGLE	normalized_phrase	30	requires accessory term or model context	
ru	пиксель	compatible_brand	GOOGLE	normalized_phrase	30	requires accessory term or model context	
ru	huawei	compatible_brand	HUAWEI	normalized_phrase	30	requires accessory term or model context	
ru	хуавей	compatible_brand	HUAWEI	normalized_phrase	30	requires accessory term or model context	
ru	honor	compatible_brand	HONOR	normalized_phrase	30	requires accessory term or model context	
ru	хонор	compatible_brand	HONOR	normalized_phrase	30	requires accessory term or model context	
ru	oneplus	compatible_brand	ONEPLUS	normalized_phrase	30	requires accessory term or model context	
ru	ванплас	compatible_brand	ONEPLUS	normalized_phrase	30	requires accessory term or model context	
ru	realme	compatible_brand	REALME	normalized_phrase	30	requires accessory term or model context	
ru	реалми	compatible_brand	REALME	normalized_phrase	30	requires accessory term or model context	
ru	телефон	route_target	TECH.PHONES	normalized_phrase	5	no accessory term	Negative route guard alias
ru	смартфон	route_target	TECH.PHONES	normalized_phrase	5	no accessory term	Negative route guard alias
ru	iphone 13	route_target	TECH.PHONES	normalized_phrase	5	no accessory term	Negative route guard alias
ru	apple watch ремешок	route_target	TECH.WEARABLES	normalized_phrase	5	watch term	Negative route guard alias
ru	ремешок apple watch	route_target	TECH.WEARABLES	normalized_phrase	5	watch term	Negative route guard alias
ru	airpods case	route_target	TECH.AUDIO	normalized_phrase	5	audio device term	Negative route guard alias
ru	чехол airpods	route_target	TECH.AUDIO	normalized_phrase	5	audio device term	Negative route guard alias
ru	чехол для ноутбука	route_target	TECH.COMPUTER_ACCESSORIES	normalized_phrase	5	laptop term	Negative route guard alias
ru	сумка для телефона	route_target	FASH.BAGS	normalized_phrase	5	bag/wear term without phone accessory subtype	Negative route guard alias
ru	кабель hdmi	route_target	TECH.POWER_CHARGING_CABLES	normalized_phrase	5	generic av cable	Negative route guard alias
