alias	target_code	target_type	locale	confidence	note
fight stick	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
arcade stick	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
файтстик	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
razer kitsune	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
backbone one	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
gamesir g8	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
8bitdo controller	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
игровая мышь	GAMING_MOUSE	gaming_type	ru	0.90	delta_route_alias
gaming mouse	GAMING_MOUSE	gaming_type	ru	0.90	delta_route_alias
mouse gamer	GAMING_MOUSE	gaming_type	ru	0.90	delta_route_alias
razer deathadder	GAMING_MOUSE	gaming_type	ru	0.90	delta_route_alias
logitech g pro x superlight	GAMING_MOUSE	gaming_type	ru	0.90	delta_route_alias
g pro superlight	GAMING_MOUSE	gaming_type	ru	0.90	delta_route_alias
steelseries aerox	GAMING_MOUSE	gaming_type	ru	0.90	delta_route_alias
corsair m65	GAMING_MOUSE	gaming_type	ru	0.90	delta_route_alias
hyperx pulsefire	GAMING_MOUSE	gaming_type	ru	0.90	delta_route_alias
игровая клавиатура	GAMING_KEYBOARD	gaming_type	ru	0.90	delta_route_alias
gaming keyboard	GAMING_KEYBOARD	gaming_type	ru	0.90	delta_route_alias
mechanical gaming keyboard	GAMING_KEYBOARD	gaming_type	ru	0.90	delta_route_alias
razer huntsman	GAMING_KEYBOARD	gaming_type	ru	0.90	delta_route_alias
logitech g pro x tkl	GAMING_KEYBOARD	gaming_type	ru	0.90	delta_route_alias
steelseries apex pro	GAMING_KEYBOARD	gaming_type	ru	0.90	delta_route_alias
corsair k70	GAMING_KEYBOARD	gaming_type	ru	0.90	delta_route_alias
игровая гарнитура	GAMING_HEADSET	gaming_type	ru	0.90	delta_route_alias
gaming headset	GAMING_HEADSET	gaming_type	ru	0.90	delta_route_alias
гарнитура ps5	GAMING_HEADSET	gaming_type	ru	0.90	delta_route_alias
гарнитура xbox	GAMING_HEADSET	gaming_type	ru	0.90	delta_route_alias
razer blackshark	GAMING_HEADSET	gaming_type	ru	0.90	delta_route_alias
steelseries arctis nova	GAMING_HEADSET	gaming_type	ru	0.90	delta_route_alias
hyperx cloud	GAMING_HEADSET	gaming_type	ru	0.90	delta_route_alias
astro a50	GAMING_HEADSET	gaming_type	ru	0.90	delta_route_alias
turtle beach stealth	GAMING_HEADSET	gaming_type	ru	0.90	delta_route_alias
logitech g pro x headset	GAMING_HEADSET	gaming_type	ru	0.90	delta_route_alias
зарядная станция dualsense	CONSOLE_ACCESSORY	gaming_type	ru	0.90	delta_route_alias
charging station ps5	CONSOLE_ACCESSORY	gaming_type	ru	0.90	delta_route_alias
xbox expansion card	CONSOLE_ACCESSORY	gaming_type	ru	0.90	delta_route_alias
карта расширения xbox	CONSOLE_ACCESSORY	gaming_type	ru	0.90	delta_route_alias
steam deck dock	CONSOLE_ACCESSORY	gaming_type	ru	0.90	delta_route_alias
док станция steam deck	CONSOLE_ACCESSORY	gaming_type	ru	0.90	delta_route_alias
nintendo switch dock	CONSOLE_ACCESSORY	gaming_type	ru	0.90	delta_route_alias
camera switch 2	CONSOLE_ACCESSORY	gaming_type	ru	0.90	delta_route_alias
кабель link quest	CONSOLE_ACCESSORY	gaming_type	ru	0.90	delta_route_alias
аркадный автомат	ARCADE_EQUIPMENT	gaming_type	ru	0.90	delta_route_alias
arcade cabinet	ARCADE_EQUIPMENT	gaming_type	ru	0.90	delta_route_alias
bartop arcade	ARCADE_EQUIPMENT	gaming_type	ru	0.90	delta_route_alias
pandora box	ARCADE_EQUIPMENT	gaming_type	ru	0.90	delta_route_alias
pandora box 10th	ARCADE_EQUIPMENT	gaming_type	ru	0.90	delta_route_alias
аркадный контроллер	ARCADE_EQUIPMENT	gaming_type	ru	0.90	delta_route_alias
coin op arcade	ARCADE_EQUIPMENT	gaming_type	ru	0.90	delta_route_alias
arcade1up	ARCADE_EQUIPMENT	gaming_type	ru	0.90	delta_route_alias
ретро аркада	ARCADE_EQUIPMENT	gaming_type	ru	0.90	delta_route_alias
диск ps5	PHYSICAL_GAME	gaming_type	ru	0.90	delta_route_alias
игра ps5	PHYSICAL_GAME	gaming_type	ru	0.90	delta_route_alias
диск xbox	PHYSICAL_GAME	gaming_type	ru	0.90	delta_route_alias
игра xbox	PHYSICAL_GAME	gaming_type	ru	0.90	delta_route_alias
картридж switch	PHYSICAL_GAME	gaming_type	ru	0.90	delta_route_alias
картридж nintendo switch	PHYSICAL_GAME	gaming_type	ru	0.90	delta_route_alias
physical game	PHYSICAL_GAME	gaming_type	ru	0.90	delta_route_alias
game disc	PHYSICAL_GAME	gaming_type	ru	0.90	delta_route_alias
game cartridge	PHYSICAL_GAME	gaming_type	ru	0.90	delta_route_alias
игра на диске	PHYSICAL_GAME	gaming_type	ru	0.90	delta_route_alias
