alias	language	target_attribute	target_value	route_hint	priority	notes
беспроводная зарядка	ru	power_cable_type	WIRELESS_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
qi зарядка	ru	power_cable_type	WIRELESS_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
qi2 зарядка	ru	power_cable_type	WIRELESS_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
магнитная зарядка	ru	power_cable_type	WIRELESS_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
magsafe зарядка	ru	power_cable_type	WIRELESS_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
зарядная станция magsafe	ru	power_cable_type	WIRELESS_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
автозарядка	ru	power_cable_type	CAR_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
зарядка в машину	ru	power_cable_type	CAR_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
зарядка в прикуриватель	ru	power_cable_type	CAR_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
usb в прикуриватель	ru	power_cable_type	CAR_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
car charger	ru	power_cable_type	CAR_CHARGER	TECH.POWER_CHARGING_CABLES	1.0	
usb кабель	ru	power_cable_type	USB_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
кабель type c	ru	power_cable_type	USB_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
кабель usb c	ru	power_cable_type	USB_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
кабель lightning	ru	power_cable_type	USB_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
кабель микро usb	ru	power_cable_type	USB_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
шнур зарядки	ru	power_cable_type	USB_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
зарядный кабель	ru	power_cable_type	USB_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
hdmi кабель	ru	power_cable_type	HDMI_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
кабель hdmi	ru	power_cable_type	HDMI_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
hdmi 2.1 кабель	ru	power_cable_type	HDMI_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
кабель 4k 120	ru	power_cable_type	HDMI_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
кабель 8k	ru	power_cable_type	HDMI_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
aux кабель	ru	power_cable_type	AUDIO_VIDEO_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
оптический кабель	ru	power_cable_type	AUDIO_VIDEO_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
rca кабель	ru	power_cable_type	AUDIO_VIDEO_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
тюльпаны кабель	ru	power_cable_type	AUDIO_VIDEO_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
displayport кабель	ru	power_cable_type	AUDIO_VIDEO_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
кабель dp	ru	power_cable_type	AUDIO_VIDEO_CABLE	TECH.POWER_CHARGING_CABLES	1.0	
переходник	ru	power_cable_type	ADAPTER	TECH.POWER_CHARGING_CABLES	1.0	
адаптер	ru	power_cable_type	ADAPTER	TECH.POWER_CHARGING_CABLES	1.0	
type c переходник	ru	power_cable_type	ADAPTER	TECH.POWER_CHARGING_CABLES	1.0	
usb c hdmi adapter	ru	power_cable_type	ADAPTER	TECH.POWER_CHARGING_CABLES	1.0	
адаптер hdmi	ru	power_cable_type	ADAPTER	TECH.POWER_CHARGING_CABLES	1.0	
переходник lightning	ru	power_cable_type	ADAPTER	TECH.POWER_CHARGING_CABLES	1.0	
повербанк	ru	power_cable_type	POWER_BANK	TECH.POWER_CHARGING_CABLES	1.0	
пауэрбанк	ru	power_cable_type	POWER_BANK	TECH.POWER_CHARGING_CABLES	1.0	
powerbank	ru	power_cable_type	POWER_BANK	TECH.POWER_CHARGING_CABLES	1.0	
power bank	ru	power_cable_type	POWER_BANK	TECH.POWER_CHARGING_CABLES	1.0	
внешний аккумулятор	ru	power_cable_type	POWER_BANK	TECH.POWER_CHARGING_CABLES	1.0	
портативная зарядка	ru	power_cable_type	POWER_BANK	TECH.POWER_CHARGING_CABLES	1.0	
портативная электростанция	ru	power_cable_type	PORTABLE_POWER_STATION	TECH.POWER_CHARGING_CABLES	1.0	
зарядная станция	ru	power_cable_type	PORTABLE_POWER_STATION	TECH.POWER_CHARGING_CABLES	1.0	
power station	ru	power_cable_type	PORTABLE_POWER_STATION	TECH.POWER_CHARGING_CABLES	1.0	
ecoflow	ru	power_cable_type	PORTABLE_POWER_STATION	TECH.POWER_CHARGING_CABLES	1.0	
bluetti	ru	power_cable_type	PORTABLE_POWER_STATION	TECH.POWER_CHARGING_CABLES	1.0	
ибп	ru	power_cable_type	UPS	TECH.POWER_CHARGING_CABLES	1.0	
бесперебойник	ru	power_cable_type	UPS	TECH.POWER_CHARGING_CABLES	1.0	
ups	ru	power_cable_type	UPS	TECH.POWER_CHARGING_CABLES	1.0	
источник бесперебойного питания	ru	power_cable_type	UPS	TECH.POWER_CHARGING_CABLES	1.0	
батарейка	ru	power_cable_type	BATTERY	TECH.POWER_CHARGING_CABLES	1.0	
аккумулятор	ru	power_cable_type	BATTERY	TECH.POWER_CHARGING_CABLES	1.0	
аккумуляторные батарейки	ru	power_cable_type	BATTERY	TECH.POWER_CHARGING_CABLES	1.0	
18650	ru	power_cable_type	BATTERY	TECH.POWER_CHARGING_CABLES	1.0	
cr2032	ru	power_cable_type	BATTERY	TECH.POWER_CHARGING_CABLES	1.0	
пальчиковые батарейки	ru	power_cable_type	BATTERY	TECH.POWER_CHARGING_CABLES	1.0	
сетевой фильтр	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	
удлинитель с защитой	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	
фильтр пилот	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	
surge protector	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	
защита от скачков	ru	power_cable_type	SURGE_PROTECTOR	TECH.POWER_CHARGING_CABLES	1.0	
стяжки для кабелей	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	1.0	
органайзер проводов	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	1.0	
держатель кабеля	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	1.0	
кабель менеджмент	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	1.0	
липучки для проводов	ru	power_cable_type	CABLE_MANAGEMENT	TECH.POWER_CHARGING_CABLES	1.0	
anker	ru	brand	ANKER	TECH.POWER_CHARGING_CABLES	0.9	brand alias
анкер	ru	brand	ANKER	TECH.POWER_CHARGING_CABLES	0.9	brand alias
ugreen	ru	brand	UGREEN	TECH.POWER_CHARGING_CABLES	0.9	brand alias
югрин	ru	brand	UGREEN	TECH.POWER_CHARGING_CABLES	0.9	brand alias
baseus	ru	brand	BASEUS	TECH.POWER_CHARGING_CABLES	0.9	brand alias
басеус	ru	brand	BASEUS	TECH.POWER_CHARGING_CABLES	0.9	brand alias
бейсеус	ru	brand	BASEUS	TECH.POWER_CHARGING_CABLES	0.9	brand alias
belkin	ru	brand	BELKIN	TECH.POWER_CHARGING_CABLES	0.9	brand alias
белкин	ru	brand	BELKIN	TECH.POWER_CHARGING_CABLES	0.9	brand alias
apple	ru	brand	APPLE	TECH.POWER_CHARGING_CABLES	0.9	brand alias
эпл	ru	brand	APPLE	TECH.POWER_CHARGING_CABLES	0.9	brand alias
оригинал apple	ru	brand	APPLE	TECH.POWER_CHARGING_CABLES	0.9	brand alias
samsung	ru	brand	SAMSUNG	TECH.POWER_CHARGING_CABLES	0.9	brand alias
самсунг	ru	brand	SAMSUNG	TECH.POWER_CHARGING_CABLES	0.9	brand alias
xiaomi	ru	brand	XIAOMI	TECH.POWER_CHARGING_CABLES	0.9	brand alias
сяоми	ru	brand	XIAOMI	TECH.POWER_CHARGING_CABLES	0.9	brand alias
mi	ru	brand	XIAOMI	TECH.POWER_CHARGING_CABLES	0.9	brand alias
hyper	ru	brand	HYPER	TECH.POWER_CHARGING_CABLES	0.9	brand alias
aukey	ru	brand	AUKEY	TECH.POWER_CHARGING_CABLES	0.9	brand alias
ravpower	ru	brand	RAVPOWER	TECH.POWER_CHARGING_CABLES	0.9	brand alias
romoss	ru	brand	ROMOSS	TECH.POWER_CHARGING_CABLES	0.9	brand alias
ромосс	ru	brand	ROMOSS	TECH.POWER_CHARGING_CABLES	0.9	brand alias
apc	ru	brand	APC	TECH.POWER_CHARGING_CABLES	0.9	brand alias
апс	ru	brand	APC	TECH.POWER_CHARGING_CABLES	0.9	brand alias
cyberpower	ru	brand	CYBERPOWER	TECH.POWER_CHARGING_CABLES	0.9	brand alias
ecoflow	ru	brand	ECOFLOW	TECH.POWER_CHARGING_CABLES	0.9	brand alias
экофлоу	ru	brand	ECOFLOW	TECH.POWER_CHARGING_CABLES	0.9	brand alias
bluetti	ru	brand	BLUETTI	TECH.POWER_CHARGING_CABLES	0.9	brand alias
orico	ru	brand	ORICO	TECH.POWER_CHARGING_CABLES	0.9	brand alias
vention	ru	brand	VENTION	TECH.POWER_CHARGING_CABLES	0.9	brand alias
choetech	ru	brand	CHOETECH	TECH.POWER_CHARGING_CABLES	0.9	brand alias
soundcore	ru	brand	ANKER_SOUNDCORE	TECH.POWER_CHARGING_CABLES	0.9	brand alias
чехол iphone	ru	route_exclusion	TECH.PHONE_ACCESSORIES	TECH.PHONE_ACCESSORIES	1.0	phone case
защитное стекло iphone	ru	route_exclusion	TECH.PHONE_ACCESSORIES	TECH.PHONE_ACCESSORIES	1.0	screen protector
magsafe чехол	ru	route_exclusion	TECH.PHONE_ACCESSORIES	TECH.PHONE_ACCESSORIES	1.0	case
usb hub	ru	route_exclusion	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTER_ACCESSORIES	1.0	hub
док станция	ru	route_exclusion	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTER_ACCESSORIES	1.0	dock
rj45 кабель	ru	route_exclusion	TECH.NETWORKING	TECH.NETWORKING	1.0	network cable
патч корд	ru	route_exclusion	TECH.NETWORKING	TECH.NETWORKING	1.0	network cable
блок питания компьютера	ru	route_exclusion	TECH.PC_COMPONENTS	TECH.PC_COMPONENTS	1.0	pc psu
psu 750w	ru	route_exclusion	TECH.PC_COMPONENTS	TECH.PC_COMPONENTS	1.0	pc psu
аккумулятор iphone	ru	route_exclusion	TECH.PHONE_ACCESSORIES	TECH.PHONE_ACCESSORIES	1.0	phone replacement part
аккумулятор ноутбука	ru	route_exclusion	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTER_ACCESSORIES	1.0	laptop part if specific
