alias	brand	model	power_cable_type	priority	notes
hyperjuice 100w gan зарядка	HYPER	HyperJuice 100W GaN Charger	WALL_CHARGER	0.8	ru mixed alias
hyper 100w	HYPER	HyperJuice 100W GaN Charger	WALL_CHARGER	0.7	spec alias
apple magsafe charger	APPLE	Apple MagSafe Charger	WIRELESS_CHARGER	1.0	model head
apple magsafe зарядка	APPLE	Apple MagSafe Charger	WIRELESS_CHARGER	0.8	ru mixed alias
apple 15w	APPLE	Apple MagSafe Charger	WIRELESS_CHARGER	0.7	spec alias
belkin boostcharge pro 3-in-1	BELKIN	Belkin BoostCharge Pro 3-in-1	WIRELESS_CHARGER	1.0	model head
belkin boostcharge pro 3-in-1	BELKIN	Belkin BoostCharge Pro 3-in-1	WIRELESS_CHARGER	0.8	ru mixed alias
belkin 15w	BELKIN	Belkin BoostCharge Pro 3-in-1	WIRELESS_CHARGER	0.7	spec alias
anker maggo qi2 wireless charger	ANKER	Anker MagGo Qi2 Wireless Charger	WIRELESS_CHARGER	1.0	model head
anker maggo qi2 беспроводная зарядка	ANKER	Anker MagGo Qi2 Wireless Charger	WIRELESS_CHARGER	0.8	ru mixed alias
anker 15w	ANKER	Anker MagGo Qi2 Wireless Charger	WIRELESS_CHARGER	0.7	spec alias
samsung wireless charger duo	SAMSUNG	Samsung Wireless Charger Duo	WIRELESS_CHARGER	1.0	model head
samsung беспроводная зарядка duo	SAMSUNG	Samsung Wireless Charger Duo	WIRELESS_CHARGER	0.8	ru mixed alias
samsung 15w	SAMSUNG	Samsung Wireless Charger Duo	WIRELESS_CHARGER	0.7	spec alias
anker 323 car charger	ANKER	Anker 323 Car Charger	CAR_CHARGER	1.0	model head
anker 323 car зарядка	ANKER	Anker 323 Car Charger	CAR_CHARGER	0.8	ru mixed alias
anker 52w	ANKER	Anker 323 Car Charger	CAR_CHARGER	0.7	spec alias
baseus 65w car charger	BASEUS	Baseus 65W Car Charger	CAR_CHARGER	1.0	model head
baseus 65w car зарядка	BASEUS	Baseus 65W Car Charger	CAR_CHARGER	0.8	ru mixed alias
baseus 65w	BASEUS	Baseus 65W Car Charger	CAR_CHARGER	0.7	spec alias
ugreen 69w usb-c car charger	UGREEN	UGREEN 69W USB-C Car Charger	CAR_CHARGER	1.0	model head
ugreen 69w usb-c car зарядка	UGREEN	UGREEN 69W USB-C Car Charger	CAR_CHARGER	0.8	ru mixed alias
ugreen 69w	UGREEN	UGREEN 69W USB-C Car Charger	CAR_CHARGER	0.7	spec alias
apple usb-c charge cable 1m	APPLE	Apple USB-C Charge Cable 1m	USB_CABLE	1.0	model head
apple usb-c charge кабель 1m	APPLE	Apple USB-C Charge Cable 1m	USB_CABLE	0.8	ru mixed alias
apple 60w	APPLE	Apple USB-C Charge Cable 1m	USB_CABLE	0.7	spec alias
apple usb-c to lightning cable 1m	APPLE	Apple USB-C to Lightning Cable 1m	USB_CABLE	1.0	model head
apple usb-c to lightning кабель 1m	APPLE	Apple USB-C to Lightning Cable 1m	USB_CABLE	0.8	ru mixed alias
apple 20w	APPLE	Apple USB-C to Lightning Cable 1m	USB_CABLE	0.7	spec alias
anker 333 usb-c cable 100w	ANKER	Anker 333 USB-C Cable 100W	USB_CABLE	1.0	model head
anker 333 usb-c кабель 100w	ANKER	Anker 333 USB-C Cable 100W	USB_CABLE	0.8	ru mixed alias
anker 100w	ANKER	Anker 333 USB-C Cable 100W	USB_CABLE	0.7	spec alias
ugreen usb-c 100w cable	UGREEN	UGREEN USB-C 100W Cable	USB_CABLE	1.0	model head
ugreen usb-c 100w кабель	UGREEN	UGREEN USB-C 100W Cable	USB_CABLE	0.8	ru mixed alias
ugreen 100w	UGREEN	UGREEN USB-C 100W Cable	USB_CABLE	0.7	spec alias
baseus usb-c 100w cable	BASEUS	Baseus USB-C 100W Cable	USB_CABLE	1.0	model head
baseus usb-c 100w кабель	BASEUS	Baseus USB-C 100W Cable	USB_CABLE	0.8	ru mixed alias
baseus 100w	BASEUS	Baseus USB-C 100W Cable	USB_CABLE	0.7	spec alias
belkin boostcharge usb-c cable	BELKIN	Belkin BoostCharge USB-C Cable	USB_CABLE	1.0	model head
belkin boostcharge usb-c кабель	BELKIN	Belkin BoostCharge USB-C Cable	USB_CABLE	0.8	ru mixed alias
belkin 60w	BELKIN	Belkin BoostCharge USB-C Cable	USB_CABLE	0.7	spec alias
ugreen hdmi 2.1 cable 8k	UGREEN	UGREEN HDMI 2.1 Cable 8K	HDMI_CABLE	1.0	model head
ugreen hdmi 2.1 кабель 8k	UGREEN	UGREEN HDMI 2.1 Cable 8K	HDMI_CABLE	0.8	ru mixed alias
ugreen 48gbps	UGREEN	UGREEN HDMI 2.1 Cable 8K	HDMI_CABLE	0.7	spec alias
belkin ultra hd high speed hdmi cable	BELKIN	Belkin Ultra HD High Speed HDMI Cable	HDMI_CABLE	1.0	model head
belkin ultra hd high speed hdmi кабель	BELKIN	Belkin Ultra HD High Speed HDMI Cable	HDMI_CABLE	0.8	ru mixed alias
belkin 48gbps	BELKIN	Belkin Ultra HD High Speed HDMI Cable	HDMI_CABLE	0.7	spec alias
vention hdmi 2.1 cable 8k	VENTION	Vention HDMI 2.1 Cable 8K	HDMI_CABLE	1.0	model head
vention hdmi 2.1 кабель 8k	VENTION	Vention HDMI 2.1 Cable 8K	HDMI_CABLE	0.8	ru mixed alias
vention 48gbps	VENTION	Vention HDMI 2.1 Cable 8K	HDMI_CABLE	0.7	spec alias
ugreen displayport 1.4 cable	UGREEN	UGREEN DisplayPort 1.4 Cable	AUDIO_VIDEO_CABLE	1.0	model head
ugreen displayport 1.4 кабель	UGREEN	UGREEN DisplayPort 1.4 Cable	AUDIO_VIDEO_CABLE	0.8	ru mixed alias
ugreen 32.4gbps	UGREEN	UGREEN DisplayPort 1.4 Cable	AUDIO_VIDEO_CABLE	0.7	spec alias
vention optical toslink cable	VENTION	Vention Optical Toslink Cable	AUDIO_VIDEO_CABLE	1.0	model head
vention optical toslink кабель	VENTION	Vention Optical Toslink Cable	AUDIO_VIDEO_CABLE	0.8	ru mixed alias
vention audio	VENTION	Vention Optical Toslink Cable	AUDIO_VIDEO_CABLE	0.7	spec alias
apple usb-c digital av multiport adapter	APPLE	Apple USB-C Digital AV Multiport Adapter	ADAPTER	1.0	model head
apple usb-c digital av multiport adapter	APPLE	Apple USB-C Digital AV Multiport Adapter	ADAPTER	0.8	ru mixed alias
apple hdmi	APPLE	Apple USB-C Digital AV Multiport Adapter	ADAPTER	0.7	spec alias
ugreen usb-c to hdmi adapter	UGREEN	UGREEN USB-C to HDMI Adapter	ADAPTER	1.0	model head
ugreen usb-c to hdmi adapter	UGREEN	UGREEN USB-C to HDMI Adapter	ADAPTER	0.8	ru mixed alias
ugreen 4k	UGREEN	UGREEN USB-C to HDMI Adapter	ADAPTER	0.7	spec alias
baseus usb-c to usb-a adapter	BASEUS	Baseus USB-C to USB-A Adapter	ADAPTER	1.0	model head
baseus usb-c to usb-a adapter	BASEUS	Baseus USB-C to USB-A Adapter	ADAPTER	0.8	ru mixed alias
baseus usb	BASEUS	Baseus USB-C to USB-A Adapter	ADAPTER	0.7	spec alias
anker 737 power bank 24000mah	ANKER	Anker 737 Power Bank 24000mAh	POWER_BANK	1.0	model head
anker 737 повербанк 24000mah	ANKER	Anker 737 Power Bank 24000mAh	POWER_BANK	0.8	ru mixed alias
anker 24000mah	ANKER	Anker 737 Power Bank 24000mAh	POWER_BANK	0.7	spec alias
anker nano power bank 10000mah	ANKER	Anker Nano Power Bank 10000mAh	POWER_BANK	1.0	model head
anker nano повербанк 10000mah	ANKER	Anker Nano Power Bank 10000mAh	POWER_BANK	0.8	ru mixed alias
anker 10000mah	ANKER	Anker Nano Power Bank 10000mAh	POWER_BANK	0.7	spec alias
xiaomi power bank 10000mah	XIAOMI	Xiaomi Power Bank 10000mAh	POWER_BANK	1.0	model head
xiaomi повербанк 10000mah	XIAOMI	Xiaomi Power Bank 10000mAh	POWER_BANK	0.8	ru mixed alias
xiaomi 10000mah	XIAOMI	Xiaomi Power Bank 10000mAh	POWER_BANK	0.7	spec alias
baseus blade 100w power bank	BASEUS	Baseus Blade 100W Power Bank	POWER_BANK	1.0	model head
baseus blade 100w повербанк	BASEUS	Baseus Blade 100W Power Bank	POWER_BANK	0.8	ru mixed alias
baseus 20000mah	BASEUS	Baseus Blade 100W Power Bank	POWER_BANK	0.7	spec alias
romoss sense 8p+ 30000mah	ROMOSS	ROMOSS Sense 8P+ 30000mAh	POWER_BANK	1.0	model head
romoss sense 8p+ 30000mah	ROMOSS	ROMOSS Sense 8P+ 30000mAh	POWER_BANK	0.8	ru mixed alias
romoss 30000mah	ROMOSS	ROMOSS Sense 8P+ 30000mAh	POWER_BANK	0.7	spec alias
ecoflow river 2	ECOFLOW	EcoFlow River 2	PORTABLE_POWER_STATION	1.0	model head
ecoflow river 2	ECOFLOW	EcoFlow River 2	PORTABLE_POWER_STATION	0.8	ru mixed alias
ecoflow 256wh	ECOFLOW	EcoFlow River 2	PORTABLE_POWER_STATION	0.7	spec alias
ecoflow delta 2	ECOFLOW	EcoFlow Delta 2	PORTABLE_POWER_STATION	1.0	model head
ecoflow delta 2	ECOFLOW	EcoFlow Delta 2	PORTABLE_POWER_STATION	0.8	ru mixed alias
ecoflow 1024wh	ECOFLOW	EcoFlow Delta 2	PORTABLE_POWER_STATION	0.7	spec alias
bluetti eb3a	BLUETTI	Bluetti EB3A	PORTABLE_POWER_STATION	1.0	model head
bluetti eb3a	BLUETTI	Bluetti EB3A	PORTABLE_POWER_STATION	0.8	ru mixed alias
bluetti 268wh	BLUETTI	Bluetti EB3A	PORTABLE_POWER_STATION	0.7	spec alias
apc back-ups 650va	APC	APC Back-UPS 650VA	UPS	1.0	model head
apc back-ups 650va	APC	APC Back-UPS 650VA	UPS	0.8	ru mixed alias
apc 650va	APC	APC Back-UPS 650VA	UPS	0.7	spec alias
apc back-ups 850va	APC	APC Back-UPS 850VA	UPS	1.0	model head
apc back-ups 850va	APC	APC Back-UPS 850VA	UPS	0.8	ru mixed alias
apc 850va	APC	APC Back-UPS 850VA	UPS	0.7	spec alias
cyberpower cp1500epfclcd	CYBERPOWER	CyberPower CP1500EPFCLCD	UPS	1.0	model head
cyberpower cp1500epfclcd	CYBERPOWER	CyberPower CP1500EPFCLCD	UPS	0.8	ru mixed alias
cyberpower 1500va	CYBERPOWER	CyberPower CP1500EPFCLCD	UPS	0.7	spec alias
panasonic eneloop aa	PANASONIC	Panasonic Eneloop AA	BATTERY	1.0	model head
panasonic eneloop aa	PANASONIC	Panasonic Eneloop AA	BATTERY	0.8	ru mixed alias
panasonic aa	PANASONIC	Panasonic Eneloop AA	BATTERY	0.7	spec alias
duracell aa alkaline	DURACELL	Duracell AA Alkaline	BATTERY	1.0	model head
duracell aa alkaline	DURACELL	Duracell AA Alkaline	BATTERY	0.8	ru mixed alias
duracell aa	DURACELL	Duracell AA Alkaline	BATTERY	0.7	spec alias
gp recyko aaa	GP	GP ReCyko AAA	BATTERY	1.0	model head
gp recyko aaa	GP	GP ReCyko AAA	BATTERY	0.8	ru mixed alias
gp aaa	GP	GP ReCyko AAA	BATTERY	0.7	spec alias
energizer cr2032	ENERGIZER	Energizer CR2032	BATTERY	1.0	model head
energizer cr2032	ENERGIZER	Energizer CR2032	BATTERY	0.8	ru mixed alias
energizer cr2032	ENERGIZER	Energizer CR2032	BATTERY	0.7	spec alias
apc essential surgearrest	APC	APC Essential SurgeArrest	SURGE_PROTECTOR	1.0	model head
apc essential surgearrest	APC	APC Essential SurgeArrest	SURGE_PROTECTOR	0.8	ru mixed alias
apc 6 outlets	APC	APC Essential SurgeArrest	SURGE_PROTECTOR	0.7	spec alias
belkin surge protection strip	BELKIN	Belkin Surge Protection Strip	SURGE_PROTECTOR	1.0	model head
belkin surge protection strip	BELKIN	Belkin Surge Protection Strip	SURGE_PROTECTOR	0.8	ru mixed alias
belkin 6 outlets	BELKIN	Belkin Surge Protection Strip	SURGE_PROTECTOR	0.7	spec alias
xiaomi power strip	XIAOMI	Xiaomi Power Strip	SURGE_PROTECTOR	1.0	model head
xiaomi power strip	XIAOMI	Xiaomi Power Strip	SURGE_PROTECTOR	0.8	ru mixed alias
xiaomi 3 outlets	XIAOMI	Xiaomi Power Strip	SURGE_PROTECTOR	0.7	spec alias
ugreen cable organizer clips	UGREEN	UGREEN Cable Organizer Clips	CABLE_MANAGEMENT	1.0	model head
ugreen кабель organizer clips	UGREEN	UGREEN Cable Organizer Clips	CABLE_MANAGEMENT	0.8	ru mixed alias
ugreen clips	UGREEN	UGREEN Cable Organizer Clips	CABLE_MANAGEMENT	0.7	spec alias
orico cable management box	ORICO	ORICO Cable Management Box	CABLE_MANAGEMENT	1.0	model head
orico кабель management box	ORICO	ORICO Cable Management Box	CABLE_MANAGEMENT	0.8	ru mixed alias
orico box	ORICO	ORICO Cable Management Box	CABLE_MANAGEMENT	0.7	spec alias
