query	expected_categoryCode	expected_type	expected_attrs_json	notes
защитное стекло iphone 15	TECH.PHONE_ACCESSORIES	SCREEN_PROTECTOR	{}	negative route guard
usb hub type c 7 in 1	TECH.COMPUTER_ACCESSORIES	USB_HUB	{}	negative route guard
док станция thunderbolt	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	{}	negative route guard
rj45 кабель 10 метров	TECH.NETWORKING	NETWORK_ACCESSORY	{}	negative route guard
патч корд cat6	TECH.NETWORKING	NETWORK_ACCESSORY	{}	negative route guard
блок питания пк 750w	TECH.PC_COMPONENTS	POWER_SUPPLY	{}	negative route guard
аккумулятор iphone 12	TECH.PHONE_ACCESSORIES	REPLACEMENT_PART	{}	negative route guard
dash cam кабель питания	TECH.CAR_ELECTRONICS_GPS	DASH_CAM	{}	negative route guard
power supply atx corsair	TECH.PC_COMPONENTS	POWER_SUPPLY	{}	negative route guard
зарядка для ноутбука usb c 100w	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	"{""wattage_w"":100}"	positive
gan charger 100w три порта	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	"{""wattage_w"":100}"	positive
зарядка для macbook type c 96w	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	"{""wattage_w"":96}"	positive
адаптер питания 65w pd	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	"{""wattage_w"":65,""fast_charge_protocol"":""USB_PD""}"	positive
зарядка 140w usb c pd	TECH.POWER_CHARGING_CABLES	WALL_CHARGER	"{""wattage_w"":140,""fast_charge_protocol"":""USB_PD""}"	positive
magsafe battery pack	TECH.POWER_CHARGING_CABLES	POWER_BANK	{}	positive
wireless charging stand qi2	TECH.POWER_CHARGING_CABLES	WIRELESS_CHARGER	"{""qi_standard"":""QI2""}"	positive
зарядная станция 3 в 1 iphone watch airpods	TECH.POWER_CHARGING_CABLES	WIRELESS_CHARGER	{}	positive
автомобильная зарядка 100w pd	TECH.POWER_CHARGING_CABLES	CAR_CHARGER	"{""wattage_w"":100}"	positive
зарядка в прикуриватель 2 usb	TECH.POWER_CHARGING_CABLES	CAR_CHARGER	{}	positive
кабель usb c 240w	TECH.POWER_CHARGING_CABLES	USB_CABLE	"{""wattage_w"":240}"	positive
кабель usb c lightning mfi	TECH.POWER_CHARGING_CABLES	USB_CABLE	"{""mfi_certified"":true}"	positive
кабель thunderbolt 4 2m	TECH.POWER_CHARGING_CABLES	USB_CABLE	"{""cable_standard"":""THUNDERBOLT_4""}"	positive
usb4 кабель 40gbps	TECH.POWER_CHARGING_CABLES	USB_CABLE	"{""cable_standard"":""USB_4""}"	positive
hdmi кабель 8k 2 метра	TECH.POWER_CHARGING_CABLES	HDMI_CABLE	"{""hdmi_version"":""HDMI_2_1""}"	positive
hdmi arc cable	TECH.POWER_CHARGING_CABLES	HDMI_CABLE	{}	positive
displayport 2.1 кабель	TECH.POWER_CHARGING_CABLES	AUDIO_VIDEO_CABLE	"{""video_standard"":""DISPLAYPORT""}"	positive
кабель оптика toslink	TECH.POWER_CHARGING_CABLES	AUDIO_VIDEO_CABLE	"{""video_standard"":""OPTICAL_AUDIO""}"	positive
переходник usb c displayport	TECH.POWER_CHARGING_CABLES	ADAPTER	{}	positive
переходник hdmi vga	TECH.POWER_CHARGING_CABLES	ADAPTER	{}	positive
адаптер type c ethernet	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	{}	negative route guard
внешний аккумулятор 20000 mah 65w	TECH.POWER_CHARGING_CABLES	POWER_BANK	"{""capacity_mah"":20000,""wattage_w"":65}"	positive
повербанк magsafe 10000	TECH.POWER_CHARGING_CABLES	POWER_BANK	"{""capacity_mah"":10000}"	positive
power bank laptop 100w	TECH.POWER_CHARGING_CABLES	POWER_BANK	"{""wattage_w"":100}"	positive
ecoflow river 3 plus	TECH.POWER_CHARGING_CABLES	PORTABLE_POWER_STATION	{}	positive
зарядная станция lifepo4	TECH.POWER_CHARGING_CABLES	PORTABLE_POWER_STATION	"{""battery_chemistry"":""LIFEPO4""}"	positive
портативная электростанция 1024wh	TECH.POWER_CHARGING_CABLES	PORTABLE_POWER_STATION	"{""capacity_wh"":1024}"	positive
ибп для роутера 12v	TECH.POWER_CHARGING_CABLES	UPS	{}	positive
ups 1000va line interactive	TECH.POWER_CHARGING_CABLES	UPS	"{""ups_topology"":""LINE_INTERACTIVE""}"	positive
онлайн ибп 3000va	TECH.POWER_CHARGING_CABLES	UPS	"{""ups_topology"":""ONLINE_DOUBLE_CONVERSION""}"	positive
аккумуляторы 18650 li ion	TECH.POWER_CHARGING_CABLES	BATTERY	"{""battery_size"":""18650""}"	positive
батарейка cr2025	TECH.POWER_CHARGING_CABLES	BATTERY	"{""battery_size"":""CR2025""}"	positive
аккумуляторные батарейки aa зарядное	TECH.POWER_CHARGING_CABLES	BATTERY	"{""battery_size"":""AA""}"	positive
сетевой фильтр с usb c	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	positive
удлинитель пилот 5 метров	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	positive
surge protector 8 outlets	TECH.POWER_CHARGING_CABLES	SURGE_PROTECTOR	{}	positive
короб для проводов под стол	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	positive
кабельные стяжки липучки	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	positive
держатель провода самоклеящийся	TECH.POWER_CHARGING_CABLES	CABLE_MANAGEMENT	{}	positive
