canonical_code	canonical_title_ru	canonical_parent_code	canonical_depth	google_ids	google_paths	mapping_type	notes_ru
BEAUTY.MAKEUP	Декоративная косметика	BEAUTY	2	477	Health & Beauty > Personal Care > Cosmetics > Makeup	SINGLE	
BEAUTY.SKINCARE	Уход за лицом и кожей	BEAUTY	2	567	Health & Beauty > Personal Care > Cosmetics > Skin Care	SINGLE	
FASH.ACCESSORIES	Аксессуары	FASH	2	167	Apparel & Accessories > Clothing Accessories	SINGLE	
FASH.BAGS	Сумки и рюкзаки	FASH	2	6551	Apparel & Accessories > Handbags, Wallets & Cases	SINGLE	
FASH.KIDS	Детская одежда	FASH	2	1604	Apparel & Accessories > Clothing	SINGLE	
FASH.MEN	Мужская одежда	FASH	2	1604	Apparel & Accessories > Clothing	SINGLE	
FASH.SHOES	Обувь	FASH	2	187	Apparel & Accessories > Shoes	SINGLE	
FASH.WOMEN	Женская одежда	FASH	2	1604	Apparel & Accessories > Clothing	SINGLE	
FOOD.DRINKS	Напитки	FOOD	2	413	Food, Beverages & Tobacco > Beverages	SINGLE	
FOOD.GROCERIES	Продукты (бакалея, свежие и т.п.)	FOOD	2	422	Food, Beverages & Tobacco > Food Items	SINGLE	
FOOD.READY_MEALS	Готовая еда	FOOD	2	5814	Food, Beverages & Tobacco > Food Items > Prepared Foods	SINGLE	
FOOD.SNACKS	Снеки и сладкое	FOOD	2	423	Food, Beverages & Tobacco > Food Items > Snack Foods	SINGLE	
HOME.CLEANING	Бытовая химия и уборка	HOME	2	623	Home & Garden > Household Supplies > Household Cleaning Supplies	SINGLE	
HOME.FURNITURE	Мебель	HOME	2	436	Furniture	SINGLE	
HOME.GARDEN	Дача и сад	HOME	2	689	Home & Garden > Lawn & Garden	SINGLE	
HOME.KITCHEN_DINING	Посуда и кухня	HOME	2	638	Home & Garden > Kitchen & Dining	SINGLE	
HOME.LIGHTING	Освещение	HOME	2	594	Home & Garden > Lighting	SINGLE	
HOME.PLUMBING	Сантехника	HOME	2	133	Hardware > Plumbing	SINGLE	
HOME.REPAIR_TOOLS	Ремонт и инструменты	HOME	2	1167	Hardware > Tools	SINGLE	
HOME.STORAGE	Хранение и организация	HOME	2	636	Home & Garden > Household Supplies > Storage & Organization	SINGLE	
HOME.TEXTILES	Текстиль и интерьер	HOME	2	4171	Home & Garden > Linens & Bedding	SINGLE	
KIDS.BABY_GEAR	Товары для ухода за малышами	KIDS	2	537	Baby & Toddler	SINGLE	
KIDS.NURSERY_FURNITURE	Детская мебель и безопасность	KIDS	2	554	Furniture > Baby & Toddler Furniture	SINGLE	
KIDS.STROLLERS_CARSEATS	Коляски и автокресла	KIDS	2	568|547	Baby & Toddler > Baby Transport > Baby Strollers | Baby & Toddler > Baby Transport > Baby & Toddler Car Seats	MULTI	
KIDS.TOYS_GAMES	Игрушки и игры	KIDS	2	1239	Toys & Games	SINGLE	
PETS.ACCESSORIES	Аксессуары	PETS	2	2	Animals & Pet Supplies > Pet Supplies	SINGLE	
PETS.FOOD	Корм	PETS	2	3367|3530|4990|5024|5015|5026	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food | Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Food | Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Food | Animals & Pet Supplies > Pet Supplies > Fish Supplies > Fish Food | Animals & Pet Supplies > Pet Supplies > Small Animal Supplies > Small Animal Food | Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Food	MULTI	
PETS.HEALTH	Здоровье и вет-товары	PETS	2	5086	Animals & Pet Supplies > Pet Supplies > Pet Medicine	SINGLE	
PETS.HYGIENE	Гигиена и наполнители	PETS	2	6383|8070|4999	Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies | Animals & Pet Supplies > Pet Supplies > Pet Waste Bags | Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter	MULTI	
SPORT.BIKES_SCOOTERS	Велосипеды и самокаты	SPORT	2	1025|5879	Sporting Goods > Outdoor Recreation > Cycling | Sporting Goods > Outdoor Recreation > Riding Scooters	MULTI	
SPORT.EQUIPMENT	Спортивный инвентарь	SPORT	2	988	Sporting Goods	SINGLE	
SPORT.FITNESS	Фитнес и тренировки	SPORT	2	990	Sporting Goods > Exercise & Fitness	SINGLE	
SPORT.HOBBY	Хобби и творчество	SPORT	2	5710	Arts & Entertainment > Hobbies & Creative Arts	SINGLE	
SPORT.OUTDOOR	Туризм и кемпинг	SPORT	2	1011	Sporting Goods > Outdoor Recreation	SINGLE	
TECH.AUDIO	Аудио и наушники	TECH	2	223	Electronics > Audio	SINGLE	
TECH.CAMERAS_DRONES	Фото и видеокамеры	TECH	2	142	Cameras & Optics > Cameras	SINGLE	
TECH.GAMING	Игровые приставки и игры	TECH	2	1294|1279	Electronics > Video Game Consoles | Software > Video Game Software	MULTI	
TECH.COMPUTERS	Ноутбуки	TECH	2	328	Electronics > Computers > Laptops	SINGLE	
TECH.PC_COMPONENTS	ПК и комплектующие	TECH	2	285	Electronics > Electronics Accessories > Computer Components	SINGLE	
TECH.PHONES	Смартфоны	TECH	2	267	Electronics > Communications > Telephony > Mobile Phones	SINGLE	
TECH.PHONE_ACCESSORIES	Аксессуары для телефонов	TECH	2	264	Electronics > Communications > Telephony > Mobile Phone Accessories	SINGLE	
TECH.SMART_HOME_SECURITY	Умный дом и гаджеты	TECH	2	2413	Hardware > Power & Electrical Supplies > Home Automation Kits	SINGLE	
TECH.TABLETS_E_READERS	Планшеты и электронные книги	TECH	2	4745|3539	Electronics > Computers > Tablet Computers | Electronics > Computers > Handheld Devices > E-Book Readers	MULTI	
TECH.TV_HOME_THEATER	ТВ и видео	TECH	2	386	Electronics > Video	SINGLE	
